adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Benin,Atacora,Boukombe,95188,1,83765,11423,0,0,0,0
Benin,Atacora,Cobly,78043,1,69458,8585,0,0,0,0
Benin,Atacora,Kerou,115665,1,106412,9253,0,0,0,0
Benin,Atacora,Kouande,128771,1,118469,10302,0,0,0,0
Benin,Atacora,Materi,131563,1,118407,13156,0,0,0,0
Benin,Atacora,Natitingou,119767,1,111383,8384,0,0,0,0
Benin,Atacora,Pehunco,90299,1,82172,8127,0,0,0,0
Benin,Atacora,Tanguieta,86211,1,75004,11207,0,0,0,0
Benin,Atacora,Toucountouna,45924,1,40413,5511,0,0,0,0
Benin,Donga,Bassila,150189,1,127661,22528,0,0,0,0
Benin,Donga,Copargo,81897,1,67975,13922,0,0,0,0
Benin,Donga,Djougou,309184,1,284449,24735,0,0,0,0
Benin,Donga,Ouake,85759,1,73753,12006,0,0,0,0
Benin,Altantique,Allada,147211,2,116297,30914,0,0,0,0
Benin,Altantique,Kpomasse,78098,1,68726,9372,0,0,0,0
Benin,Altantique,Abomey-Calavi,757689,1,674343,83346,0,0,0,0
Benin,Altantique,Ouidah,187064,2,145910,41154,0,0,0,0
Benin,Altantique,Toffo,117279,1,102033,15246,0,0,0,0
Benin,Altantique,Torri-Bossito,66535,2,52563,13972,0,0,0,0
Benin,Altantique,Ze,123430,1,109853,13577,0,0,0,0
Benin,Altantique,So-Ava,136861,2,105383,31478,0,0,0,0
Benin,Littoral,Cotonou,783901,1,783901,0,0,0,0,0
Benin,Alibori,Banikoara,284660,1,247654,37006,0,0,0,0
Benin,Alibori,Gogounou,135671,1,120747,14924,0,0,0,0
Benin,Alibori,Kandi,206988,1,194569,12419,0,0,0,0
Benin,Alibori,Karimama,76598,1,63576,13022,0,0,0,0
Benin,Alibori,Malanville,194676,1,159634,35042,0,0,0,0
Benin,Alibori,Segbana,102843,1,89473,13370,0,0,0,0
Benin,Borgou,Bembereke,151531,1,137893,13638,0,0,0,0
Benin,Borgou,Kalale,194932,1,179337,15595,0,0,0,0
Benin,Borgou,N'dali,131153,1,120661,10492,0,0,0,0
Benin,Borgou,Nikki,174593,1,157134,17459,0,0,0,0
Benin,Borgou,Parakou,294937,1,283140,11797,0,0,0,0
Benin,Borgou,Perere,91191,1,81160,10031,0,0,0,0
Benin,Borgou,Sinende,105825,1,98417,7408,0,0,0,0
Benin,Borgou,Tchaourou,257602,1,229266,28336,0,0,0,0
Benin,Couffo,Aplahoue,197542,1,177788,19754,0,0,0,0
Benin,Couffo,Djakotomey,154730,2,117595,35588,1547,0,0,1547
Benin,Couffo,Dogbo,118978,1,108270,10708,0,0,0,0
Benin,Couffo,Klouekamey,148463,2,111347,35631,1485,0,0,1485
Benin,Couffo,Lalo,138451,2,107992,29075,1385,0,0,1385
Benin,Couffo,Toviklin,102300,2,78771,22506,1023,0,0,1023
Benin,Mono,Athieme,65209,2,48907,15650,652,0,0,652
Benin,Mono,Bopa,111155,2,84478,25566,1112,0,0,1112
Benin,Mono,Come,92345,1,83111,9235,0,0,0,0
Benin,Mono,Grand-Popo,66442,1,59133,7309,0,0,0,0
Benin,Mono,Houeyogbe,117634,2,90578,25879,1176,0,0,1176
Benin,Mono,Lokossa,121176,1,106635,14541,0,0,0,0
Benin,Oueme,Adjarra,112471,1,104598,7873,0,0,0,0
Benin,Oueme,Adjohou,86958,1,78262,8696,0,0,0,0
Benin,Oueme,Aguegues,51446,2,38585,12862,0,0,0,0
Benin,Oueme,Akpro Misserete,146893,1,132204,14689,0,0,0,0
Benin,Oueme,Avrankou,147831,1,127135,20696,0,0,0,0
Benin,Oueme,Bonou,51199,2,37887,13312,0,0,0,0
Benin,Oueme,Dangbo,111323,2,86832,24491,0,0,0,0
Benin,Oueme,Porto-Novo,305153,1,289895,15258,0,0,0,0
Benin,Oueme,Seme-Podji,257101,1,241675,15426,0,0,0,0
Benin,Plateau,Adja Ouere,134244,1,124847,9397,0,0,0,0
Benin,Plateau,Ifangni,128117,2,101212,26905,0,0,0,0
Benin,Plateau,Ketou,181655,1,165306,16349,0,0,0,0
Benin,Plateau,Pobe,142780,1,131358,11422,0,0,0,0
Benin,Plateau,Sakete,131710,1,122490,9220,0,0,0,0
Benin,Collines,Bante,123739,1,110128,13611,0,0,0,0
Benin,Collines,Dassa-Zoume,129444,1,120383,9061,0,0,0,0
Benin,Collines,Glazoue,143645,1,129281,14365,0,0,0,0
Benin,Collines,Savalou,166880,1,148523,18357,0,0,0,0
Benin,Collines,Save,100645,1,88568,12077,0,0,0,0
Benin,Collines,Ouesse,163956,1,142642,21314,0,0,0,0
Benin,Zou,Abomey,106513,1,95862,10651,0,0,0,0
Benin,Zou,Agbangnizoun,83757,1,72031,11726,0,0,0,0
Benin,Zou,Bohicon,198316,1,180468,17848,0,0,0,0
Benin,Zou,Cove,59164,1,52064,7100,0,0,0,0
Benin,Zou,Djidja,142628,1,126939,15689,0,0,0,0
Benin,Zou,Ouinhi,142628,1,125513,17115,0,0,0,0
Benin,Zou,Zagnanado,63567,1,57846,5721,0,0,0,0
Benin,Zou,Za-Kpota,153333,1,141066,12267,0,0,0,0
Benin,Zou,Zogbodomey,107292,1,95490,11802,0,0,0,0
