adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Benin,Alibori,Banikoara,301064,1,270958,30106,0,0,0,0
Benin,Atacora,Boukombe,100670,1,91610,9060,0,0,0,0
Benin,Alibori,Gogounou,143994,1,131035,12959,0,0,0,0
Benin,Alibori,Kandi,218910,1,194830,24080,0,0,0,0
Benin,Alibori,Karimama,81016,2,62382,17013,1620,0,0,1620
Benin,Atacora,Kerou,122339,1,111328,11011,0,0,0,0
Benin,Atacora,Kobli,82542,1,73462,9080,0,0,0,0
Benin,Atacora,Kouande,136189,1,121208,14981,0,0,0,0
Benin,Alibori,Malanville,205908,2,160608,43241,2059.08,0,0,2059.08
Benin,Atacora,Materi,139141,1,123835,15306,0,0,0,0
Benin,Atacora,Natitingou,126791,1,119184,7607,0,0,0,0
Benin,Atacora,Pehunco,95502,1,86907,8595,0,0,0,0
Benin,Alibori,Segbana,108767,1,95715,13052,0,0,0,0
Benin,Atacora,Tanguieta,91470,1,79579,11891,0,0,0,0
Benin,Atacora,Toucountouna,48570,1,44199,4371,0,0,0,0
Benin,Donga,Bassila,154467,1,134386,18536,1544.666537,0,0,1544.666537
Benin,Donga,Copargo,84230,1,74122,9265,842.2992735,0,0,842.2992735
Benin,Donga,Djougou,317993,1,298913,19080,0,0,0,0
Benin,Donga,Ouake,88209,2,66157,20288,1764.176344,0,0,1764.176344
Benin,Borgou,Bembereke,155849,1,140264,15585,0,0,0,0
Benin,Borgou,Kalale,200526,1,172452,28074,0,0,0,0
Benin,Borgou,N'dali,134890,1,121401,13489,0,0,0,0
Benin,Borgou,Nikki,179569,1,159816,19753,0,0,0,0
Benin,Borgou,Parakou,0,0,0,0,0,0,0,0
Benin,Borgou,Perere,93788,1,80658,13130,0,0,0,0
Benin,Borgou,Sinende,108849,1,97964,10885,0,0,0,0
Benin,Borgou,Tchaourou,264948,1,235804,29144,0,0,0,0
Benin,Altantique,Allada,151404,1,142320,9084,0,0,0,0
Benin,Altantique,Kpomasse,80323,1,73898,6426,0,0,0,0
Benin,Altantique,Abomey-Calavi,0,0,0,0,0,0,0,0
Benin,Altantique,Ouidah,0,0,0,0,0,0,0,0
Benin,Altantique,Toffo,120619,1,114588,6031,0,0,0,0
Benin,Altantique,Torri-Bossito,68431,1,65009,3422,0,0,0,0
Benin,Altantique,Ze,126946,1,121868,5078,0,0,0,0
Benin,Altantique,So-Ava,0,0,0,0,0,0,0,0
Benin,Littoral,Cotonou,0,0,0,0,0,0,0,0
Benin,Collines,Bante,127264,1,115810,11454,0,0,0,0
Benin,Collines,Dassa-Zoume,133131,1,125143,7988,0,0,0,0
Benin,Collines,Glazoue,147746,1,140359,7387,0,0,0,0
Benin,Collines,Savalou,171634,1,159619,12014,0,0,0,0
Benin,Collines,Save,103512,1,91090,12421,0,0,0,0
Benin,Collines,Ouesse,168627,1,158510,10118,0,0,0,0
Benin,Zou,Abomey,0,0,0,0,0,0,0,0
Benin,Zou,Agbangnizoun,86143,2,66330,18090,1722.855733,0,0,1722.855733
Benin,Zou,Bohicon,0,0,0,0,0,0,0,0
Benin,Zou,Cove,60849,1,54764,6085,0,0,0,0
Benin,Zou,Djidja,146691,1,140823,5868,0,0,0,0
Benin,Zou,Ouinhi,70507,1,63457,7051,0,0,0,0
Benin,Zou,Zagnanado,65378,1,58186,7192,0,0,0,0
Benin,Zou,Za-Kpota,157705,2,123010,33118,1577,0,0,1577
Benin,Zou,Zogbodomey,110349,1,100417,9931,0,0,0,0
Benin,Oueme,Adjarra,0,0,0,0,0,0,0,0
Benin,Oueme,Adjohoun,89437,1,84070,5366,0,0,0,0
Benin,Oueme,Aguegues,0,0,0,0,0,0,0,0
Benin,Oueme,Akpro Misserete,0,0,0,0,0,0,0,0
Benin,Oueme,Avrankou,0,0,0,0,0,0,0,0
Benin,Oueme,Bonou,52659,2,35808,14744,2106.353744,0,0,2106.353744
Benin,Oueme,Dangbo,114494,1,104189,10304,0,0,0,0
Benin,Oueme,Porto-Novo,0,0,0,0,0,0,0,0
Benin,Oueme,Seme-Podji,0,0,0,0,0,0,0,0
Benin,Plateau,Adja Ouere,138070,1,122882,15188,0,0,0,0
Benin,Plateau,Ifangni,0,0,0,0,0,0,0,0
Benin,Plateau,Ketou,186836,1,183099,3737,0,0,0,0
Benin,Plateau,Pobe,146851,1,130697,16154,0,0,0,0
Benin,Plateau,Sakete,135465,1,119209,16256,0,0,0,0
Benin,Couffo,Aplahoue,203170,1,190980,12190,0,0,0,0
Benin,Couffo,Djakotomey,159141,1,148001,11140,0,0,0,0
Benin,Couffo,Dogbo,122367,1,113801,8566,0,0,0,0
Benin,Couffo,Klouekamey,152693,1,140477,12215,0,0,0,0
Benin,Couffo,Lalo,142397,1,122461,19936,0,0,0,0
Benin,Couffo,Toviklin,105214,1,98902,6313,0,0,0,0
Benin,Mono,Athieme,67066,1,55665,10060,1341,0,0,1341
Benin,Mono,Bopa,114322,1,106319,8003,0,0,0,0
Benin,Mono,Come,94977,1,90228,4749,0,0,0,0
Benin,Mono,Grand-Popo,0,0,0,0,0,0,0,0
Benin,Mono,Houeyogbe,120985,1,113726,7259,0,0,0,0
Benin,Mono,Lokossa,124628,1,119643,4985,0,0,0,0
