adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Benin,Alibori,Banikoara,284660,1,256194,28466,0,0,0,0
Benin,Alibori,Gogounou,135671,1,119390.48,16280.52,0,0,0,0
Benin,Alibori,Kandi,206988,1,188359.08,18628.92,0,0,0,0
Benin,Alibori,Karimama,76598,2,55150.56,18383.52,2297.94,765.98,0,3063.92
Benin,Alibori,Malanville,194676,2,149900.52,40881.96,3893.52,0,0,3893.52
Benin,Alibori,Segbana,102843,1,89473.41,13369.59,0,0,0,0
Benin,Atacora,Boukombe,95188,2,64727.84,26652.64,3807.52,0,0,3807.52
Benin,Atacora,Kerou,115665,1,109881.75,5783.25,0,0,0,0
Benin,Atacora,Kobli,78043,2,64775.69,11706.45,1560.86,0,0,1560.86
Benin,Atacora,Kouande,129917.974771823,1,120823.716537795,9094.25823402758,0,0,0,0
Benin,Atacora,Materi,131563,2,101303.51,24996.97,5262.52,0,0,5262.52
Benin,Atacora,Natitingou,119767,1,98208.94,21558.06,0,0,0,0
Benin,Atacora,Pehunco,90299,1,87590.03,2708.97,0,0,0,0
Benin,Atacora,Tanguieta,86211,2,67244.58,16380.09,2586.33,0,0,2586.33
Benin,Atacora,Toucountouna,45924,1,38116.92,7807.08,0,0,0,0
Benin,Atlantique,Abomey-Calavi,757689,1,719804.55,37884.45,0,0,0,0
Benin,Atlantique,Allada,147211,1,129545.68,17665.32,0,0,0,0
Benin,Atlantique,Kpomasse,78098,2,60916.44,17181.56,0,0,0,0
Benin,Atlantique,Ouidah,187064,2,149651.2,37412.8,0,0,0,0
Benin,Atlantique,So-Ava,136861,2,109488.8,27372.2,0,0,0,0
Benin,Atlantique,Toffo,117279,1,111415.05,5863.95,0,0,0,0
Benin,Atlantique,Tori-Bossito,66535,2,53228,13307,0,0,0,0
Benin,Atlantique,Ze,123430,1,116024.2,7405.8,0,0,0,0
Benin,Borgou,Bembereke,151531,1,137893.21,13637.79,0,0,0,0
Benin,Borgou,Kalale,194932,1,165692.2,27290.48,1949.32,0,0,1949.32
Benin,Borgou,N'dali,131153,1,118037.7,13115.3,0,0,0,0
Benin,Borgou,Nikki,174593,1,153641.84,20951.16,0,0,0,0
Benin,Borgou,Parakou,294937,1,277240.78,17696.22,0,0,0,0
Benin,Borgou,Perere,91191,2,68393.25,20062.02,2735.73,0,0,2735.73
Benin,Borgou,Sinende,105825,1,97359,8466,0,0,0,0
Benin,Borgou,Tchaourou,257602,1,229265.78,25760.2,2576.02,0,0,2576.02
Benin,Collines,Bante,123739,1,113839.88,9899.12,0,0,0,0
Benin,Collines,Dassa-Zoume,129444,1,119088.48,10355.52,0,0,0,0
Benin,Collines,Glazoue,143645,1,133589.85,10055.15,0,0,0,0
Benin,Collines,Ouesse,163956,1,152479.08,11476.92,0,0,0,0
Benin,Collines,Savalou,166880,1,151860.8,15019.2,0,0,0,0
Benin,Collines,Save,100645,1,89574.05,11070.95,0,0,0,0
Benin,Couffo,Aplahoue,197542,1,167910.7,27655.88,1975.42,0,0,1975.42
Benin,Couffo,Djakotomey,154730,1,131520.5,23209.5,0,0,0,0
Benin,Couffo,Dogbo,118978,1,107080.2,11897.8,0,0,0,0
Benin,Couffo,Klouekanme,148463,1,127678.18,19300.19,1484.63,0,0,1484.63
Benin,Couffo,Lalo,138451,1,116298.84,19383.14,2769.02,0,0,2769.02
Benin,Couffo,Toviklin,102300,1,84909,15345,2046,0,0,2046
Benin,Donga,Bassila,150189,1,144181.44,6007.56,0,0,0,0
Benin,Donga,Copargo,81897,2,63879.66,14741.46,3275.88,0,0,3275.88
Benin,Donga,Djougou,309184,1,278265.6,30918.4,0,0,0,0
Benin,Donga,Ouake,85759,2,66034.43,16294.21,3430.36,0,0,3430.36
Benin,Littoral,Cotonou,783901,1,760383.97,23517.03,0,0,0,0
Benin,Mono,Athieme,65209,1,54123.47,9129.26,1956.27,0,0,1956.27
Benin,Mono,Bopa,111155,1,98927.95,12227.05,0,0,0,0
Benin,Mono,Come,92345,1,85788.505,6556.495,0,0,0,0
Benin,Mono,Grand-Popo,66442,1,58468.96,7973.04,0,0,0,0
Benin,Mono,Houeyogbe,117634,1,99988.9,17645.1,0,0,0,0
Benin,Mono,Lokossa,121176,1,115117.2,6058.8,0,0,0,0
Benin,Oueme,Adjarra,112471,1,104598.03,7872.97,0,0,0,0
Benin,Oueme,Adjohoun,86958,1,74783.88,12174.12,0,0,0,0
Benin,Oueme,Aguegues,51446,2,40127.88,10803.66,514.46,0,0,514.46
Benin,Oueme,Akpo-Misserete,146893,1,130734.77,16158.23,0,0,0,0
Benin,Oueme,Avrankou,147831,1,127134.66,20696.34,0,0,0,0
Benin,Oueme,Bonou,51199,1,43519.15,7167.86,511.99,0,0,511.99
Benin,Oueme,Dangbo,111323,1,94624.55,16698.45,0,0,0,0
Benin,Oueme,Porto-Novo,305153,1,295998.41,9154.59,0,0,0,0
Benin,Oueme,Seme-Kpodji,257101,1,236532.92,20568.08,0,0,0,0
Benin,Plateau,Adja-Ouere,134244,1,119477.16,14766.84,0,0,0,0
Benin,Plateau,Ifangni,128117,1,111461.79,16655.21,0,0,0,0
Benin,Plateau,Ketou,181655,1,167122.6,14532.4,0,0,0,0
Benin,Plateau,Pobe,142780,1,131357.6,11422.4,0,0,0,0
Benin,Plateau,Sakete,131710,1,117221.9,14488.1,0,0,0,0
Benin,Zou,Abomey,106513,1,95861.7,10651.3,0,0,0,0
Benin,Zou,Agbangnizoun,83757,1,68680.74,15076.26,0,0,0,0
Benin,Zou,Bohicon,198316,1,188400.2,9915.8,0,0,0,0
Benin,Zou,Cove,59164,2,46739.56,12424.44,0,0,0,0
Benin,Zou,Djidja,142628,1,125512.64,17115.36,0,0,0,0
Benin,Zou,Ouinhi,68555,2,53472.9,14396.55,685.55,0,0,685.55
Benin,Zou,Zagnanado,63567,2,48946.59,13984.74,635.67,0,0,635.67
Benin,Zou,Za-Kpota,153333,2,119599.74,33733.26,0,0,0,0
Benin,Zou,Zogbodomey,107292,1,91198.2,16093.8,0,0,0,0
