adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Benin,Alibori,Banikoara,309525,1,260001,40238.25,9285.75,0,0,9285.75
Benin,Alibori,Gogounou,147526,1,128347.62,17703.12,1475.26,0,0,1475.26
Benin,Alibori,Kandi,225062,1,186801.46,24756.82,13503.72,0,0,13503.72
Benin,Alibori,Karimama,83293,1,72464.91,9162.23,1665.86,0,0,1665.86
Benin,Alibori,Malanville,211694,2,112197.82,80443.72,19052.46,0,0,19052.46
Benin,Alibori,Segbana,111823,1,92813.09,14536.99,4472.92,0,0,4472.92
Benin,Atakora,Boukombe,103499,1,84869.18,15524.85,3104.97,0,0,3104.97
Benin,Atakora,Kerou,125777,1,108168.22,12577.7,5031.08,0,0,5031.08
Benin,Atakora,Kobli,84862,1,69586.84,13577.92,1697.24,0,0,1697.24
Benin,Atakora,Kouande,140016,1,116213.28,16801.92,7000.8,0,0,7000.8
Benin,Atakora,Materi,143051,2,105857.74,28610.2,8583.06,0,0,8583.06
Benin,Atakora,Pehunco,98186,1,84439.96,10800.46,2945.58,0,0,2945.58
Benin,Atakora,Tanguieta,94041,1,77113.62,15046.56,1880.82,0,0,1880.82
Benin,Atakora,Toucountouna,49934,2,29960.4,17476.9,2496.7,0,0,2496.7
Benin,Atlantique,Allada,160065,2,89636.4,51220.8,19207.8,0,0,19207.8
Benin,Atlantique,Kpomasse,84918,2,56895.06,23777.04,4245.9,0,0,4245.9
Benin,Atlantique,Ouidah,203401,1,168822.83,32544.16,2034.01,0,0,2034.01
Benin,Atlantique,Toffo,127515,2,67582.95,44630.25,15301.8,0,0,15301.8
Benin,Atlantique,Tori-Bossito,72345,2,52088.4,15915.9,4340.7,0,0,4340.7
Benin,Atlantique,Ze,134207,2,83208.34,40262.1,10736.56,0,0,10736.56
Benin,Borgou,Bembereke,164764,1,143344.68,21419.32,0,0,0,0
Benin,Borgou,Kalale,211997,1,175957.51,36039.49,0,0,0,0
Benin,Borgou,N'dali,142607,1,122642.02,18538.91,1426.07,0,0,1426.07
Benin,Borgou,Nikki,189841,1,165161.67,24679.33,0,0,0,0
Benin,Borgou,Perere,99153,1,84280.05,12889.89,1983.06,0,0,1983.06
Benin,Borgou,Sinende,115096,1,93227.76,18415.36,3452.88,0,0,3452.88
Benin,Borgou,Tchaourou,280104,2,182067.6,81230.16,16806.24,0,0,16806.24
Benin,Collines,Bante,134544,1,111671.52,17490.72,5381.76,0,0,5381.76
