adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Benin,Alibori,Banikoara,309525,1,275477.25,34047.75,0,0,0,0,1,NA,NA,NA
Benin,Alibori,Gogounou,147526,1,123921.84,22128.9,1475.26,0,0,1475.26,1,NA,NA,NA
Benin,Alibori,Kandi,225062,1,198054.56,27007.44,0,0,0,0,1,NA,NA,NA
Benin,Alibori,Karimama,83293,2,61636.82,19157.39,2498.79,0,0,2498.79,2,NA,NA,NA
Benin,Alibori,Malanville,211694,2,148185.8,57157.38,6350.82,0,0,6350.82,2,NA,NA,NA
Benin,Alibori,Segbana,111823,1,97286.01,14536.99,0,0,0,0,1,NA,NA,NA
Benin,Atacora,Boukombe,103499,1,86939.16,15524.85,1034.99,0,0,1034.99,1,NA,NA,NA
Benin,Atacora,Kerou,125777,1,111941.53,13835.47,0,0,0,0,1,NA,NA,NA
Benin,Atacora,Kobli,84862,1,75527.18,8486.2,848.62,0,0,848.62,1,NA,NA,NA
Benin,Atacora,Kouande,140016,1,123214.08,16801.92,0,0,0,0,1,NA,NA,NA
Benin,Atacora,Materi,143071,2,108733.96,31475.62,2861.42,0,0,2861.42,2,NA,NA,NA
Benin,Atacora,Natitingou,130354,1,118622.14,11731.86,0,0,0,0,1,NA,NA,NA
Benin,Atacora,Pehunco,98186,1,85421.82,12764.18,0,0,0,0,1,NA,NA,NA
Benin,Atacora,Tanguieta,94041,1,79934.85,12225.33,1880.82,0,0,1880.82,1,NA,NA,NA
Benin,Atacora,Toucountouna,49934,1,42943.24,6491.42,499.34,0,0,499.34,1,NA,NA,NA
