adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,Boucle Du Mouhoun,Bale,312217,2,212307.56,78054.25,21855.19,0,0,21855.19
Burkina Faso,Centre Nord,Bam,408003,3,122400.9,163201.2,102000.75,20400.15,0,122400.9
Burkina Faso,Boucle Du Mouhoun,Banwa,391135,2,293351.25,78227,19556.75,0,0,19556.75
Burkina Faso,Centre Sud,Bazega,325399,2,257065.21,55317.83,13015.96,0,0,13015.96
Burkina Faso,Sud Ouest,Bougouriba,151854,1,123001.74,22778.1,6074.16,0,0,6074.16
Burkina Faso,Centre Est,Boulgou,808091,2,606068.25,185860.93,16161.82,0,0,16161.82
Burkina Faso,Centre Ouest,Boulkiemde,715870,2,551219.9,143174,21476.1,0,0,21476.1
Burkina Faso,Cascades,Comoe,690001,1,648600.94,34500.05,6900.01,0,0,6900.01
Burkina Faso,Plateau Central,Ganzourgou,462233,2,365164.07,92446.6,4622.33,0,0,4622.33
Burkina Faso,Est,Gnagna,611234,3,183370.2,213931.9,183370.2,30561.7,0,213931.9
Burkina Faso,Est,Gourma,468384,3,196721.28,140515.2,121779.84,9367.68,0,131147.52
Burkina Faso,Hauts Bassins,Houet,1484133,1,1246671.72,148413.3,89047.98,0,0,89047.98
Burkina Faso,Sud Ouest,Ioba,271953,2,141415.56,81585.9,46232.01,2719.53,0,48951.54
Burkina Faso,Centre,Kadiogo,3064453,2,2175761.63,766113.25,122578.12,0,0,122578.12
Burkina Faso,Hauts Bassins,Kenedougou,446627,1,397498.03,44662.7,4466.27,0,0,4466.27
Burkina Faso,Est,Komandjoari,129966,3,28592.52,49387.08,38989.8,12996.6,0,51986.4
Burkina Faso,Est,Kompienga,135288,3,36527.76,48703.68,41939.28,8117.28,0,50056.56
Burkina Faso,Boucle Du Mouhoun,Kossi,396969,2,186575.43,138939.15,71454.42,0,0,71454.42
Burkina Faso,Centre Est,Koulpelgo,395572,2,268988.96,98893,27690.04,0,0,27690.04
Burkina Faso,Centre Est,Kouritenga,492335,1,354481.2,123083.75,14770.05,0,0,14770.05
Burkina Faso,Plateau Central,Kourweogo,193890,2,131845.2,48472.5,13572.3,0,0,13572.3
Burkina Faso,Cascades,Leraba,186133,1,174965.02,11167.98,0,0,0,0
Burkina Faso,Nord,Loroum,210170,3,67254.4,71457.8,63051,8406.8,0,71457.8
Burkina Faso,Boucle Du Mouhoun,Mouhoun,433932,3,394878.12,26035.92,13017.96,0,0,13018
Burkina Faso,Centre Sud,Nahouri,233455,1,207774.95,23345.5,2334.55,0,0,2334.55
Burkina Faso,Centre Nord,Namentenga,487550,3,131638.5,160891.5,146265,48755,0,195020
Burkina Faso,Boucle Du Mouhoun,Nayala,231984,3,85834.08,81194.4,53356.32,11599.2,0,64955.52
Burkina Faso,Sud Ouest,Noumbiel,106251,1,86063.31,17000.16,3187.53,0,0,3187.53
Burkina Faso,Plateau Central,Oubritenga,340803,2,248786.19,81792.72,10224.09,0,0,10224.09
Burkina Faso,Sahel,Oudalan,305029,4,42704.06,67106.38,106760.15,82357.83,6100.58,195218.56
Burkina Faso,Nord,Passore,456895,3,155344.3,182758,114223.75,4568.95,0,118792.7
Burkina Faso,Sud Ouest,Poni,382196,2,290468.96,80261.16,11465.88,0,0,11465.88
Burkina Faso,Centre Ouest,Sanguie,419213,2,272488.45,125763.9,20960.65,0,0,20960.65
Burkina Faso,Centre Nord,Sanmatenga,882292,3,176458.4,352916.8,308802.2,44114.6,0,352916.8
Burkina Faso,Sahel,Seno,395145,3,98786.25,138300.75,118543.5,39514.5,0,158058
Burkina Faso,Centre Ouest,Sissili,315262,1,264820.08,47289.3,3152.62,0,0,3152.62
Burkina Faso,Sahel,Soum,529371,4,84699.36,111167.91,211748.4,116461.62,5293.71,333503.73
Burkina Faso,Boucle Du Mouhoun,Sourou,309312,3,102072.96,117538.56,74234.88,15465.6,0,89700.48
Burkina Faso,Est,Tapoa,537162,3,236351.28,188006.7,107432.4,5371.62,0,112804.02
Burkina Faso,Hauts Bassins,Tuy,354860,1,301631,42583.2,10645.8,0,0,10645.8
Burkina Faso,Sahel,Yagha,244340,3,83075.6,80632.2,68415.2,12217,0,80632.2
Burkina Faso,Nord,Yatenga,800878,3,312342.42,216237.06,240263.4,32035.12,0,272298.52
Burkina Faso,Centre Ouest,Ziro,277873,2,222298.4,47238.41,8336.19,0,0,8336.19
Burkina Faso,Nord,Zondoma,247211,3,108772.84,86523.85,49442.2,2472.11,0,51914.31
Burkina Faso,Centre Sud,Zoundweogo,356073,2,256372.56,71214.6,28485.84,0,0,28485.84
