adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,Hauts-Bassins,Houet,1599122,1,1471192,111939,15991,0,0,15991
Burkina Faso,Hauts-Bassins,Kenedougou,423610,1,385485,33889,4236,0,0,4236
Burkina Faso,Hauts-Bassins,Tuy,348733,1,320835,20924,6975,0,0,6975
Burkina Faso,Nord,Passore,485000,2,291000,145500,48500,0,0,48500
Burkina Faso,Nord,Yatenga,874047,3,367100,262214,218512,26221,0,244733
Burkina Faso,Nord,Zondoma,254222,1,216089,30507,7627,0,0,7627
Burkina Faso,Boucle Du Mouhoun,Bale,315048,1,267791,34655,12602,0,0,12602
Burkina Faso,Boucle Du Mouhoun,Banwa,366307,1,322350,36631,7326,0,0,7326
Burkina Faso,Boucle Du Mouhoun,Kossi,376802,2,290137,56520,30144,0,0,30144
Burkina Faso,Boucle Du Mouhoun,Mouhoun,414593,1,360696,45605,8292,0,0,8292
Burkina Faso,Boucle Du Mouhoun,Nayala,236355,1,205628,23635,7091,0,0,7091
Burkina Faso,Boucle Du Mouhoun,Sourou,301890,2,217360,39246,45283,0,0,45283
Burkina Faso,Cascades,Comoe,670314,1,589876,67031,13406,0,0,13406
Burkina Faso,Cascades,Leraba,190032,1,169128,19003,1900,0,0,1900
Burkina Faso,Centre-Est,Boulgou,780354,1,741336,31214,7804,0,0,7804
Burkina Faso,Centre-Est,Koulpelogo,383085,2,294976,61294,26816,0,0,26816
Burkina Faso,Centre-Est,Kouritenga,508466,2,310164,127116,71185,0,0,71185
Burkina Faso,Centre-Nord,Bam,502136,3,200854,150641,125534,25107,0,150641
Burkina Faso,Centre-Nord,Namentenga,543003,2,266072,190051,81450,5430,0,86881
Burkina Faso,Centre-Nord,Sanmatenga,938301,3,319022,337788,253341,28149,0,281490
Burkina Faso,Centre-Ouest,Boulkiemde,730162,2,460002,197144,73016,0,0,73016
Burkina Faso,Centre-Ouest,Sanguie,414799,1,360875,41480,12444,0,0,12444
Burkina Faso,Centre-Ouest,Sissili,357008,1,335587,14280,7140,0,0,7140
Burkina Faso,Centre-Ouest,Ziro,256032,1,240670,10241,5121,0,0,5121
Burkina Faso,Centre-Sud,Bazega,297489,1,243941,44623,8925,0,0,8925
Burkina Faso,Centre-Sud,Nahouri,207239,1,172008,24869,10362,0,0,10362
Burkina Faso,Centre-Sud,Zoundweogo,330487,1,271000,52878,6610,0,0,6610
Burkina Faso,Centre,Kadiogo,3212986,1,2827428,257039,128519,0,0,128519
Burkina Faso,Est,Gnagna,716085,2,472616,164700,78769,0,0,78769
Burkina Faso,Est,Gourma,463240,2,291841,115810,55589,0,0,55589
Burkina Faso,Est,Komonjdjari,111862,3,61524,22372,16779,11186,0,27965
Burkina Faso,Est,Kompienga,124669,2,76048,36154,12467,0,0,12467
Burkina Faso,Est,Tapoa,641089,2,416708,147450,76931,0,0,76931
Burkina Faso,Nord,Loroum,209961,3,86084,60889,52490,10498,0,62988
Burkina Faso,Plateau Central,Ganzourgou,510441,1,449188,51044,10209,0,0,10209
Burkina Faso,Plateau Central,Kourweogo,191976,2,132463,47994,11519,0,0,11519
Burkina Faso,Plateau Central,Oubritenga,333215,2,243247,73307,16661,0,0,16661
Burkina Faso,Sahel,Oudalan,167549,3,58642,50265,41887,16755,0,58642
Burkina Faso,Sahel,Seno,428131,3,175534,149846,81345,21407,0,102752
Burkina Faso,Sahel,Soum,385254,3,96314,134839,123281,30820,0,154102
Burkina Faso,Sahel,Yagha,179074,3,100281,35815,41187,1791,0,42978
Burkina Faso,Sud-Ouest,Bougouriba,162739,1,143210,16274,3255,0,0,3255
Burkina Faso,Sud-Ouest,Ioba,281685,2,211263,61971,8451,0,0,8451
Burkina Faso,Sud-Ouest,Noumbiel,104762,2,75429,26191,3143,0,0,3143
Burkina Faso,Sud-Ouest,Poni,376812,2,275073,82899,18841,0,0,18841
