adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,Hauts-Bassins,Houet,1599122,1,1407228,159912,31982,0,0,31982
Burkina Faso,Hauts-Bassins,Kenedougou,423610,1,368540,50833,4236,0,0,4236
Burkina Faso,Hauts-Bassins,Tuy,348733,1,296423,34873,17437,0,0,17437
Burkina Faso,Nord,Passore,485000,2,242500,169750,72750,0,0,72750
Burkina Faso,Nord,Yatenga,874047,3,218512,349619,262214,43702,0,305916
Burkina Faso,Nord,Zondoma,254222,2,200836,40676,12711,0,0,12711
Burkina Faso,Boucle Du Mouhoun,Bale,315048,1,255189,44107,15752,0,0,15752
Burkina Faso,Boucle Du Mouhoun,Banwa,366307,1,304035,51283,10989,0,0,10989
Burkina Faso,Boucle Du Mouhoun,Kossi,376802,2,263761,75360,37680,0,0,37680
Burkina Faso,Boucle Du Mouhoun,Mouhoun,414593,1,344112,58043,12438,0,0,12438
Burkina Faso,Boucle Du Mouhoun,Nayala,236355,1,196174,30726,9454,0,0,9454
Burkina Faso,Boucle Du Mouhoun,Sourou,301890,3,193209,45283,63397,0,0,63397
Burkina Faso,Cascades,Comoe,670314,1,569767,80438,20109,0,0,20109
Burkina Faso,Cascades,Leraba,190032,1,157726,28505,3801,0,0,3801
Burkina Faso,Centre-Est,Boulgou,780354,1,717925,46821,15607,0,0,15607
Burkina Faso,Centre-Est,Koulpelogo,383085,2,268160,76617,38309,0,0,38309
Burkina Faso,Centre-Est,Kouritenga,508466,2,269487,152540,86439,0,0,86439
Burkina Faso,Centre-Nord,Bam,502136,3,150641,175747,135577,40171,0,175747
Burkina Faso,Centre-Nord,Namentenga,543003,3,238921,162901,124891,16290,0,141181
Burkina Faso,Centre-Nord,Sanmatenga,938301,3,262724,347171,281490,46915,0,328405
Burkina Faso,Centre-Ouest,Boulkiemde,730162,2,416192,219049,94921,0,0,94921
Burkina Faso,Centre-Ouest,Sanguie,414799,1,348431,49776,16592,0,0,16592
Burkina Faso,Centre-Ouest,Sissili,357008,1,324877,21420,10710,0,0,10710
Burkina Faso,Centre-Ouest,Ziro,256032,1,232989,15362,7681,0,0,7681
Burkina Faso,Centre-Sud,Bazega,297489,2,223116,59498,14874,0,0,14874
Burkina Faso,Centre-Sud,Nahouri,207239,1,167863,26941,12434,0,0,12434
Burkina Faso,Centre-Sud,Zoundweogo,330487,2,261085,59488,9915,0,0,9915
Burkina Faso,Centre,Kadiogo,3212986,2,2345480,610467,257039,0,0,257039
Burkina Faso,Est,Gnagna,716085,2,365203,236308,114574,0,0,114574
Burkina Faso,Est,Gourma,463240,2,240885,152869,69486,0,0,69486
Burkina Faso,Est,Komonjdjari,111862,3,36914,39152,22372,13423,0,35796
Burkina Faso,Est,Kompienga,124669,3,52361,46127,22440,3740,0,26180
Burkina Faso,Est,Tapoa,641089,3,294901,211559,128218,6411,0,134629
Burkina Faso,Nord,Loroum,209961,3,58789,73486,62988,14697,0,77686
Burkina Faso,Plateau Central,Ganzourgou,510441,1,418561,76566,15313,0,0,15313
Burkina Faso,Plateau Central,Kourweogo,191976,2,126704,51834,13438,0,0,13438
Burkina Faso,Plateau Central,Oubritenga,333215,2,226586,79971,26657,0,0,26657
Burkina Faso,Sahel,Oudalan,167549,4,33510,55291,41887,36861,0,78748
Burkina Faso,Sahel,Seno,428131,3,145565,158409,94189,29969,0,124158
Burkina Faso,Sahel,Soum,385254,4,84756,77051,134839,88608,0,223447
Burkina Faso,Sahel,Yagha,179074,3,71630,53722,50141,3581,0,53722
Burkina Faso,Sud-Ouest,Bougouriba,162739,1,138328,19529,4882,0,0,4882
Burkina Faso,Sud-Ouest,Ioba,281685,2,197179,70421,14084,0,0,14084
Burkina Faso,Sud-Ouest,Noumbiel,104762,2,73334,28286,3143,0,0,3143
Burkina Faso,Sud-Ouest,Poni,376812,2,263769,90435,22609,0,0,22609
