adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,Boucle Du Mouhoun,Bale,321010.8592,2,202236.8413,96303.25776,22470.76014,0,0,22470.76014
Burkina Faso,Boucle Du Mouhoun,Banwa,402016.3493,1,329653.4064,60302.45239,12060.49048,0,0,12060.49048
Burkina Faso,Boucle Du Mouhoun,Kossi,407645.1593,2,297580.9663,81529.03186,28535.16115,0,0,28535.16115
Burkina Faso,Boucle Du Mouhoun,Mouhoun,446107.6666,1,383652.5933,53532.91999,8922.153332,0,0,8922.153332
Burkina Faso,Boucle Du Mouhoun,Nayala,238177.3676,1,204832.5361,28581.28411,4763.547352,0,0,4763.547352
Burkina Faso,Boucle Du Mouhoun,Sourou,317373.6458,2,209466.6062,79343.41146,28563.62812,0,0,28563.62812
Burkina Faso,Cascades,Comoe,714345.9486,1,578620.2184,92864.97332,42860.75692,0,0,42860.75692
Burkina Faso,Cascades,Leraba,191588.1704,1,159018.1815,28738.22557,3831.763409,0,0,3831.763409
Burkina Faso,Centre-Est,Boulgou,831500.6236,2,640255.4802,166300.1247,24945.01871,0,0,24945.01871
Burkina Faso,Centre-Est,Koulpelogo,407566.8353,2,268994.1113,122270.0506,16302.67341,0,0,16302.67341
Burkina Faso,Centre-Est,Kouritenga,506694.2766,2,268547.9666,197610.7679,40535.54213,0,0,40535.54213
Burkina Faso,Centre-Nord,Bam,419764.5253,3,172103.4554,146917.5839,92348.19557,8395.290507,0,100743.4861
Burkina Faso,Centre-Nord,Namentenga,501611.4257,3,180580.1133,175563.999,125402.8564,20064.45703,0,145467.3135
Burkina Faso,Centre-Nord,Sanmatenga,907511.6429,3,163352.0957,363004.6572,363004.6572,18150.23286,0,381154.89
Burkina Faso,Centre-Ouest,Boulkiemde,734873.3353,2,455621.4679,257205.6674,22046.20006,0,0,22046.20006
Burkina Faso,Centre-Ouest,Sanguie,430273.9484,2,215136.9742,172109.5794,43027.39484,0,0,43027.39484
Burkina Faso,Centre-Ouest,Sissili,324645.7729,1,275948.907,38957.49275,9739.373187,0,0,9739.373187
Burkina Faso,Centre-Ouest,Ziro,286738.9958,1,243728.1465,28673.89958,14336.94979,0,0,14336.94979
Burkina Faso,Centre-Sud,Bazega,333452.7805,2,223413.363,100035.8342,10003.58342,0,0,10003.58342
Burkina Faso,Centre-Sud,Nahouri,240208.6027,2,148929.3337,76866.75286,14412.51616,0,0,14412.51616
Burkina Faso,Centre-Sud,Zoundweogo,365916.4334,2,237845.6817,98797.43702,29273.31467,0,0,29273.31467
Burkina Faso,Centre,Kadiogo,3179910.512,2,1844348.097,1208365.994,127196.4205,0,0,127196.4205
Burkina Faso,Est,Gnagna,629087.8702,3,251635.1481,188726.3611,188726.3611,0,0,188726.3611
Burkina Faso,Est,Gourma,482599.8883,3,193039.9553,168909.9609,115823.9732,4825.998883,0,120649.9721
Burkina Faso,Est,Komondjari,134327.6582,4,13432.76582,47014.68036,44328.1272,29552.0848,0,73880.21199
Burkina Faso,Est,Kompienga,140413.225,3,56165.29001,51952.89326,32295.04175,0,0,32295.04175
Burkina Faso,Est,Tapoa,554119.0098,3,238271.1742,193941.6534,121906.1822,0,0,121906.1822
Burkina Faso,Hauts-Bassins,Houet,1530315.277,1,1270161.68,244850.4444,15303.15277,0,0,15303.15277
Burkina Faso,Hauts-Bassins,Kenedougou,460662.1672,1,377742.9771,78312.56842,4606.621672,0,0,4606.621672
Burkina Faso,Hauts-Bassins,Tuy,365897.906,1,307354.2411,54884.68591,3658.97906,0,0,3658.97906
Burkina Faso,Nord,Loroum,216156.4383,3,60523.80272,86462.57531,64846.93148,4323.128765,0,69170.06025
Burkina Faso,Nord,Passore,468996.9187,2,257948.3053,140699.0756,70349.5378,0,0,70349.5378
Burkina Faso,Nord,Yatenga,823020.9776,2,411510.4888,329208.3911,82302.09776,0,0,82302.09776
Burkina Faso,Nord,Zondoma,254356.5275,2,185680.2651,50871.3055,17804.95692,0,0,17804.95692
Burkina Faso,Plateau Central,Ganzourgou,475011.1022,2,332507.7715,99752.33145,42750.99919,0,0,42750.99919
Burkina Faso,Plateau Central,Kourweogo,198955.1537,2,127331.2984,59686.54612,11937.30922,0,0,11937.30922
Burkina Faso,Plateau Central,Oubritenga,349991.5761,2,216994.7772,104997.4728,27999.32609,0,0,27999.32609
Burkina Faso,Sahel,Oudalan,314631.5817,3,78657.89542,141584.2118,78657.89542,15731.57908,0,94389.4745
Burkina Faso,Sahel,Seno,406213.7097,3,101553.4274,162485.4839,121864.1129,20310.68549,0,142174.7984
Burkina Faso,Sahel,Soum,545586.3027,4,60014.4933,141852.4387,218234.5211,125484.8496,0,343719.3707
Burkina Faso,Sahel,Yagha,251840.0724,3,88144.02534,88144.02534,67996.81955,7555.202172,0,75552.02172
Burkina Faso,Sud-Ouest,Bougouriba,156301.2099,2,96906.75012,46890.36296,12504.09679,0,0,12504.09679
Burkina Faso,Sud-Ouest,Ioba,279151.3721,2,175865.3644,83745.41164,19540.59605,0,0,19540.59605
Burkina Faso,Sud-Ouest,Noumbiel,109433.2699,2,73320.29086,27358.31748,8754.661595,0,0,8754.661595
Burkina Faso,Sud-Ouest,Poni,393272.8265,2,279223.7068,98318.20663,15730.91306,0,0,15730.91306
