adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Burkina Faso,Boucle Du Mouhoun,Bale,317583,1,260418,47637,9527,0,0,9527,1,1,2,NA
Burkina Faso,Boucle Du Mouhoun,Banwa,369254,1,310173,51696,7385,0,0,7385,1,1,2,NA
Burkina Faso,Boucle Du Mouhoun,Kossi,379833,2,273480,75967,30387,0,0,30387,2,2,2,NA
Burkina Faso,Boucle Du Mouhoun,Mouhoun,417928,1,346880,62689,8359,0,0,8359,1,1,2,NA
Burkina Faso,Boucle Du Mouhoun,Nayala,238256,2,176310,52416,9530,0,0,9530,2,1,2,NA
Burkina Faso,Boucle Du Mouhoun,Sourou,304318,3,146073,91296,63907,3043,0,66950,3,3,2,NA
Burkina Faso,Cascades,Comoe,675707,2,533809,121627,20271,0,0,20271,2,2,2,NA
Burkina Faso,Cascades,Leraba,191561,1,172405,19156,0,0,0,0,1,1,2,NA
Burkina Faso,Centre-Est,Boulgou,786632,2,597840,149460,39332,0,0,39332,2,2,2,NA
Burkina Faso,Centre-Est,Koulpelogo,386168,2,281902,84957,19308,0,0,19308,2,2,1,NA
Burkina Faso,Centre-Est,Kouritenga,512557,2,297283,179395,35879,0,0,35879,2,2,2,NA
Burkina Faso,Centre-Nord,Bam,506176,3,207532,177161,111359,10124,0,121482,3,2,3,NA
Burkina Faso,Centre-Nord,Namentenga,547372,3,191580,218949,125896,10947,0,136843,3,3,3,NA
Burkina Faso,Centre-Nord,Sanmatenga,945850,3,85127,454008,359423,47293,0,406716,3,3,3,NA
Burkina Faso,Centre-Ouest,Boulkiemde,736037,2,515226,184009,36802,0,0,36802,2,2,2,NA
Burkina Faso,Centre-Ouest,Sanguie,418137,2,313602,83627,20907,0,0,20907,2,2,3,NA
Burkina Faso,Centre-Ouest,Sissili,359880,1,295102,46784,17994,0,0,17994,1,1,2,NA
Burkina Faso,Centre-Ouest,Ziro,258092,1,214216,33552,10324,0,0,10324,1,1,2,NA
Burkina Faso,Centre-Sud,Bazega,299882,2,236907,53979,8996,0,0,8996,2,1,2,NA
Burkina Faso,Centre-Sud,Nahouri,208906,1,175481,29247,4178,0,0,4178,1,1,2,NA
Burkina Faso,Centre-Sud,Zoundweogo,333146,2,229871,83287,19989,0,0,19989,2,1,2,NA
Burkina Faso,Centre,Kadiogo,3238837,1,2785399,388660,64777,0,0,64777,1,1,3,NA
Burkina Faso,Est,Gnagna,721846,2,360923,288738,72185,0,0,72185,3,2,2,NA
Burkina Faso,Est,Gourma,466967,3,177447,177447,98063,14009,0,112072,3,3,3,NA
Burkina Faso,Est,Komonjdjari,112762,3,27063,45105,31573,9021,0,40594,4,3,3,NA
Burkina Faso,Est,Kompienga,125672,3,37701,49012,28904,10054,0,38958,3,3,3,NA
Burkina Faso,Est,Tapoa,646247,3,161562,258499,161562,64625,0,226186,4,3,3,NA
Burkina Faso,Hauts-Bassins,Houet,1611988,1,1499149,80599,32240,0,0,32240,1,1,2,NA
Burkina Faso,Hauts-Bassins,Kenedougou,427018,1,380046,38432,8540,0,0,8540,1,1,2,NA
Burkina Faso,Hauts-Bassins,Tuy,351539,1,298808,42185,10546,0,0,10546,1,1,2,NA
Burkina Faso,Nord,Loroum,211651,3,48680,95243,59262,8466,0,67728,3,3,3,NA
Burkina Faso,Nord,Passore,488902,2,283563,146671,58668,0,0,58668,3,1,2,NA
Burkina Faso,Nord,Yatenga,881079,3,299567,352432,185027,44054,0,229081,3,3,3,NA
Burkina Faso,Nord,Zondoma,256268,2,187075,53816,15376,0,0,15376,2,2,2,NA
Burkina Faso,Plateau Central,Ganzourgou,514548,1,421929,72037,20582,0,0,20582,1,1,2,NA
Burkina Faso,Plateau Central,Kourweogo,193521,2,139335,40639,13546,0,0,13546,2,1,3,NA
Burkina Faso,Plateau Central,Oubritenga,335895,2,258640,60461,16795,0,0,16795,2,2,2,NA
Burkina Faso,Sahel,Oudalan,168897,4,21957,50669,59114,37157,0,96271,4,3,4,NA
Burkina Faso,Sahel,Seno,431576,4,60421,151052,129473,90631,0,220104,3,4,4,NA
Burkina Faso,Sahel,Soum,388354,4,62137,135924,108739,81554,0,190293,4,3,4,NA
Burkina Faso,Sahel,Yagha,180515,3,64985,72206,37908,5415,0,43324,2,3,4,NA
Burkina Faso,Sud-Ouest,Bougouriba,164049,2,127958,31169,4921,0,0,4921,2,2,2,NA
Burkina Faso,Sud-Ouest,Ioba,283951,2,218642,59630,5679,0,0,5679,2,2,3,NA
Burkina Faso,Sud-Ouest,Noumbiel,105605,2,77092,23233,5280,0,0,5280,1,2,2,NA
Burkina Faso,Sud-Ouest,Poni,379844,2,292480,79767,7597,0,0,7597,2,1,2,NA
