adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Central African Republic,Bamingui-Bangoran,Bamingui,9132,3,1826,2740,3653,913,0,4566
Central African Republic,Bamingui-Bangoran,Ndele,50500,3,5050,25250,15150,5050,0,20200
Central African Republic,Bangui,Bangui,876341,3,131451,306719,306719,131451,0,438170
Central African Republic,Basse-Kotto,Alindao,83427,4,8343,25028,33371,16685,0,50056
Central African Republic,Basse-Kotto,Kembe,43220,4,6483,10805,17288,8644,0,25932
Central African Republic,Basse-Kotto,Mobaye,75706,4,11355,18926,30282,15141,0,45423
Central African Republic,Basse-Kotto,Satema,36754,4,3675,9189,14702,9189,0,23891
Central African Republic,Basse-Kotto,Zangba,39506,4,3951,9877,15802,9877,0,25679
Central African Republic,Haut-Mbomou,Obo,47808,4,4780,11952,16733,14342,0,31075
Central African Republic,Haut-Mbomou,Zemio,13377,4,1337,3344,4682,4013,0,8695
Central African Republic,Haute-Kotto,Bria,88319,4,4416,17664,30912,26496,0,57408
Central African Republic,Kemo,Dekoa,46055,3,4606,18422,16119,6908,0,23027
Central African Republic,Kemo,Mala,18227,4,3645,4557,4557,5468,0,10025
Central African Republic,Kemo,Ndjoukou,36573,4,3657,10972,14629,7315,0,21944
Central African Republic,Kemo,Sibut,51308,3,5131,17958,20523,7696,0,28219
Central African Republic,Lobaye,Boda,55225,3,8284,22090,19329,5523,0,24852
Central African Republic,Lobaye,Boganangone,33848,3,6770,13539,10154,3385,0,13539
Central African Republic,Lobaye,Boganda,16215,3,2432,7297,4865,1622,0,6487
Central African Republic,Lobaye,Mbaiki,175068,3,26260,87534,43767,17507,0,61274
Central African Republic,Lobaye,Mongoumba,26943,3,4041,12124,8083,2694,0,10777
Central African Republic,Mambere-Kadei,Amada-Gaza,21292,4,2129,7452,7452,4258,0,11710
Central African Republic,Mambere-Kadei,Carnot,115490,4,11549,34647,46196,23098,0,69294
Central African Republic,Mambere-Kadei,Dede-Mokouba,25553,3,2555,8944,11499,2555,0,14054
Central African Republic,Mambere-Kadei,Gadzi,70752,3,7075,24763,31838,7075,0,38913
Central African Republic,Mambere-Kadei,Gamboula,33623,3,1681,11768,15130,5043,0,20173
Central African Republic,Mambere-Kadei,Sosso-Nakombo,17205,3,4301,4301,6021,2580,0,8601
Central African Republic,Mbomou,Bakouma,21930,3,2193,8772,8772,2193,0,10965
Central African Republic,Mbomou,Bangassou,90928,4,4546,27278,36371,22732,0,59103
Central African Republic,Mbomou,Gambo,15832,4,1583,4750,6333,3166,0,9499
Central African Republic,Mbomou,Ouango,62942,3,12588,25177,15736,9441,0,25177
Central African Republic,Mbomou,Rafai,18049,4,1804,5415,7220,3609,0,10829
Central African Republic,Nana-Gribizi,Kaga-Bandoro,120197,4,18029,42069,36059,24039,0,60098
Central African Republic,Nana-Mambere,Abba,29195,3,4379,13138,8759,2920,0,11679
Central African Republic,Nana-Mambere,Baboua,52835,3,7925,23776,18492,2641,0,21133
Central African Republic,Nana-Mambere,Baoro,34347,3,8587,17174,8587,0,0,8587
Central African Republic,Nana-Mambere,Bouar,104949,3,10494,47227,36732,10494,0,47226
Central African Republic,Ombella M'poko,Bimbo,282601,3,56520,141301,70650,14130,0,84780
Central African Republic,Ombella M'poko,Boali,27735,3,5547,12481,6934,2774,0,9708
Central African Republic,Ombella M'poko,Bogangolo,9466,3,1893,4733,2367,473,0,2840
Central African Republic,Ombella M'poko,Bossembele,37710,3,7542,15084,11313,3771,0,15084
Central African Republic,Ombella M'poko,Damara,36049,3,12617,14420,5407,3605,0,9012
Central African Republic,Ombella M'poko,Yaloke,39332,3,3933,17699,11800,5900,0,17700
Central African Republic,Ouaka,Bakala,5985,3,898,3292,1496,299,0,1795
Central African Republic,Ouaka,Bambari,170726,4,17073,34145,68290,51218,0,119508
Central African Republic,Ouaka,Grimari,57984,3,8698,20294,23194,5798,0,28992
Central African Republic,Ouaka,Ippy,44447,4,4445,15556,15556,8889,0,24445
Central African Republic,Ouaka,Kouango,89151,4,8915,26745,31203,22288,0,53491
Central African Republic,Ouham,Batangafo,78527,4,7853,27484,27484,15705,0,43189
Central African Republic,Ouham,Bossangoa,148875,3,14888,52106,66994,14888,0,81882
Central African Republic,Ouham,Bouca,66747,3,10012,20024,26699,10012,0,36711
Central African Republic,Ouham,Kabo,50237,4,7536,15071,17583,10047,0,27630
Central African Republic,Ouham,Markounda,22516,4,2252,10132,5629,4503,0,10132
Central African Republic,Ouham,Nana-Bakassa,57222,4,8583,14306,22889,11444,0,34333
Central African Republic,Ouham,Nangha Boguila,27657,4,2765,9679,9679,5531,0,15210
Central African Republic,Ouham Pende,Bocaranga,82969,3,12445,24891,37336,8296,0,45632
Central African Republic,Ouham Pende,Bossemtele,22205,3,2221,9992,7772,2221,0,9993
Central African Republic,Ouham Pende,Bozoum,53137,3,10627,26569,10627,5313,0,15940
Central African Republic,Ouham Pende,Koui,26512,4,3977,7954,9279,5302,0,14581
Central African Republic,Ouham Pende,Ngaoundaye,110481,4,11048,38668,38668,22096,0,60764
Central African Republic,Ouham Pende,Paoua,196266,4,9813,58880,78506,49066,0,127572
Central African Republic,Sangha-Mbaere,Bambio,15173,3,1517,6069,6069,1517,0,7586
Central African Republic,Sangha-Mbaere,Bayanga,12864,3,1286,4502,5145,1929,0,7074
Central African Republic,Sangha-Mbaere,Nola,98728,4,14809,24682,34555,24682,0,59237
Central African Republic,Vakaga,Birao,66041,4,6604,19812,23114,16510,0,39624
