adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Central African Republic,Bamingui-Bangoran,Bamingui,9132,3,1826,2740,3196,1370,0,4566
Central African Republic,Bamingui-Bangoran,Ndele,50500,3,10100,12625,20200,7575,0,27775
Central African Republic,Bangui,Bangui,876341,3,175268,306719,350536,43817,0,394353
Central African Republic,Basse-Kotto,Alindao,83427,3,29199,20857,29199,4171,0,33370
Central African Republic,Basse-Kotto,Kembe,43220,3,12966,8644,15127,6483,0,21610
Central African Republic,Basse-Kotto,Mingala,34704,3,8676,6941,13882,5206,0,19088
Central African Republic,Basse-Kotto,Mobaye,75706,3,15141,22712,26497,11356,0,37853
Central African Republic,Basse-Kotto,Satema,36754,3,7351,9189,14702,5513,0,20215
Central African Republic,Basse-Kotto,Zangba,39506,3,15802,7901,11852,3951,0,15803
Central African Republic,Haut-Mbomou,Obo,43808,3,8762,13142,15333,6571,0,21904
Central African Republic,Haut-Mbomou,Zemio,19377,4,2907,4844,6782,4844,0,4844
Central African Republic,Haute-Kotto,Bria,88319,3,17664,39744,22080,8832,0,30912
Central African Republic,Kemo,Dekoa,46055,3,2303,13817,23028,6908,0,29936
Central African Republic,Kemo,Mala,18227,3,7291,7291,2734,911,0,3645
Central African Republic,Kemo,Ndjoukou,36573,3,5486,12801,12801,5486,0,18287
Central African Republic,Kemo,Sibut,51308,3,5131,15392,23089,7696,0,30785
Central African Republic,Lobaye,Boda,55225,3,16568,16568,19329,2761,0,22090
Central African Republic,Lobaye,Mbaiki,175068,3,70027,61274,43767,0,0,43767
Central African Republic,Lobaye,Mongoumba,26943,3,5389,10777,9430,1347,0,10777
Central African Republic,Mambere-Kadei,Amada-Gaza,21292,3,2129,6388,10646,2129,0,12775
Central African Republic,Mambere-Kadei,Berberati,171399,3,51420,59990,51420,8570,0,59990
Central African Republic,Mambere-Kadei,Carnot,115490,3,17324,63520,23098,11549,0,34647
Central African Republic,Mambere-Kadei,Dede-Mokouba,25553,3,6388,10221,7666,1278,0,8944
Central African Republic,Mambere-Kadei,Gadzi,70752,3,14150,28301,21226,7075,0,28301
Central African Republic,Mambere-Kadei,Gamboula,33623,3,6725,15130,10087,1681,0,11
Central African Republic,Mambere-Kadei,Sosso-Nakombo,17205,3,4301,6882,5162,860,0,6022
Central African Republic,Mbomou,Bakouma,21930,3,3290,6579,8772,3290,0,12062
Central African Republic,Mbomou,Bangassou,90928,3,18186,36371,27278,9093,0,36371
Central African Republic,Mbomou,Gambo,15832,3,4750,3958,4750,2375,0,7125
Central African Republic,Mbomou,Ouango,62942,4,22030,12588,15736,12588,0,28324
