adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Central African Republic,Bamingui-Bangoran,Bamingui,9132,3,1826,3652,2739,913,0,3652
Central African Republic,Bamingui-Bangoran,Ndele,50500,3,5050,25250,15150,5050,0,20200
Central African Republic,Bangui,Bangui,876341,3,306719,350536,175268,43817,0,219085
Central African Republic,Basse-Kotto,Alindao,83427,4,12514,16685,37542,16685,0,54227
Central African Republic,Basse-Kotto,Kembe,43220,4,6483,10805,17288,8644,0,25932
Central African Republic,Basse-Kotto,Mobaye,75706,4,11355,18926,30282,15141,0,45423
Central African Republic,Basse-Kotto,Satema,36754,4,3675,9188,16539,7350,0,23889
Central African Republic,Basse-Kotto,Zangba,39506,4,3950,9876,17777,7901,0,25678
Central African Republic,Haut-Mbomou,Obo,47808,4,4780,7171,21513,14342,0,35855
Central African Republic,Haut-Mbomou,Zemio,13377,4,1337,2006,4681,5350,0,10031
Central African Republic,Haute-Kotto,Bria,88319,4,8831,13247,30911,35327,0,66238
Central African Republic,Kemo,Dekoa,46055,3,6908,20724,13816,4605,0,18421
Central African Republic,Kemo,Mala,18227,4,3645,4556,5468,4556,0,10024
Central African Republic,Kemo,Ndjoukou,36573,4,3657,9143,16457,7314,0,23771
Central African Republic,Kemo,Sibut,51308,3,12827,17957,12827,7696,0,20523
Central African Republic,Lobaye,Boda,55225,3,11045,24851,13806,5522,0,19328
Central African Republic,Lobaye,Boganangone,33848,3,8462,15231,8462,1692,0,10154
Central African Republic,Lobaye,Boganda,16215,3,3243,7296,4053,1621,0,5674
Central African Republic,Lobaye,Mbaiki,175068,3,26260,96287,35013,17506,0,52519
Central African Republic,Lobaye,Mongoumba,26943,3,4041,13471,6735,2694,0,9429
Central African Republic,Mambere-Kadei,Amada-Gaza,21292,4,4258,6387,6387,4258,0,10645
Central African Republic,Mambere-Kadei,Carnot,115490,4,11549,34647,46196,23098,0,69294
Central African Republic,Mambere-Kadei,Dede-Mokouba,25553,3,5110,7665,11498,1277,0,12775
Central African Republic,Mambere-Kadei,Gadzi,70752,3,10612,24763,24763,10612,0,35375
Central African Republic,Mambere-Kadei,Gamboula,33623,3,3362,10086,15130,5043,0,20173
Central African Republic,Mambere-Kadei,Sosso-Nakombo,17205,3,4301,4301,6021,2580,0,8601
Central African Republic,Mbomou,Bakouma,21930,3,2193,7675,8772,3289,0,12061
Central African Republic,Mbomou,Bangassou,90928,3,9092,18185,50010,13639,0,63649
Central African Republic,Mbomou,Gambo,15832,4,1583,3958,7124,3166,0,10290
