"","adm0_name","adm1_name","adm2_name","population","phase_class","phase1","phase2","phase3","phase4","phase5","phase35"
"1","Central African Republic","Bamingui-Bangoran","Bamingui",8918,3,1784,2675,3121,1338,0,4459
"2","Central African Republic","Bamingui-Bangoran","Ndele",47533,3,11883,11883,16637,7130,0,23767
"3","Central African Republic","Bangui","Bangui",910141,3,227535,409563,182028,91014,0,273042.3
"4","Central African Republic","Basse-Kotto","Alindao",85045,3,17009,21261.25,34018,12757,0,46774.75
"5","Central African Republic","Basse-Kotto","Kembe",48901,3,12225,9780,19560,7335,0,26895
"6","Central African Republic","Basse-Kotto","Mingala",37357,4,7471,9339,13075,7471,0,20546
"7","Central African Republic","Basse-Kotto","Mobaye",77754,3,23326,23326,19438,11663,0,31101
"8","Central African Republic","Basse-Kotto","Satema",30448,4,6090,9134,9134,6090,0,15224
"9","Central African Republic","Basse-Kotto","Zangba",47652,3,9530,11913,19060.8,7147.8,0,26208.6
"10","Central African Republic","Haut-Mbomou","Obo",40816,4,4081,12244,16326,8163,0,24489
"11","Central African Republic","Haut-Mbomou","Zemio",26414,3,3962,9244,9244,3962,0,13206
"12","Central African Republic","Haute-Kotto","Bria",91568,3,13735,36627,27470,13735,0,41205
"13","Central African Republic","Kemo","Dekoa",47082,3,7062,21186,14124,4708,0,18832
"14","Central African Republic","Kemo","Mala",19154,3,2873,7661,6703,1915,0,8618
"15","Central African Republic","Kemo","Ndjoukou",38490,3,3849,13471,15396,5773,0,21169
"16","Central African Republic","Kemo","Sibut",51315,3,10263,20526,15394,5131,0,20525
"17","Central African Republic","Lobaye","Boda",50939,3,17828,17828,10187,5093,0,15280
"18","Central African Republic","Lobaye","Boganangone",38470,3,7694,15388,11541,3847,0,15388
"19","Central African Republic","Lobaye","Boganda",18384,3,4596,6434,5515,1838,0,7353
"20","Central African Republic","Lobaye","Mbaiki",188212,3,56463,65874,47053,18821,0,65874
"21","Central African Republic","Lobaye","Mongoumba",30586,3,7646,10705,9175,3058,0,12233
"22","Central African Republic","Mambere-Kadei","Amada-Gaza",22054,3,6616,9924,3308,2205,0,5513
"23","Central African Republic","Mambere-Kadei","Berberati",173716,3,52114,69486,34743,17371,0,52114
"24","Central African Republic","Mambere-Kadei","Carnot",116832,3,46732,40891,23366,5841,0,29207
"25","Central African Republic","Mambere-Kadei","Dede-Mokouba",27197,3,9518,8159,6799,2719,0,9518
"26","Central African Republic","Mambere-Kadei","Gadzi",74108,3,25937,25937,14821,7410,0,22231
"27","Central African Republic","Mambere-Kadei","Gamboula",35114,3,8778,12289,10534,3511,0,14045
"28","Central African Republic","Mambere-Kadei","Sosso-Nakombo",17942,3,4485,7176,4485,1794,0,6279
"29","Central African Republic","Mbomou","Bakouma",28531,3,4279,9985,11412,2853,0,14265
"30","Central African Republic","Mbomou","Bangassou",85699,3,17139,25709,34279,8569,0,42848
"31","Central African Republic","Mbomou","Gambo",26874,3,2687,9405,10749,4031,0,14780
"32","Central African Republic","Mbomou","Ouango",56482,3,8472,19768,19768,8472,0,28240
"33","Central African Republic","Mbomou","Rafai",18870,3,2830,6604,7548,1887,0,9435
"34","Central African Republic","Nana-Gribizi","Kaga-Bandoro",123625,3,24725,49450,37087,12362,0,49449
"35","Central African Republic","Nana-Gribizi","Mbres",26688,3,5337,8006,10675,2668,0,13343
"36","Central African Republic","Nana-Mambere","Abba",29106,3,8731,8731,8731,2910,0,11641
"37","Central African Republic","Nana-Mambere","Baboua",52930,3,15879,15879,15879,5293,0,21172
"38","Central African Republic","Nana-Mambere","Baoro",34221,3,8555,11977,10266,3422,0,13688
"39","Central African Republic","Nana-Mambere","Bouar",102537,3,35887,35887,20507,10253,0,30760
"40","Central African Republic","Ombella M'poko","Bimbo",279403,3,69850,83820,97791,27940,0,125731
"41","Central African Republic","Ombella M'poko","Boali",31524,3,6304,11033,9457,4728,0,14185
"42","Central African Republic","Ombella M'poko","Bogangolo",10787,3,2157,3236,3775,1618,0,5393.5
"43","Central African Republic","Ombella M'poko","Bossembele",39651,3,5947,11895,15860,5947,0,21807
"44","Central African Republic","Ombella M'poko","Damara",39229,3,9807,13730,11768,3922,0,15690
"45","Central African Republic","Ombella M'poko","Yaloke",40721,3,10180,14252,14252,2036,0,16288
"46","Central African Republic","Ouaka","Bakala",10966,3,2742,2741,3838,1645,0,5483
"47","Central African Republic","Ouaka","Bambari",153642,3,46092,53774,46092,7682,0,53774
"48","Central African Republic","Ouaka","Grimari",50640,3,7596,17724,17724,7596,0,25320
"49","Central African Republic","Ouaka","Ippy",55525,4,13881,11105,19434,11105,0,30539
"50","Central African Republic","Ouaka","Kouango",95429,4,23857,19086,28629,23857,0,52486
"51","Central African Republic","Ouham","Batangafo",80675,3,24202,24202,20168,12101,0,32269
"52","Central African Republic","Ouham","Bossangoa",152197,3,30439,30439,68488,22829,0,91317
"53","Central African Republic","Ouham","Bouca",68246,3,13649,27298,20473,6824,0,27297
"54","Central African Republic","Ouham","Kabo",51315,3,10263,12828,20526,7697,0,28223
"55","Central African Republic","Ouham","Markounda",22867,3,5716,6860,6860,3430,0,10290
"56","Central African Republic","Ouham","Nana-Bakassa",58113,3,14528,17433,20339,5811,0,26150
"57","Central African Republic","Ouham","Nangha Boguila",28114,3,5622,5622,12651,4217,0,16868
"58","Central African Republic","Ouham Pende","Bocaranga",81012,4,16202,16202,20253,28354,0,48607
"59","Central African Republic","Ouham Pende","Bossemtele",22327,3,5581,5581,7814,3349,0,11163
"60","Central African Republic","Ouham Pende","Bozoum",53861,4,10772,8079,24237,10772,0,35009
"61","Central African Republic","Ouham Pende","Koui",28288,4,5657,5657,7072,9900,0,16972
"62","Central African Republic","Ouham Pende","Ngaoundaye",112153,4,16822,22430,44861,28038,0,72899
"63","Central African Republic","Ouham Pende","Paoua",200740,3,30111,50185,90333,30111,0,120444
"64","Central African Republic","Sangha-Mbaere","Bambio",16475,3,5766,4942,4118,1647,0,5765
"65","Central African Republic","Sangha-Mbaere","Bayanga",13661,3,3415,4098,4781,1366,0,6147
"66","Central African Republic","Sangha-Mbaere","Nola",103739,3,36308,31121,25934,10373,0,36307
"67","Central African Republic","Vakaga","Birao",49692,3,14907,14907,17392,2484,0,19876
"68","Central African Republic","Vakaga","Ouanda-Djalle",4035,3,807,1009,1614,605,0,2219.25
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
