adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cote D'ivoire,Centre Ouest,,4103952,,0,0,0,0,0,0
Cote D'ivoire,Centre Est,,1266423.967,,0,0,0,0,0,0
Cote D'ivoire,Nord Ouest,,1194701,,0,0,0,0,0,0
Cote D'ivoire,Nord,,1692174,1,1404504.42,270747.84,16921.74,0,0,16921.74
Cote D'ivoire,Nord Est,,983569.926,1,914720.0311,59014.19556,9835.69926,0,0,9835.69926
Cote D'ivoire,Centre,,953711.8239,,0,0,0,0,0,0
Cote D'ivoire,Centre Nord,,1516723,,0,0,0,0,0,0
Cote D'ivoire,Ouest,,3765661,2,2937215.58,753132.2,75313.22,0,0,75313.22
Cote D'ivoire,Sud,,1555905,1,1493668.8,62236.2,0,0,0,0
Cote D'ivoire,Sud Ouest,,2400678,,0,0,0,0,0,0
