adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Cote D'ivoire,Cavally,NA,494277,1,449792,44485,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Folon,NA,116700,1,101529,11670,3501,0,0,3501,1,2,NA,NA,0,4.4,95.6,1,94.2,5,0.5,0.3,0,1,NA,NA,NA,NA,NA,NA,78.5,9.8,11.6,0,2,78.9,8.4,12.6,2
Cote D'ivoire,Guemon,NA,1168715,1,1051844,116872,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Bagoue,NA,501199,1,410983,75180,15036,0,0,15036,2,1,NA,NA,3.6,36.6,59.8,1,97,1.9,1.1,0,0,1,NA,NA,NA,NA,NA,NA,95.4,2.9,1.3,0.4,1,89,9.9,1.1,1
Cote D'ivoire,Belier,NA,421493,2,252896,126448,42149,0,0,42149,2,3,NA,NA,0,11.6,88.4,1,58.5,14.7,23.4,3.4,0,3,NA,NA,NA,NA,NA,NA,45.5,22,32.4,0,3,65.6,34,0.4,2
Cote D'ivoire,Bere,NA,478078,2,334655,114739,23904,4781,0,28685,1,3,NA,NA,6,1.1,92.9,2,91,2.6,1.2,1.2,3.9,1,NA,NA,NA,NA,NA,NA,65.6,8.3,24,2,3,87.9,10.8,1.2,1
Cote D'ivoire,Grand Ponts,NA,380417,2,201621,133146,38042,7608,0,45650,3,2,NA,NA,36.5,22.3,41.2,4,50.4,11.1,19.5,14.6,4.4,3,NA,NA,NA,NA,NA,NA,37.2,54.9,5.6,2.3,2,49.4,43.2,7.4,2
Cote D'ivoire,Goh,NA,1136544,1,1022890,113654,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Haut-Sassandra,NA,1418950,1,1291245,127706,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Iffou,NA,697841,3,307050,209352,153525,27914,0,181439,2,3,NA,NA,4.5,21.7,73.8,1,73,4.2,9.8,10.8,2.3,3,NA,NA,NA,NA,NA,NA,58.5,0.6,37.2,3.7,3,74.9,25.1,0,2
Cote D'ivoire,Indenie-Djuablin,NA,674084,1,572971,94372,6741,0,0,6741,1,2,NA,NA,0,0,100,1,98.7,1.3,0,0,0,1,NA,NA,NA,NA,NA,NA,62.9,24,4.8,8.3,2,100,0,0,1
Cote D'ivoire,Kabadougou,NA,219449,1,179948,39501,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,La Me,NA,355441,1,341223,14218,0,0,0,0,1,1,NA,NA,0,0,100,1,98.7,1.3,0,0,0,1,NA,NA,NA,NA,NA,NA,99.2,0.4,0,0.4,1,95.9,4.1,0,1
Cote D'ivoire,Marahoue,NA,1034322,2,703339,310297,20686,0,0,20686,1,3,NA,NA,0.3,3.5,96.2,1,94.3,3.1,2.3,0.3,0,1,NA,NA,NA,NA,NA,NA,12.5,57.5,28.2,1.8,3,53.5,35.3,11.1,2
Cote D'ivoire,Moronou,NA,454241,1,395190,59051,0,0,0,0,1,1,NA,NA,0,0,100,1,91,8.1,0.4,0.5,0,1,NA,NA,NA,NA,NA,NA,86.5,13.5,0,0,1,72.7,26.8,0.5,2
Cote D'ivoire,N'zi,NA,323880,3,77731,145746,97164,3239,0,100403,3,3,NA,NA,13.7,53.6,32.6,3,35.9,23,30.9,8.7,1.4,3,NA,NA,NA,NA,NA,NA,68.9,0,31.1,0,3,79.7,19.3,0.9,2
Cote D'ivoire,Poro,NA,1038173,1,861684,145344,31145,0,0,31145,2,1,NA,NA,3.5,24.8,71.7,1,69.9,16.1,8.8,4.9,0.4,2,NA,NA,NA,NA,NA,NA,99.6,0.4,0,0,1,95.3,4.7,0,1
Cote D'ivoire,Tchologo,NA,658409,1,572816,85593,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Tonkpi,NA,1185523,1,972129,201539,11855,0,0,11855,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
