adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Cote D'ivoire,Cavally,NA,494277,1,444849,49428,0,0,0,0,1,NA,NA,NA
Cote D'ivoire,Folon,NA,116700,1,95694,16338,4668,0,0,4668,1,2,NA,NA
Cote D'ivoire,Guemon,NA,1168715,1,1028469,140246,0,0,0,0,1,NA,NA,NA
Cote D'ivoire,Bagoue,NA,501199,2,370887,105252,20048,5012,0,25060,2,1,NA,NA
Cote D'ivoire,Belier,NA,421493,2,240251,134878,46364,0,0,46364,2,3,NA,NA
Cote D'ivoire,Bere,NA,478078,2,301189,143423,28685,4781,0,33465,1,3,NA,NA
Cote D'ivoire,Grand Ponts,NA,380417,2,171188,152167,49454,7608,0,57063,2,2,NA,NA
Cote D'ivoire,Goh,NA,1136544,1,1011524,125020,0,0,0,0,1,NA,NA,NA
Cote D'ivoire,Haut-Sassandra,NA,1418950,1,1277055,141895,0,0,0,0,1,1,NA,NA
Cote D'ivoire,Iffou,NA,697841,3,244244,244244,174460,34892,0,209352,2,3,NA,NA
Cote D'ivoire,Indenie-Djuablin,NA,674084,1,566231,101113,6741,0,0,6741,1,2,NA,NA
Cote D'ivoire,Kabadougou,NA,219449,1,177754,41695,0,0,0,0,1,NA,NA,NA
Cote D'ivoire,La Me,NA,355441,1,337669,17772,0,0,0,0,1,1,NA,NA
Cote D'ivoire,Marahoue,NA,1034322,2,661966,351669,20686,0,0,20686,1,3,NA,NA
Cote D'ivoire,Moronou,NA,454241,1,390647,63594,0,0,0,0,1,1,NA,NA
Cote D'ivoire,N'zi,NA,323880,3,55060,161940,100403,6478,0,106880,3,3,NA,NA
Cote D'ivoire,Poro,NA,1038173,1,840920,145344,51909,0,0,51909,2,1,NA,NA
Cote D'ivoire,Tchologo,NA,658409,1,559648,92177,6584,0,0,6584,1,NA,NA,NA
Cote D'ivoire,Tonkpi,NA,1185523,2,912853,260815,11855,0,0,11855,2,NA,NA,NA
