adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cote D'ivoire,Nord,,1607497,2,1205623,353649.34,48224.91,0,0,48224.91
Cote D'ivoire,Ouest,,2371920,1,1921255.2,403226.4,47438.4,0,0,47438.4
Cote D'ivoire,Nord Ouest,,1134918,1,1021426.2,90793.44,22698.36,0,0,22698.36
Cote D'ivoire,Nord Est,,934352,2,710107.52,186870.4,18687.04,0,0,18687.04
Cote D'ivoire,Centre,,1258604,1,1145329.64,113274.36,0,0,0,0
Cote D'ivoire,Centre Est,,1763484,1,1463691.72,123443.88,0,0,0,0
Cote D'ivoire,Centre Ouest,,3036246,1,2884433.7,151812.3,0,0,0,0
Cote D'ivoire,Sud Ouest,,2280548,1,2052493.2,205249.32,22805.48,0,0,22805.48
Cote D'ivoire,Sud,,1478047,1,1226779.01,221707.05,29560.94,0,0,29560.94
Cote D'ivoire,Centre Nord,,1440826,1,1239110.36,172899.12,28816.52,0,0,28816.52
