adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cote D'ivoire,Bagoue,,478930,1,387933.3,76628.8,14367.9,0,0,14367.9
Cote D'ivoire,Belier,,408157,1,359178.16,40815.7,8163.14,0,0,8163.14
Cote D'ivoire,Bere,,462351,2,356010.27,101717.22,4623.51,0,0,4623.51
Cote D'ivoire,Folon,,113076,1,99506.88,12438.36,1130.76,0,0,1130.76
Cote D'ivoire,Grands Ponts,,375297,2,277719.78,75059.4,22517.82,0,0,22517.82
Cote D'ivoire,Iffou,,398001,2,302480.76,63680.16,31840.08,0,0,31840.08
Cote D'ivoire,Indenie-Djuablin,,653738,1,536065.16,98060.7,19612.14,0,0,19612.14
Cote D'ivoire,Marahoue,,1003504,2,782733.12,200700.8,20070.08,0,0,20070.08
Cote D'ivoire,Me,,559018,1,525476.92,27950.9,5590.18,0,0,5590.18
Cote D'ivoire,Moronou,,436234,2,301001.46,109058.5,26174.04,0,0,26174.04
Cote D'ivoire,N'zi,,310358,2,279322.2,27932.22,3103.58,0,0,3103.58
Cote D'ivoire,Poro,,982571,1,805708.22,147385.65,29477.13,0,0,29477.13
