adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Cote D'ivoire,Agneby-Tiassa,745365,1,626107,74537,44722,0,0,44722,1,2,NA,NA,NA,15.3,84.7,2,87.6,7.1,4.8,0.5,NA,1,NA,NA,NA,NA,NA,NA,64.7,24.6,9.1,1.5,2,70.4,21.9,7.7,2
Cote D'ivoire,Bagoue,521936,1,454084,62632,5219,0,0,5219,1,1,NA,NA,2.1,38.2,59.7,3,97.7,1.4,0.9,NA,NA,1,NA,NA,NA,NA,NA,NA,94.2,5.3,NA,0.5,1,88.3,10.4,1.3,1
Cote D'ivoire,Belier,691662,1,560246,103749,27666,0,0,27666,1,2,NA,NA,NA,3.5,96.5,1,85.1,5.6,7.5,1.8,NA,1,NA,NA,NA,NA,NA,NA,34.7,48.3,16.8,0.2,2,72,27.6,0.4,2
Cote D'ivoire,Bere,491919,1,432889,54111,4919,0,0,4919,1,1,NA,NA,NA,1.1,98.9,1,95.4,2.9,1.4,0.2,NA,1,NA,NA,NA,NA,NA,NA,84.5,14,1.5,NA,1,82.8,15,2.2,1
Cote D'ivoire,Cavally,499065,2,274486,174673,49907,0,0,49907,2,2,NA,NA,10.7,9.3,80,2,74.9,11.8,10,3.2,0.1,2,NA,NA,NA,NA,NA,NA,41.4,40,9,9.6,2,36.1,41.2,22.7,3
Cote D'ivoire,Folon,119851,1,101873,14382,3596,0,0,3596,1,1,NA,NA,0.3,7.2,92.5,1,89.9,8.3,1.3,0.5,NA,1,NA,NA,NA,NA,NA,NA,73.9,20,6.1,NA,2,83,5.9,11,1
Cote D'ivoire,Goh,1178843,1,1049170,117884,11788,0,0,11788,1,2,NA,NA,NA,0.4,99.6,1,98.9,1.1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,78,17.1,3.1,1.7,2,67,31.1,1.9,2
Cote D'ivoire,Grands Ponts,383718,2,234068,111278,38372,0,0,38372,2,2,NA,NA,6.8,37.5,55.7,3,58.5,19.3,11.7,7.6,3,3,NA,NA,NA,NA,NA,NA,61.2,27.9,8.6,2.3,2,40.1,53.5,6.4,2
Cote D'ivoire,Guemon,1208701,2,918613,241740,48348,0,0,48348,1,3,NA,NA,1.5,12.8,85.7,1,93.5,4.9,1,NA,0.5,1,NA,NA,NA,NA,NA,NA,33.8,29.8,28.6,7.8,3,29.7,52.4,17.9,2
Cote D'ivoire,Haut-Sassandra,1552607,2,962616,388152,201839,0,0,201839,2,3,NA,NA,3.9,14.1,82,2,73.3,10.5,7.1,7.5,1.6,2,NA,NA,NA,NA,NA,NA,33.9,20,42.2,3.8,3,26,52.1,21.9,3
Cote D'ivoire,Iffou,434000,1,355880,65100,13020,0,0,13020,1,3,NA,NA,2.9,11,86.1,1,85.6,4.3,6.2,3.2,0.6,1,NA,NA,NA,NA,NA,NA,28.1,2.8,49,20.2,4,28,60.1,11.8,2
Cote D'ivoire,Indenie-Djuablin,691662,2,546413,89916,55333,0,0,55333,1,3,NA,NA,NA,NA,100,1,95.8,4.1,0.1,NA,NA,1,NA,NA,NA,NA,NA,NA,56.3,21.3,10,12.4,3,82.7,17.3,NA,1
Cote D'ivoire,Kabadougou,223311,1,212145,11166,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Loh-Djiboua,882090,1,714493,123493,44105,0,0,44105,1,2,NA,NA,0.6,4.4,95,1,93.4,4.6,0.8,NA,1.2,1,NA,NA,NA,NA,NA,NA,59.3,23.3,13.1,4.4,2,42,46.8,11.3,2
Cote D'ivoire,Marahoue,1060869,2,551652,371304,137913,0,0,137913,1,3,NA,NA,NA,3.8,96.2,1,92,3,2.1,2.7,0.2,1,NA,NA,NA,NA,NA,NA,9.4,36,54.3,0.3,3,48.7,41.9,9.5,2
Cote D'ivoire,Me,577537,1,554436,23101,0,0,0,0,1,1,NA,NA,NA,NA,100,1,99.6,0.4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,97.3,1.8,0.7,0.2,1,90.9,9.1,NA,1
Cote D'ivoire,Moronou,470675,2,310646,117669,42361,0,0,42361,1,3,NA,NA,2.5,9.6,87.9,1,87.7,8.4,3.3,0.4,0.3,1,NA,NA,NA,NA,NA,NA,44.1,26.4,25.8,3.7,3,26.9,50.1,23.1,3
Cote D'ivoire,N'zi,336337,1,292613,33634,10090,0,0,10090,1,1,NA,NA,4.5,25.7,69.8,3,82.3,10.4,7.3,NA,NA,1,NA,NA,NA,NA,NA,NA,90.1,5.7,3.3,0.9,1,73,25,2,2
Cote D'ivoire,Poro,1074019,2,719593,214804,139622,0,0,139622,2,3,NA,NA,1.5,20.5,78,2,88.8,6,4,1.1,NA,1,NA,NA,NA,NA,NA,NA,51.3,22.6,18.9,7.2,3,62.1,26.8,11.2,2
Cote D'ivoire,Sud-Comoe,703412,1,590866,84409,28136,0,0,28136,1,2,NA,NA,0.3,6.1,93.6,1,93.1,5.4,0.9,0.4,0.3,1,NA,NA,NA,NA,NA,NA,76.2,19.9,3.4,0.6,2,63,31.3,5.7,2
Cote D'ivoire,Tchologo,690881,1,566522,89815,34544,0,0,34544,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Tonkpi,1215220,1,1069394,145826,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote D'ivoire,Worodougou,306071,2,205068,97943,3061,0,0,3061,1,3,NA,NA,NA,1.4,98.6,1,98,1.5,0.5,NA,NA,1,NA,NA,NA,NA,NA,NA,29,35.1,30.1,5.8,3,46.8,28.7,24.5,3
