adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cameroon,Adamaoua,Djerem,189067.7883,1,181505.0768,5672.03365,1890.677883,0,0,1890.677883
Cameroon,Adamaoua,Faro-Et-Deo,125165.0306,1,108893.5766,12516.50306,3754.950919,0,0,3754.950919
Cameroon,Adamaoua,Mayo-Banyo,283062.9933,1,234942.2845,31136.92927,16983.7796,0,0,16983.7796
Cameroon,Adamaoua,Mbere,259766.2005,1,210410.6224,33769.60607,15585.97203,0,0,15585.97203
Cameroon,Adamaoua,Vina,481019.1527,1,404056.0883,72152.87291,4810.191527,0,0,4810.191527
Cameroon,Region Du Centre,Departement De La Haute Sanaga,144038.8942,1,119552.2822,23046.22308,1440.388942,0,0,1440.388942
Cameroon,Region Du Centre,Departement Du Nyong Et Mfoumou,150002.7176,2,108001.9567,37500.67941,4500.081529,0,0,4500.081529
Cameroon,Region Du Centre,Departement De La Lekie,410578.0223,2,312039.297,94432.94514,4105.780223,0,0,4105.780223
Cameroon,Region Du Centre,Departement Du Mban Et Inoubou,271173.8298,2,197956.8958,67793.45746,5423.476597,0,0,5423.476597
Cameroon,Region Du Centre,Departement Du Mbam Et Kim,151443.7955,2,118126.1605,31803.19706,1514.437955,0,0,1514.437955
Cameroon,Region Du Centre,Departement De La Mefou Et Afamba,180888.2897,2,135666.2173,41604.30663,3617.765794,0,0,3617.765794
Cameroon,Region Du Centre,Departement Du Mfoundi,2701125.42,2,1998832.811,648270.1008,54022.5084,0,0,54022.5084
Cameroon,Region Du Centre,Departement Du Nyong Et Kelle,186333.9566,1,150930.5048,33540.11219,1863.339566,0,0,1863.339566
Cameroon,Region Du Centre,Nyong-Et-So'o,166441.6272,2,123166.8042,39945.99054,3328.832545,0,0,3328.832545
Cameroon,Region Du Centre,Departement De La Mefou  Et Akono,84709.25763,2,66073.22095,16941.85153,1694.185153,0,0,1694.185153
Cameroon,Est,Boumba-Et-Ngoko,131229.3035,1,112857.201,15747.51642,2624.58607,0,0,2624.58607
Cameroon,Est,Haut-Nyong,223564.4321,2,145316.8808,58126.75234,20120.79889,0,0,20120.79889
Cameroon,Est,Kadey,209434.0233,2,140320.7956,54452.84605,14660.38163,0,0,14660.38163
Cameroon,Est,Lom-Et-Djerem,313738.0779,1,254127.8431,47060.71169,12549.52312,0,0,12549.52312
Cameroon,Extreme-Nord,Diamare,903484.511,2,432769.0808,406568.03,63243.91577,903.484511,0,64147.40028
Cameroon,Extreme-Nord,Logone-Et-Chari,685107.0516,2,226085.327,342553.5258,95914.98722,20553.21155,0,116468.1988
Cameroon,Extreme-Nord,Mayo-Danay,744282.6585,2,379584.1558,260498.9305,81871.09243,22328.47975,0,104199.5722
Cameroon,Extreme-Nord,Mayo-Kani,569255.7203,2,335860.8749,199239.5021,34155.34322,0,0,34155.34322
Cameroon,Extreme-Nord,Mayo-Sava,490818.217,2,279766.3837,147245.4651,58898.18604,4908.18217,0,63806.36821
Cameroon,Extreme-Nord,Mayo-Tsanaga,984718.7313,2,541595.3022,295415.6194,128013.4351,19694.37463,0,147707.8097
Cameroon,Littoral,Moungo,544338.4715,3,272169.2357,163301.5414,103424.3096,5443.384715,0,108867.6943
Cameroon,Littoral,Nkam,52719.91176,3,24778.35853,16870.37176,10543.98235,527.1991176,0,11071.18147
Cameroon,Littoral,Sanaga Maritime,232976.6534,2,184051.5562,46595.33067,2329.766534,0,0,2329.766534
Cameroon,Littoral,Wouri,2773037.217,3,1220136.375,970563.0259,526877.0712,55460.74434,0,582337.8155
Cameroon,Nord,Benoue,1362648.619,1,1171877.813,163517.8343,27252.97239,0,0,27252.97239
Cameroon,Nord,Faro,111124.1065,1,94455.49051,14446.13384,2222.48213,0,0,2222.48213
Cameroon,Nord,Mayo-Louti,625901.4075,1,532016.1964,87626.19706,6259.014075,0,0,6259.014075
Cameroon,Nord,Mayo-Rey,600110.4808,1,502892.5829,84015.46731,12002.20962,1200.220962,0,13202.43058
Cameroon,Nord-Ouest,Boyo,179254.8767,2,66324.30437,80664.69451,28680.78027,3585.097534,0,32265.8778
Cameroon,Nord-Ouest,Bui,462133.8762,3,129397.4853,207960.2443,115533.469,9242.677523,0,124776.1466
Cameroon,Nord-Ouest,Donga-Mantung,387441.8324,3,131730.223,154976.7329,89111.62144,11623.25497,0,100734.8764
Cameroon,Nord-Ouest,Menchum,232521.6517,2,65106.06247,125561.6919,34878.24775,6975.64955,0,41853.8973
Cameroon,Nord-Ouest,Mezam,752298.644,3,203120.6339,376149.322,135413.7559,37614.9322,0,173028.6881
Cameroon,Nord-Ouest,Momo,199071.1332,3,61712.05129,89582.00994,43795.6493,3981.422664,0,47777.07197
Cameroon,Nord-Ouest,Ngo-Ketunjia,268907.4334,3,53781.48668,134453.7167,67226.85835,13445.37167,0,80672.23002
Cameroon,Ouest,Bamboutos,419706.7628,2,184670.9757,188868.0433,41970.67628,4197.067628,0,46167.74391
Cameroon,Ouest,Haut-Nkam,207816.6388,2,137158.9816,51954.15971,16625.33111,2078.166388,0,18703.4975
Cameroon,Ouest,Hauts-Plateaux,115800.0828,2,72954.05217,34740.02484,8106.005796,0,0,8106.005796
Cameroon,Ouest,Koung-Khi,93327.01832,2,69061.99356,20531.94403,3733.080733,0,0,3733.080733
Cameroon,Ouest,Menoua,410167.5161,2,291218.9364,94338.5287,24610.05096,0,0,24610.05096
Cameroon,Ouest,Mifi,432690.8173,2,272595.2149,108172.7043,47595.98991,4326.908173,0,51922.89808
Cameroon,Ouest,Nde,136140.2372,2,99382.37313,34035.05929,2722.804743,0,0,2722.804743
Cameroon,Ouest,Noun,653197.2667,2,457238.0867,163299.3167,32659.86333,0,0,32659.86333
Cameroon,Sud,Dja Et Lobo,282691,1,243114.26,39576.74,0,0,0,0
Cameroon,Sud,Mvila,257541.0032,1,226636.0828,30904.92039,0,0,0,0
Cameroon,Sud,Ocean,257059,1,218500.15,38558.85,0,0,0,0
Cameroon,Sud,Vallee Du Tem,113653,1,100014.64,13638.36,0,0,0,0
Cameroon,Sud-Ouest,Fako,669458.1946,2,220921.2042,348118.2612,87029.56529,13389.16389,0,100418.7292
Cameroon,Sud-Ouest,Koupe-Manengouba,151541.3984,2,42431.59156,83347.76913,19700.3818,6061.655937,0,25762.03773
Cameroon,Sud-Ouest,Lebialem,163249.4387,3,29384.89897,88154.69691,37547.37091,8162.471936,0,45709.84284
Cameroon,Sud-Ouest,Manyu,259851.8951,3,54568.89797,140320.0233,54568.89797,10394.0758,0,64962.97377
Cameroon,Sud-Ouest,Meme,468973.2548,3,117243.3137,211037.9647,107863.8486,32828.12784,0,140691.9765
Cameroon,Sud-Ouest,Ndian,175942.1199,2,66858.00557,84452.21756,21113.05439,3518.842398,0,24631.89679
