adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cameroon,Adamaoua,Djerem,189067.7883,1,185286.4326,3781.355766,0,0,0,0
Cameroon,Adamaoua,Faro-Et-Deo,125165.0306,1,113900.1779,10013.20245,1251.650306,0,0,1251.650306
Cameroon,Adamaoua,Mayo-Banyo,283062.9933,1,237772.9144,33967.5592,11322.51973,0,0,11322.51973
Cameroon,Adamaoua,Mbere,259766.2005,2,205215.2984,38964.93008,15585.97203,0,0,15585.97203
Cameroon,Adamaoua,Vina,481019.1527,1,428107.0459,52912.1068,0,0,0,0
Cameroon,Region Du Centre,Departement De La Haute Sanaga,144038.8942,1,123873.449,20165.44519,0,0,0,0
Cameroon,Region Du Centre,Departement Du Nyong Et Mfoumou,150002.7176,2,117002.1198,31500.5707,1500.027176,0,0,1500.027176
Cameroon,Region Du Centre,Departement De La Lekie,410578.0223,2,324356.6376,86221.38469,0,0,0,0
Cameroon,Region Du Centre,Departement Du Mban Et Inoubou,271173.8298,2,211515.5873,56946.50427,2711.738298,0,0,2711.738298
Cameroon,Region Du Centre,Departement Du Mbam Et Kim,151443.7955,1,125698.3503,25745.44524,0,0,0,0
Cameroon,Region Du Centre,Departement De La Mefou Et Afamba,180888.2897,1,151946.1633,27133.24345,1808.882897,0,0,1808.882897
Cameroon,Region Du Centre,Departement Du Mfoundi,2701125.42,1,2241934.099,432180.0672,27011.2542,0,0,27011.2542
Cameroon,Region Du Centre,Departement Du Nyong Et Kelle,186333.9566,1,156520.5235,29813.43305,0,0,0,0
Cameroon,Region Du Centre,Nyong-Et-So'o,166441.6272,2,131488.8855,33288.32545,1664.416272,0,0,1664.416272
Cameroon,Region Du Centre,Departement De La Mefou  Et Akono,84709.25763,1,70308.68383,13553.48122,847.0925763,0,0,847.0925763
Cameroon,Est,Boumba-Et-Ngoko,131229.3035,1,116794.0801,13122.93035,1312.293035,0,0,1312.293035
Cameroon,Est,Haut-Nyong,223564.4321,1,185558.4786,26827.73185,11178.2216,0,0,11178.2216
Cameroon,Est,Kadey,209434.0233,1,169641.5588,33509.44372,6283.020698,0,0,6283.020698
Cameroon,Est,Lom-Et-Djerem,313738.0779,1,269814.747,37648.56935,6274.761558,0,0,6274.761558
Cameroon,Extreme-Nord,Diamare,903484.511,2,352358.9593,451742.2555,90348.4511,9034.84511,0,99383.29621
Cameroon,Extreme-Nord,Logone-Et-Chari,685107.0516,2,178127.8334,376808.8784,109617.1283,20553.21155,0,130170.3398
Cameroon,Extreme-Nord,Mayo-Danay,744282.6585,2,320041.5431,297713.0634,96756.7456,29771.30634,0,126528.0519
Cameroon,Extreme-Nord,Mayo-Kani,569255.7203,2,313090.6461,216317.1737,39847.90042,0,0,39847.90042
Cameroon,Extreme-Nord,Mayo-Sava,490818.217,2,240500.9263,171786.376,68714.55038,9816.36434,0,78530.91472
Cameroon,Extreme-Nord,Mayo-Tsanaga,984718.7313,2,452970.6164,364345.9306,147707.8097,19694.37463,0,167402.1843
Cameroon,Littoral,Moungo,544338.4715,2,342933.237,119754.4637,81650.77072,0,0,81650.77072
Cameroon,Littoral,Nkam,52719.91176,2,31104.74794,13179.97794,8435.185882,0,0,8435.185882
Cameroon,Littoral,Sanaga Maritime,232976.6534,1,202689.6884,30286.96494,0,0,0,0
Cameroon,Littoral,Wouri,2773037.217,2,1719283.074,693259.3042,332764.466,27730.37217,0,360494.8382
Cameroon,Nord,Benoue,1362648.619,1,1117371.868,218023.7791,27252.97239,0,0,27252.97239
Cameroon,Nord,Faro,111124.1065,1,92233.00838,16668.61597,2222.48213,0,0,2222.48213
Cameroon,Nord,Mayo-Louti,625901.4075,1,506980.1401,106403.2393,12518.02815,0,0,12518.02815
Cameroon,Nord,Mayo-Rey,600110.4808,2,459684.6283,120022.0962,18003.31442,2400.441923,0,20403.75635
Cameroon,Nord-Ouest,Boyo,179254.8767,2,57361.56054,98590.18218,21510.5852,1792.548767,0,23303.13397
Cameroon,Nord-Ouest,Bui,462133.8762,3,170989.5342,184853.5505,97048.11399,9242.677523,0,106290.7915
Cameroon,Nord-Ouest,Donga-Mantung,387441.8324,3,143353.478,154976.7329,81362.7848,7748.836647,0,89111.62144
Cameroon,Nord-Ouest,Menchum,232521.6517,2,81382.57809,116260.8258,30227.81472,4650.433034,0,34878.24775
Cameroon,Nord-Ouest,Mezam,752298.644,2,263304.5254,361103.3491,112844.7966,15045.97288,0,127890.7695
Cameroon,Nord-Ouest,Momo,199071.1332,2,83609.87594,79628.45328,33842.09264,1990.711332,0,35832.80398
Cameroon,Nord-Ouest,Ngo-Ketunjia,268907.4334,3,77983.15569,126386.4937,56470.56102,8067.223002,0,64537.78402
Cameroon,Ouest,Bamboutos,419706.7628,1,339962.4779,54561.87917,25182.40577,0,0,25182.40577
Cameroon,Ouest,Haut-Nkam,207816.6388,1,168331.4775,24937.99666,14547.16472,0,0,14547.16472
Cameroon,Ouest,Hauts-Plateaux,115800.0828,1,93798.06707,17370.01242,4632.003312,0,0,4632.003312
Cameroon,Ouest,Koung-Khi,93327.01832,1,77461.42521,13999.05275,1866.540366,0,0,1866.540366
