adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Cameroon,Adamaoua,Djerem,193605,1,164565,25169,3872,0,0,3872,1,1,NA,NA
Cameroon,Adamaoua,Faro-Et-Deo,128169,1,110225,12817,5127,0,0,5127,1,2,NA,NA
Cameroon,Adamaoua,Mayo-Banyo,289857,1,246378,37681,5797,0,0,5797,1,2,NA,NA
Cameroon,Adamaoua,Mbere,266001,2,138320,106400,21280,0,0,21280,2,2,NA,NA
Cameroon,Adamaoua,Vina,492564,1,467935,19703,4926,0,0,4926,1,1,NA,NA
Cameroon,Centre,Haute Sanaga,147496,2,109147,36874,1475,0,0,1475,2,1,NA,NA
Cameroon,Centre,Lekie,420432,1,395206,21022,4204,0,0,4204,1,1,NA,NA
Cameroon,Centre,Mbam Et Inoubou,277682,2,208262,66644,2777,0,0,2777,2,2,NA,NA
Cameroon,Centre,Mbam Et Kim,155078,1,131816,20160,3102,0,0,3102,1,1,NA,NA
Cameroon,Centre,Mefou Et Akono,86742,2,61587,21686,3470,0,0,3470,2,1,NA,NA
Cameroon,Centre,Mefou Et Afamba,185230,1,166707,18523,0,0,0,0,1,1,NA,NA
Cameroon,Centre,Mfoundi,2765952,1,2489357,221276,55319,0,0,55319,1,1,NA,NA
Cameroon,Centre,Nyong Et Kelle,190806,1,171725,15264,3816,0,0,3816,1,1,NA,NA
Cameroon,Centre,Nyong Et Mfoumou,153603,1,138243,12288,3072,0,0,3072,1,1,NA,NA
Cameroon,Centre,Nyong Et So'o,170436,1,161914,8522,0,0,0,0,1,1,NA,NA
Cameroon,Est,Boumba-Et-Ngoko,169546,1,144114,23736,1695,0,0,1695,1,1,NA,NA
Cameroon,Est,Haut-Nyong,288841,1,257068,25996,5777,0,0,5777,1,1,NA,NA
Cameroon,Est,Kadey,270584,1,238114,27058,5412,0,0,5412,1,1,NA,NA
Cameroon,Est,Lom Et Djerem,405343,1,340488,52695,12160,0,0,12160,1,2,NA,NA
Cameroon,Extreme-Nord,Diamare,925168,2,693876,194285,37007,0,0,37007,2,2,NA,NA
Cameroon,Extreme-Nord,Logone Et Chari,701550,3,343760,203450,140310,14031,0,154341,3,2,3,NA
Cameroon,Extreme-Nord,Mayo Danay,762145,2,563988,167672,30486,0,0,30486,2,2,NA,NA
Cameroon,Extreme-Nord,Mayo-Kani,582918,1,495480,69950,17488,0,0,17488,1,1,NA,NA
Cameroon,Extreme-Nord,Mayo-Tsanaga,1008352,1,857099,121002,30251,0,0,30251,1,1,NA,NA
Cameroon,Extreme-Nord,Mayo-Sava,502598,3,190987,201039,90468,20104,0,110572,3,3,NA,NA
Cameroon,Littoral,Moungo,557403,2,351164,139351,66888,0,0,66888,2,3,NA,NA
Cameroon,Littoral,Nkam,53985,1,44808,8098,1080,0,0,1080,1,1,NA,NA
Cameroon,Littoral,Sanaga-Maritime,238568,1,200397,35785,2386,0,0,2386,1,1,NA,NA
Cameroon,Littoral,Wouri,2839590,1,2498839,283959,56792,0,0,56792,1,1,NA,NA
Cameroon,Northwest,Boyo,183557,2,110134,64245,9178,0,0,9178,2,2,NA,NA
Cameroon,Nord-Ouest,Bui,473225,3,231880,137235,94645,9465,0,104110,2,4,NA,NA
Cameroon,Nord-Ouest,Donga-Mantung,396740,2,265816,99185,31739,0,0,31739,2,2,NA,NA
Cameroon,Northweast,Menchum,238102,3,183339,2381,47620,4762,0,52382,3,4,NA,NA
Cameroon,North West,Mezam,770354,3,315845,231106,192589,30814,0,223403,3,4,NA,NA
Cameroon,Northwest,Momo,203849,3,48924,61155,57078,36693,0,93771,3,4,NA,NA
Cameroon,Nord-Ouest,Ngo-Ketunjia,275361,2,151449,77101,41304,5507,0,46811,3,1,NA,NA
Cameroon,Nord,Benoue,1395352,2,823258,418606,83721,69768,0,153489,2,2,NA,NA
Cameroon,Nord,Faro,113791,2,72826,28448,11379,1138,0,12517,2,2,NA,NA
