adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cameroon,Adamaoua,Djerem,193605.4152,1,158756.4405,23232.64983,11616.32491,0,0,11616.32491
Cameroon,Adamaoua,Faro-Et-Deo,128168.9914,1,103816.883,15380.27896,8971.829395,0,0,8971.829395
Cameroon,Adamaoua,Mayo-Banyo,289856.5052,2,191305.2934,63768.43114,34782.78062,0,0,34782.78062
Cameroon,Adamaoua,Mbere,266000.5893,3,106400.2357,101080.2239,53200.11786,5320.011786,0,58520.12965
Cameroon,Adamaoua,Vina,492563.6124,1,408827.7983,64033.26961,19702.54449,0,0,19702.54449
Cameroon,Centre,Haute-Sanaga,147495.8277,1,119471.6204,22124.37416,5899.833108,0,0,5899.833108
Cameroon,Centre,Lekie,420431.8949,1,344754.1538,58860.46528,16817.27579,0,0,16817.27579
Cameroon,Centre,Mbam-Et-Inoubou,277682.0018,1,227699.2414,41652.30026,8330.460053,0,0,8330.460053
Cameroon,Centre,Mbam-Et-Kim,155078.4466,2,100800.9903,38769.61166,15507.84466,0,0,15507.84466
Cameroon,Centre,Mefou-Et-Afamba,185229.6086,2,129660.726,46307.40216,9261.480432,0,0,9261.480432
Cameroon,Centre,Mefou-Et-Akono,86742.27981,2,63321.86426,19083.30156,4337.11399,0,0,4337.11399
Cameroon,Centre,Mfoundi,2765952.43,1,2295740.517,387233.3402,82978.5729,0,0,82978.5729
Cameroon,Centre,Nyong-Et-Kelle,190805.9715,2,135472.2398,43885.37346,11448.35829,0,0,11448.35829
Cameroon,Centre,Nyong-Et-Mfoumou,153602.7829,2,107521.948,36864.66789,9216.166972,0,0,9216.166972
Cameroon,Centre,Nyong-Et-Soo,170436.2263,2,121009.7207,39200.33205,10226.17358,0,0,10226.17358
Cameroon,Est,Boumba-Et-Ngoko,169545.5368,1,142418.2509,23736.37515,3390.910736,0,0,3390.910736
Cameroon,Est,Haut-Nyong,288840.6067,1,239737.7036,43326.09101,5776.812134,0,0,5776.812134
Cameroon,Est,Kadey,270584.4118,1,219173.3735,45999.35,5411.688235,0,0,5411.688235
Cameroon,Est,Lom-Et-Djerem,405343.0858,1,332381.3304,60801.46287,12160.29257,0,0,12160.29257
Cameroon,Extreme-Nord,Diamare,925168.1393,2,582855.9278,268298.7604,74013.45114,0,0,74013.45114
Cameroon,Extreme-Nord,Logone-Et-Chari,701549.6208,3,235019.123,315697.3294,147325.4204,3507.748104,0,150833.1685
Cameroon,Extreme-Nord,Mayo-Danay,762145.4423,1,617337.8082,114321.8163,30485.81769,0,0,30485.81769
Cameroon,Extreme-Nord,Mayo-Kani,582917.8575,2,378896.6074,116583.5715,87437.67863,0,0,87437.67863
Cameroon,Extreme-Nord,Mayo-Sava,502597.8542,3,231195.0129,155805.3348,105545.5494,10051.95708,0,115597.5065
Cameroon,Extreme-Nord,Mayo-Tsanaga,1008351.981,2,453758.3914,383173.7527,171419.8368,0,0,171419.8368
Cameroon,Littoral,Moungo,557402.5948,2,351163.6347,122628.5709,83610.38922,0,0,83610.38922
Cameroon,Littoral,Nkam,53985.18965,2,34550.52137,13496.29741,5938.370861,0,0,5938.370861
Cameroon,Littoral,Sanaga-Maritime,238568.093,2,183697.4316,42942.25675,11928.40465,0,0,11928.40465
Cameroon,Littoral,Wouri,2839590.11,2,1845733.571,709897.5275,283959.011,0,0,283959.011
Cameroon,Nord-Ouest,Boyo,183556.9937,3,88107.35699,55067.09812,38546.96868,1835.569937,0,40382.53862
Cameroon,Nord-Ouest,Bui,473225.0892,3,170361.0321,175093.283,118306.2723,9464.501784,0,127770.7741
Cameroon,Nord-Ouest,Donga-Mantung,396740.4363,2,158696.1745,178533.1964,59511.06545,0,0,59511.06545
Cameroon,Nord-Ouest,Menchum,238102.1713,3,83335.75996,83335.75996,59525.54283,11905.10857,0,71430.6514
