adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cameroon,Adamaoua,Djerem,193605.4152,2,151012.2239,27104.75813,15488.43322,0,0,15488.43322
Cameroon,Adamaoua,Faro-Et-Deo,128168.9914,2,98690.12335,19225.3487,10253.51931,0,0,10253.51931
Cameroon,Adamaoua,Mayo-Banyo,289856.5052,1,237682.3342,37681.34567,14492.82526,0,0,14492.82526
Cameroon,Adamaoua,Mbere,266000.5893,3,93100.20626,109060.2416,58520.12965,5320.011786,0,63840.14144
Cameroon,Adamaoua,Vina,492563.6124,1,423604.7066,54181.99736,14776.90837,0,0,14776.90837
Cameroon,Centre,Haute-Sanaga,147495.8277,1,128321.3701,16224.54105,2949.916554,0,0,2949.916554
Cameroon,Centre,Lekie,420431.8949,1,365775.7485,46247.50844,8408.637897,0,0,8408.637897
Cameroon,Centre,Mbam-Et-Inoubou,277682.0018,1,247136.9816,27768.20018,2776.820018,0,0,2776.820018
Cameroon,Centre,Mbam-Et-Kim,155078.4466,2,113207.266,31015.68933,10855.49126,0,0,10855.49126
Cameroon,Centre,Mefou-Et-Afamba,185229.6086,1,150035.983,29636.73738,5556.888259,0,0,5556.888259
Cameroon,Centre,Mefou-Et-Akono,86742.27981,1,71128.66944,13011.34197,2602.268394,0,0,2602.268394
Cameroon,Centre,Mfoundi,2765952.43,1,2461697.663,276595.243,27659.5243,0,0,27659.5243
Cameroon,Centre,Nyong-Et-Kelle,190805.9715,1,154552.837,30528.95545,5724.179146,0,0,5724.179146
Cameroon,Centre,Nyong-Et-Mfoumou,153602.7829,1,125954.2819,23040.41743,4608.083486,0,0,4608.083486
Cameroon,Centre,Nyong-Et-Soo,170436.2263,1,138053.3433,27269.79621,5113.086789,0,0,5113.086789
Cameroon,Est,Boumba-Et-Ngoko,169545.5368,1,145809.1616,22040.91978,1695.455368,0,0,1695.455368
Cameroon,Est,Haut-Nyong,288840.6067,1,251291.3278,34660.8728,2888.406067,0,0,2888.406067
Cameroon,Est,Kadey,270584.4118,1,227290.9059,40587.66176,2705.844118,0,0,2705.844118
Cameroon,Est,Lom-Et-Djerem,405343.0858,1,344541.6229,52694.60115,8106.861716,0,0,8106.861716
Cameroon,Extreme-Nord,Diamare,925168.1393,2,508842.4766,323808.8488,92516.81393,0,0,92516.81393
Cameroon,Extreme-Nord,Logone-Et-Chari,701549.6208,3,168371.909,357790.3066,161356.4128,14030.99242,0,175387.4052
Cameroon,Extreme-Nord,Mayo-Danay,762145.4423,2,533501.8096,160050.5429,68593.0898,0,0,68593.0898
Cameroon,Extreme-Nord,Mayo-Kani,582917.8575,2,332263.1788,145729.4644,104925.2144,0,0,104925.2144
Cameroon,Extreme-Nord,Mayo-Sava,502597.8542,3,175909.249,190987.1846,120623.485,15077.93563,0,135701.4206
Cameroon,Extreme-Nord,Mayo-Tsanaga,1008351.981,3,363006.7131,403340.7924,221837.4358,20167.03962,0,242004.4754
Cameroon,Littoral,Moungo,557402.5948,2,373459.7385,117054.5449,66888.31138,0,0,66888.31138
Cameroon,Littoral,Nkam,53985.18965,2,39409.18844,10797.03793,3778.963275,0,0,3778.963275
Cameroon,Littoral,Sanaga-Maritime,238568.093,1,195625.8363,35785.21396,7157.042791,0,0,7157.042791
Cameroon,Littoral,Wouri,2839590.11,1,2300067.989,397542.6154,141979.5055,0,0,141979.5055
Cameroon,Nord-Ouest,Boyo,183556.9937,2,108298.6263,45889.24843,29369.119,0,0,29369.119
Cameroon,Nord-Ouest,Bui,473225.0892,2,246077.0464,141967.5268,85180.51605,0,0,85180.51605
Cameroon,Nord-Ouest,Donga-Mantung,396740.4363,2,198370.2182,150761.3658,47608.85236,0,0,47608.85236
Cameroon,Nord-Ouest,Menchum,238102.1713,2,97621.89024,95240.86853,45239.41255,0,0,45239.41255
Cameroon,Nord-Ouest,Mezam,770353.8114,2,516137.0537,161774.3004,77035.38114,15407.07623,0,92442.45737
Cameroon,Nord-Ouest,Momo,203848.8404,2,101924.4202,65231.62893,36692.79127,0,0,36692.79127
