adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Cameroon,Adamaoua,Djerem,198252,1,166531.634,27755.27233,3965.038904,0,0,3965.038904,1,3,1,NA,0.6,16.3,83.1,1,77.7,12.7,7.8,1.8,0,2,51.8,14.5,31.9,1.8,0,3,33.1,10.8,27.7,28.3,4,46.4,39.2,14.5,2
Cameroon,Adamaoua,Faro-Et-Deo,131245,1,107620.9387,20999.20754,2624.900943,0,0,2624.900943,1,2,1,NA,8.8,41.2,50,2,56.1,29.1,9.5,2,3.4,2,77,12.2,10.1,0,0.7,2,59.5,18.2,8.1,14.2,3,50.7,45.3,4.1,2
Cameroon,Adamaoua,Mayo-Banyo,296813,1,249322.9715,35617.56735,11872.52245,0,0,11872.52245,1,1,1,NA,4.7,32.8,62.5,1,40.6,30.7,23.4,3.6,1.6,3,96.4,2.1,1.6,0,0,1,84.9,5.7,7.3,2.1,1,75,25,0,2
Cameroon,Adamaoua,Mbere,272385,2,193393.0685,59924.61276,19066.92224,0,0,19066.92224,2,1,1,NA,11.1,30.6,58.3,3,40.6,17.2,14.4,6.1,21.7,5,86.7,5,8.3,0,0,1,77.8,7.2,11.1,3.9,2,71.1,25.6,3.3,2
Cameroon,Adamaoua,Vina,504385,1,423683.5168,65570.06808,15131.55417,0,0,15131.55417,1,2,1,NA,3.5,22.4,74,1,69.3,11.8,12.2,4.7,2,2,85.4,7.5,7.1,0,0,1,65.7,5.9,20.9,7.5,3,47.6,48.4,3.9,2
Cameroon,Centre,Haute-Sanaga,151036,1,128380.3684,22655.35914,0,0,0,0,1,1,NA,NA,2.5,3.3,94.2,1,69.2,18.3,9.2,2.5,0.8,2,96.7,1.7,0.8,0.8,0,1,93.3,5,0.8,0.8,1,64.2,35,0.8,2
Cameroon,Centre,Lekie,430522,1,357333.4761,73188.78426,0,0,0,0,1,1,NA,NA,1.5,26.3,72.2,1,62.4,24.1,12,1.5,0,2,59.4,9,19.5,1.5,10.5,3,88.7,9,0.8,1.5,1,48.9,40.6,10.5,2
Cameroon,Centre,Mbam-Et-Inoubou,284346,1,244537.878,39808.49177,0,0,0,0,1,1,NA,NA,1.7,18.2,80.2,1,68.6,24.8,5.8,0,0.8,2,92.6,5.8,1.7,0,0,1,88.4,6.6,2.5,2.5,1,86.8,11.6,1.7,1
Cameroon,Centre,Mbam-Et-Kim,158800,1,131804.2734,26996.05599,0,0,0,0,1,1,NA,NA,6.5,22.6,71,2,50.5,26.9,14,3.2,5.4,3,91.4,0,8.6,0,0,1,94.6,2.2,3.2,0,1,65.6,32.3,2.2,2
Cameroon,Centre,Mefou-Et-Afamba,189675,2,142256.3394,43625.27743,3793.502385,0,0,3793.502385,2,1,NA,NA,6.9,21.4,71.8,2,37.4,35.1,12.2,13,2.3,3,36.6,29,10.7,23.7,0,4,99.2,0,0.8,0,1,38.2,55,6.9,2
Cameroon,Centre,Mefou-Et-Akono,88824,1,75500.48035,13323.61418,0,0,0,0,1,1,NA,NA,3.8,17,79.2,1,56.6,10.4,19.8,10.4,2.8,3,98.1,0.9,0.9,0,0,1,92.5,0,4.7,2.8,1,65.1,33,1.9,2
Cameroon,Centre,Mfoundi,2832335,1,2294191.584,453173.6461,84970.05865,0,0,84970.05865,1,1,NA,NA,28.7,10,61.3,4,65.8,13.2,12.3,4.5,4.2,3,88.8,4.5,6.7,0,0,1,92.9,4.5,1.6,1,1,89.1,10.6,0.3,1
Cameroon,Centre,Nyong-Et-Kelle,195385,2,130908.161,54707.88816,9769.265743,0,0,9769.265743,2,3,NA,NA,26.2,32,41.8,4,46.7,25.4,19.7,7.4,0.8,3,69.1,10.6,20.3,0,0,3,47.2,10.6,21.1,21.1,4,8.1,86.2,5.7,2
Cameroon,Centre,Nyong-Et-Mfoumou,157289,1,130550.0772,25166.27994,1572.892496,0,0,1572.892496,2,1,NA,NA,7.2,9.9,82.9,2,34.8,13.4,24.1,10.7,17,4,92.5,0.8,5,0,1.7,1,85,2.5,4.2,8.3,1,83.3,13.3,3.3,1
Cameroon,Centre,Nyong-Et-Soo,174527,1,143111.8905,29669.53827,1745.266957,0,0,1745.266957,2,1,NA,NA,48.6,44,7.3,4,60.6,12.8,12.8,8.3,5.5,3,91.7,1.8,6.4,0,0,1,93.6,2.8,2.8,0.9,1,50.5,47.7,1.8,2
Cameroon,Est,Boumba-Et-Ngoko,173615,1,142363.9963,29514.48705,1736.146297,0,0,1736.146297,1,1,1,NA,4.3,40.4,55.3,1,68.9,18.6,12.4,0,0,2,86.3,5.6,7.5,0.6,0,1,36.6,26.7,23,13.7,3,41,53.4,5.6,2
