adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Cameroon,Adamaoua,Djerem,198252,2,138776.3616,49562.9863,9912.59726,0,0,9912.59726,2,3,1,NA
Cameroon,Adamaoua,Faro-Et-Deo,131245,2,91871.53301,34123.71226,5249.801886,0,0,5249.801886,2,3,1,NA
Cameroon,Adamaoua,Mayo-Banyo,296813,2,198864.7511,77171.39593,20776.91429,0,0,20776.91429,2,2,1,NA
Cameroon,Adamaoua,Mbere,272385,2,166154.6081,81715.38104,24514.61431,0,0,24514.61431,2,2,1,NA
Cameroon,Adamaoua,Vina,504385,2,358113.4487,110964.7306,35306.95974,0,0,35306.95974,2,3,1,NA
Cameroon,Centre,Haute-Sanaga,151036,1,132911.4403,18124.28731,0,0,0,0,1,1,NA,NA
Cameroon,Centre,Lekie,430522,1,365943.9213,64578.33905,0,0,0,0,1,1,NA,NA
Cameroon,Centre,Mbam-Et-Inoubou,284346,1,253068.2691,31278.10068,0,0,0,0,1,1,NA,NA
Cameroon,Centre,Mbam-Et-Kim,158800,1,133392.2767,25408.0527,0,0,0,0,1,1,NA,NA
Cameroon,Centre,Mefou-Et-Afamba,189675,1,153636.8466,32244.77027,3793.502385,0,0,3793.502385,1,1,NA,NA
Cameroon,Centre,Mefou-Et-Akono,88824,1,78165.20318,10658.89134,0,0,0,0,1,1,NA,NA
Cameroon,Centre,Mfoundi,2832335,1,2407484.995,396526.9404,28323.35288,0,0,28323.35288,1,1,NA,NA
Cameroon,Centre,Nyong-Et-Kelle,195385,1,158262.105,35169.35668,1953.853149,0,0,1953.853149,1,2,NA,NA
Cameroon,Centre,Nyong-Et-Mfoumou,157289,1,138414.5397,18874.70996,0,0,0,0,1,2,NA,NA
Cameroon,Centre,Nyong-Et-Soo,174527,1,155328.7592,19197.93653,0,0,0,0,2,1,NA,NA
Cameroon,Est,Boumba-Et-Ngoko,173615,1,140627.85,31250.63334,1736.146297,0,0,1736.146297,1,1,1,NA
Cameroon,Est,Haut-Nyong,295773,1,257322.3197,35492.73375,2957.727813,0,0,2957.727813,1,1,1,NA
Cameroon,Est,Kadey,277078,1,224433.5345,47103.3344,5541.568753,0,0,5541.568753,1,1,1,NA
Cameroon,Est,Lom-Et-Djerem,415071,1,348659.90870000003,62260.69798,4150.713199,0,0,4150.713199,1,1,1,NA
Cameroon,Extreme-Nord,Diamare,947372,2,682107.9657,236843.0437,28421.16524,0,0,28421.16524,2,2,2,NA
Cameroon,Extreme-Nord,Logone-Et-Chari,718387,3,287354.7247,201148.3073,208332.1754,21551.60435,0,229883.7798,3,3,2,NA
Cameroon,Extreme-Nord,Mayo-Danay,780437,2,405827.2051,273152.9265,85848.06262,15608.73866,0,101456.8013,3,3,2,NA
Cameroon,Extreme-Nord,Mayo-Kani,596908,2,399928.28370000003,161165.1293,35814.47317,0,0,35814.47317,2,2,2,NA
Cameroon,Extreme-Nord,Mayo-Sava,514660,3,174984.4689,185277.673,144104.8568,10293.20405,0,154398.0608,3,3,2,NA
Cameroon,Extreme-Nord,Mayo-Tsanaga,1032552,3,340742.3014,340742.3014,320091.2528,30976.57285,0,351067.8257,3,4,2,NA
Cameroon,Littoral,Moungo,570780,1,462332.0082,102740.4463,5707.802571,0,0,5707.802571,1,1,NA,NA
Cameroon,Littoral,Nkam,55281,1,45330.28404,9397.741814,552.808342,0,0,552.808342,1,1,NA,NA
Cameroon,Littoral,Sanaga-Maritime,244294,1,207649.6682,36644.05909,0,0,0,0,1,1,NA,NA
Cameroon,Littoral,Wouri,2907740,1,2384347.024,494315.8463,29077.40273,0,0,29077.40273,1,1,NA,NA
Cameroon,Nord-Ouest,Donga-Mantung,406262,2,215318.9696,142191.7724,48751.46482,0,0,48751.46482,2,2,NA,NA
Cameroon,Nord-Ouest,Menchum,243817,3,90212.15067,80459.48573,63392.32209,9752.664937,0,73144.98703,3,3,NA,NA
