adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Santiago,Praia,151436,1,125691.88,18172.32,7571.8,0,0,7571.8
Cabo Verde,Santiago,Ribeira Gst,8415,2,6058.8,1430.55,841.5,84.15,0,925.65
Cabo Verde,Santiago,S: Cruz,26360,2,20033.6,3954,2108.8,263.6,0,2372.4
Cabo Verde,Santiago,Sao Lourenco Dos Orgaos,7127,,,,,,,
Cabo Verde,Santiago,Sao Salvador Do Mundo,8652,1,7008.12,1384.32,259.56,0,0,259.56
Cabo Verde,Santiago,Tarrafal,18314,2,13369.22,3296.52,1465.12,183.14,0,1648.26
Cabo Verde,Santiago,S. Domingos,14037,1,10527.75,2105.55,1403.7,0,0,1403.7
Cabo Verde,Boa Vista,Boa Vista,14451,1,11994.33,1734.12,722.55,0,0,722.55
Cabo Verde,Santiago,Santa Catarina,45122.86689,2,35647.06484,6768.430033,2707.372013,0,0,2707.372013
Cabo Verde,Santiago,Sao Miguel,14670.72843,2,11443.16817,2200.609264,1026.95099,0,0,1026.95099
Cabo Verde,Fogo,Sao Filipe,21194.32201,2,16743.51439,3391.091521,1059.7161,0,0,1059.7161
Cabo Verde,Fogo,Mosteiros,9363.669551,2,7303.66225,1591.823824,468.1834776,0,0,468.1834776
Cabo Verde,Fogo,Santa Catarina,5279.250687,3,3167.550412,1055.850137,950.2651236,105.5850137,0,1055.850137
Cabo Verde,Maio,Maio,6980.181531,2,5235.136149,1047.02723,698.0181531,0,0,698.0181531
Cabo Verde,Brava,Brava,5697.795211,2,4501.258216,1082.58109,113.9559042,0,0,113.9559042
Cabo Verde,S. Antao,Ribeira Grande,17017,2,13103.09,3063.06,850.85,0,0,850.85
Cabo Verde,S. Antao,Porto Novo,17431,3,10458.6,3486.2,3311.89,174.31,0,3486.2
Cabo Verde,S. Antao,Paul,6099,2,4513.26,1219.8,365.94,0,0,365.94
Cabo Verde,S. Nicolau,Ribeira Brava,7182,1,5817.42,1220.94,143.64,0,0,143.64
Cabo Verde,S. Nicolau,Tarrafal,5242,2,3931.5,1048.4,262.1,0,0,262.1
Cabo Verde,S. Vicente,S. Vicente,81014,2,64811.2,12152.1,4050.7,0,0,4050.7
Cabo Verde,Sal,Sal,33747,1,27672.54,5736.99,337.47,0,0,337.47
