adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Boa Vista,Boa Vista,17708,1,15406,2125,177,0,0,177
Cabo Verde,Santiago,Praia,162814,1,143276,17910,1628,0,0,1628
Cabo Verde,Santiago,Rª Gde Santiago,8488,2,6706,1613,170,0,0,170
Cabo Verde,Santiago,Sao Domingos,14135,2,11025,2827,283,0,0,283
Cabo Verde,Santiago,Sao L. Orgaos,6990,1,5872,1049,70,0,0,70
Cabo Verde,Santiago,Sta. Cruz,26100,1,21663,4176,261,0,0,261
Cabo Verde,Santiago,Sao S. Mundo,8620,2,6551,1810,259,0,0,259
Cabo Verde,Santiago,Santa Catarina,46337,1,37996,7414,927,0,0,927
Cabo Verde,Santiago,Sao Miguel,14121,1,11438,2259,424,0,0,424
Cabo Verde,Santiago,Tarrafal St,18172,1,14538,3271,363,0,0,363
Cabo Verde,Fogo,Sao Filipe,20688,1,16964,3310,414,0,0,414
Cabo Verde,Fogo,Mosteiros,9286,1,7893,1207,186,0,0,186
Cabo Verde,Fogo,Santa Catarina,5240,1,4244,838,157,0,0,157
Cabo Verde,Maio,Maio,7215,1,5844,1154,216,0,0,216
Cabo Verde,Brava,Brava,5521,1,4582,883,55,0,0,55
Cabo Verde,S. Antao,Ribeira Grande,16034,1,13469,2245,321,0,0,321
Cabo Verde,S. Antao,Porto Novo,17068,2,11948,4438,683,0,0,683
Cabo Verde,S. Antao,Paul,5648,1,4688,847,113,0,0,113
Cabo Verde,S. Nicolau,Ribeira Brava,6965,1,5781,1045,139,0,0,139
Cabo Verde,S. Nicolau,Tarrafal Sn,5217,1,4226,887,104,0,0,104
Cabo Verde,Sao  Vicente,Sao Vicente,83468,1,70948,10851,1669,0,0,1669
Cabo Verde,Sal,Sal,38246,1,33656,4207,382,0,0,382
