adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Santiago,Praia,162814,1,143276.32,16281.4,3256.28,0,0,3256.28
Cabo Verde,Santiago,Rª Gde Santiago,8488,1,7045.04,1273.2,169.76,0,0,169.76
Cabo Verde,Santiago,Sao Domingos,14135,1,11590.7,2261.6,282.7,0,0,282.7
Cabo Verde,Santiago,Sao L. Orgaos,6990,1,5801.7,978.6,209.7,0,0,209.7
Cabo Verde,Santiago,Sta. Cruz,26100,1,21402,3915,783,0,0,783
Cabo Verde,Santiago,Sao S. Mundo,8620,1,6982.2,1465.4,172.4,0,0,172.4
Cabo Verde,Boa Vista,Boa Vista,17708,1,15051.8,2302.04,354.16,0,0,354.16
Cabo Verde,S. Antao,Ribeira Grande,16034,1,13468.56,2244.76,320.68,0,0,320.68
Cabo Verde,S. Antao,Porto Novo,17068,2,11947.6,4608.36,512.04,0,0,512.04
Cabo Verde,S. Antao,Paul,5648,1,4800.8,734.24,112.96,0,0,112.96
Cabo Verde,S. Nicolau,Ribeira Brava,6965,1,5780.95,1044.75,139.3,0,0,139.3
Cabo Verde,S. Nicolau,Tarrafal Sn,5217,1,4277.94,834.72,104.34,0,0,104.34
Cabo Verde,Sao  Vicente,Sao Vicente,83468,1,70113.12,11685.52,1669.36,0,0,1669.36
Cabo Verde,Sal,Sal,38246,1,32509.1,5354.44,382.46,0,0,382.46
Cabo Verde,Santiago,Tarrafal St,18172,1,15082.76,2725.8,363.44,0,0,363.44
Cabo Verde,Santiago,Santa Catarina,46337,1,38923.08,6487.18,926.74,0,0,926.74
Cabo Verde,Santiago,Sao Miguel,14121,1,11579.22,2259.36,282.42,0,0,282.42
Cabo Verde,Fogo,Sao Filipe,20688,1,17171.04,3310.08,206.88,0,0,206.88
Cabo Verde,Fogo,Mosteiros,9286,1,8357.4,928.6,0,0,0,0
Cabo Verde,Fogo,Santa Catarina,5240,1,4349.2,838.4,52.4,0,0,52.4
Cabo Verde,Maio,Maio,7215,1,5844.15,1226.55,144.3,0,0,144.3
Cabo Verde,Brava,Brava,5521,1,4637.64,828.15,55.21,0,0,55.21
