adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Santiago,Praia,162814,1,141648.18,17909.54,3256.28,0,0,3256.28
Cabo Verde,Santiago,Rª Gde Santiago,8488,1,6875.28,1358.08,254.64,0,0,254.64
Cabo Verde,Santiago,Sao Domingos,14135,1,11449.35,2402.95,282.7,0,0,282.7
Cabo Verde,Santiago,Sao L. Orgaos,6990,1,5661.9,1188.3,139.8,0,0,139.8
Cabo Verde,Santiago,Sta. Cruz,26100,1,21141,4437,522,0,0,522
Cabo Verde,Santiago,Sao S. Mundo,8620,2,6637.4,1724,258.6,0,0,258.6
Cabo Verde,Boa Vista,Boa Vista,17708,1,14874.72,2479.12,354.16,0,0,354.16
Cabo Verde,S. Antao,Ribeira Grande,16034,1,12987.54,2725.78,320.68,0,0,320.68
Cabo Verde,S. Antao,Porto Novo,17068,2,11094.2,5291.08,682.72,0,0,682.72
Cabo Verde,S. Antao,Paul,5648,1,4687.84,847.2,112.96,0,0,112.96
Cabo Verde,S. Nicolau,Ribeira Brava,6965,1,5641.65,1184.05,139.3,0,0,139.3
Cabo Verde,S. Nicolau,Tarrafal Sn,5217,1,4225.77,886.89,104.34,0,0,104.34
Cabo Verde,Sao  Vicente,Sao Vicente,83468,1,69278.44,12520.2,1669.36,0,0,1669.36
Cabo Verde,Sal,Sal,38246,1,32891.56,4971.98,382.46,0,0,382.46
Cabo Verde,Santiago,Tarrafal St,18172,1,14719.32,3089.24,363.44,0,0,363.44
Cabo Verde,Santiago,Santa Catarina,46337,1,37996.34,7413.92,926.74,0,0,926.74
Cabo Verde,Santiago,Sao Miguel,14121,1,11438.01,2400.57,282.42,0,0,282.42
Cabo Verde,Fogo,Sao Filipe,20688,1,16757.28,3516.96,413.76,0,0,413.76
Cabo Verde,Fogo,Mosteiros,9286,1,8171.68,1021.46,92.86,0,0,92.86
Cabo Verde,Fogo,Santa Catarina,5240,1,4244.4,890.8,104.8,0,0,104.8
Cabo Verde,Maio,Maio,7215,1,5772,1226.55,216.45,0,0,216.45
Cabo Verde,Brava,Brava,5521,1,4527.22,883.36,110.42,0,0,110.42
