adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,,2563228,1,2460699,102529,0,0,0,0
Ghana,Eastern,,3244834,1,3179937,64897,0,0,0,0
Ghana,Greater Accra,,4943075,1,4597060,346015,0,0,0,0
Ghana,Volta,,2607996,1,2451516,156480,0,0,0,0
Ghana,Weastern,,3093201,1,2783881,309320,0,0,0,0
Ghana,Ashanti,,5792187,1,5618421,173766,0,0,0,0
Ghana,Brong Ahafo,,2850607,1,2736583,114024,0,0,0,0
Ghana,Northern,,3062883,1,2725966,306288,30629,0,0,30629
Ghana,Upper East,,1273677,1,1069889,191052,12737,0,0,12737
Ghana,Upper West,,849123,1,798176,50947,0,0,0,0
