adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,,2563228,1,2358170,205058,0,0,0,0
Ghana,Eastern,,3244834,1,3050144,194690,0,0,0,0
Ghana,Greater Accra,,4943075,1,4448768,494308,0,0,0,0
Ghana,Volta,,2607996,1,2373276,234720,0,0,0,0
Ghana,Weastern,,3093201,1,2691085,402116,0,0,0,0
Ghana,Ashanti,,5792187,1,5328812,463375,0,0,0,0
Ghana,Brong Ahafo,,2850607,1,2679571,171036,0,0,0,0
Ghana,Northern,,3062883,1,2572822,459432,30629,0,0,30629
Ghana,Upper East,,1273677,1,1031678,229262,12737,0,0,12737
Ghana,Upper West,,849123,1,730246,110386,8491,0,0,8491
