adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Ghana,Upper East,Bolgatanga East,35168,3,21101,4572,8440,1055,0,9495,2,2,NA,NA,44.5,31.6,24,4,93.9,4.2,1.5,0.4,0,1,NA,NA,NA,NA,NA,NA,35.2,54.3,2,8.5,2,14.8,47.1,38,3
Ghana,Upper East,Bongo,105206,3,47343,31562,21041,5260,0,26302,3,3,NA,NA,26.9,37.7,35.4,4,87.3,7.8,2.6,2.2,0,1,NA,NA,NA,NA,NA,NA,62.1,15.7,14.3,7.8,3,47.8,43.3,9,2
Ghana,Upper East,Nabdam,42126,2,26539,12638,2949,0,0,2949,2,2,NA,NA,3.4,29.7,66.9,1,0.4,0.8,1.5,1.5,95.8,5,NA,NA,NA,NA,NA,NA,0.9,0.1,0,0,2,63.9,25.1,11,2
Ghana,Upper East,Talensi,101132,1,83940,15170,2023,0,0,2023,1,2,NA,NA,3,31.6,65.4,1,94,2.3,1.9,1.5,0.4,1,NA,NA,NA,NA,NA,NA,62.6,26.6,6.5,4.3,2,42.9,52.3,4.9,2
Ghana,Ahafo,Asunafo South,120976,1,102830,15727,2420,0,0,2420,1,2,NA,NA,24.5,13.2,62.3,4,98.2,1.4,0.5,0,NA,1,NA,NA,NA,NA,NA,NA,0.6,0.4,0,0,2,93.6,5.9,0.5,1
Ghana,Ahafo,Asunafo North,157870,1,131032,22102,4736,0,0,4736,1,2,NA,NA,5.8,32.7,61.4,2,98.2,0.9,0.9,0,NA,1,NA,NA,NA,NA,NA,NA,0.5,0.4,0,0,2,74.4,22,3.6,2
Ghana,Ahafo,Asutifi North,66141,1,56220,4630,3307,1984,0,5291,1,2,NA,NA,0.4,8.5,91.1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.8,0.1,0.1,0,2,0.6,0.3,0.1,NA
Ghana,Ahafo,Asutifi South,67763,1,58954,6776,2033,0,0,2033,1,1,NA,NA,25.7,6.4,67.9,4,0.9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.9,0,0,0.1,2,0.9,0.1,0,NA
Ghana,Ahafo,Tano North,101305,1,89148,10131,2026,0,0,2026,1,2,NA,NA,0,0.2,0.8,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.7,0.3,0,0,2,0.7,0.3,0,NA
Ghana,Ahafo,Tano South,98994,1,92064,4950,1980,0,0,1980,1,2,NA,NA,0,0.2,0.8,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,0.1,0,2,0.8,0.2,0.1,NA
Ghana,Ashanti,NA,5924498,1,5095068,710940,118490,0,0,118490,1,2,NA,NA,3.2,10.9,85.9,1,94.8,2.3,1.3,0.8,0.8,1,NA,NA,NA,NA,NA,NA,0.7,0.2,0.1,0.1,2,66,26.2,7.1,2
Ghana,Bono East,NA,1133768,1,1031729,79364,22675,0,0,22675,1,1,NA,NA,5.9,17.9,76.2,2,87,4.4,4.1,2.8,1.7,1,NA,NA,NA,NA,NA,NA,0.8,0.1,0,0,2,79.7,17.2,3.1,2
Ghana,Bono,NA,1168807,1,1040238,93505,35064,0,0,35064,1,1,NA,NA,6.3,15.8,77.9,2,93.6,2.8,2,1,0.5,1,NA,NA,NA,NA,NA,NA,0.8,0.1,0,0,2,75.8,21.5,2.6,2
