adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Northern,,2747541,1,0,0,54951,0,0,54951
Ghana,Upper East,,1139412,1,0,0,68365,0,0,68365
Ghana,Upper West,,767437,1,0,0,38372,0,0,38372
Ghana,Brong Ahafo,,2543427,1,0,0,0,0,0,0
Ghana,Ashanti,,5281793,1,0,0,0,0,0,0
Ghana,Western,,2590494,1,0,0,0,0,0,0
Ghana,Central,,2513918,1,0,0,50278,0,0,50278
Ghana,Greater Accra,,4576406,1,0,0,91528,0,0,91528
Ghana,Volta,,2355343,1,0,0,0,0,0,0
Ghana,Eastern,,2885404,1,0,0,0,0,0,0
