adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Ghana,Ahafo,Asunafo South,111403,1,90236.43,16710.45,4456.12,0,0,4456.12,1,2,NA,NA,0,14,86,1,100,0,0,0,0,1,56,34,10,0,0,2,74,4,8,14,3,56,40,4,2
Ghana,Ahafo,Asutifi South,62401,1,51792.83,8112.13,2496.04,0,0,2496.04,1,2,NA,NA,2,12,86,1,84,10,2,4,0,1,36,22,40,2,0,3,50,12,20,18,3,26,18,56,3
Ghana,Ashanti,Amansie Central,103165,2,72215.5,22696.3,8253.2,0,0,8253.2,2,3,NA,NA,6,72,22,2,100,0,0,0,0,1,44,22,34,0,0,3,46,2,16,36,4,24,76,0,2
Ghana,Ashanti,Amansie West,91905,1,87309.75,4595.25,0,0,0,0,1,1,NA,NA,0,0,100,1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,1,100,0,0,1
Ghana,Ashanti,Sekyere Afram Plains,32475,1,26304.75,4871.25,1299,0,0,1299,1,2,NA,NA,0,0,100,1,96,4,0,0,0,1,42,28,30,0,0,3,66,8,14,12,3,62,36,2,2
Ghana,Bono East,Sene East,81198,2,49530.78,17863.56,9743.76,4059.9,0,13803.66,2,3,NA,NA,4,32,64,1,38,42,16,4,0,3,22,8,64,6,0,3,6,32,34,28,4,14,34,52,3
Ghana,Bono East,Sene West,76823,1,66067.78,7682.3,3072.92,0,0,3072.92,1,1,NA,NA,0,0,100,1,70,22,8,0,0,2,96,2,2,0,0,1,82,8,2,8,1,72,26,2,2
Ghana,Bono,Banda,26601,2,20216.76,4256.16,2128.08,0,0,2128.08,2,2,NA,NA,14,46,40,3,100,0,0,0,0,1,86,14,0,0,0,1,68,22,2,8,2,46,50,4,2
Ghana,Bono,Jaman South,121346,1,103144.1,12134.6,6067.3,0,0,6067.3,1,1,NA,NA,0,18,82,1,70,16,10,4,0,2,100,0,0,0,0,1,94,0,0,6,1,80,20,0,2
Ghana,Central,Agona West,149762,2,113819.12,23961.92,11980.96,0,0,11980.96,2,3,NA,NA,0,2,98,1,98,2,0,0,0,1,8,0,92,0,0,3,16,6,14,64,4,2,62,36,3
Ghana,Central,Twifo-Ati-Mokwa,80256,2,59389.44,16051.2,4012.8,802.56,0,4815.36,2,2,NA,NA,8,16,76,2,60,28,8,4,0,2,70,26,2,0,2,2,42,38,10,10,3,62,36,2,2
Ghana,Eastern,Kwahu Afram Plains North,113501,2,86260.76,18160.16,9080.08,0,0,9080.08,2,1,NA,NA,8,40,52,2,78,12,10,0,0,2,96,4,0,0,0,1,100,0,0,0,1,56,42,2,2
Ghana,Eastern,Ayensuano,85520,2,59008.8,17959.2,8552,0,0,8552,1,3,NA,NA,0,8,92,1,90,8,2,0,0,1,90,4,6,0,0,1,40,14,20,26,4,42,46,12,2
Ghana,Greater Accra,Ada East,97311,1,79795.02,13623.54,3892.44,0,0,3892.44,1,2,NA,NA,0,0,100,1,98,2,0,0,0,1,72,16,12,0,0,2,64,10,14,12,3,60,34,6,2
Ghana,Greater Accra,Ada West,80299,2,63436.21,12044.85,4014.95,802.99,0,4817.94,2,1,NA,NA,0,0,100,1,45,21.7,15,15,3.3,3,93.3,6.7,0,0,0,1,73.3,16.7,5,5,2,13.3,86.7,0,2
Ghana,North East,Bunkpurugu -Nakpanduri,98886,3,40543.26,29665.8,23732.64,4944.3,0,28676.94,3,3,NA,NA,26,50,24,4,2,16,26,20,36,5,20,32,48,0,0,3,34,16,28,22,4,10,64,26,3
Ghana,North East,Chereponi,75659,2,46908.58,18914.75,7565.9,2269.77,0,9835.67,1,3,NA,NA,2,8,90,1,24,20,42,14,0,3,94,2,4,0,0,1,4,14,66,16,3,10,74,16,2
Ghana,North East,East Mamprusi,171468,2,123456.96,34293.6,13717.44,0,0,13717.44,1,4,NA,NA,0,0,100,1,82,16,0,2,0,1,80,16,4,0,0,2,18,4,10,68,4,100,0,0,1
Ghana,North East,Mamprugu-Moagduri,66448,1,61796.64,3986.88,664.48,0,0,664.48,1,1,NA,NA,0,5.9,94.1,1,70.6,23.5,5.9,0,0,2,98,2,0,0,0,1,96.1,2,2,0,1,98,2,0,1
Ghana,North East,West Mamprusi,588800,1,500480,70656,17664,0,0,17664,1,1,NA,NA,0,24.5,75.5,1,95.9,4.1,0,0,0,1,100,0,0,0,0,1,79.6,18.4,0,2,2,100,0,0,1
Ghana,Northern,Gushiegu,166443,2,124832.25,26630.88,13315.44,1664.43,0,14979.87,1,3,NA,NA,4,12,84,1,82,10,6,0,2,1,82,8,10,0,0,1,30,32,18,20,4,64,36,0,2
Ghana,Northern,Karaga,116259,2,68592.81,25576.98,17438.85,4650.36,0,22089.21,2,3,NA,NA,12,56,32,3,50,32,18,0,0,2,94,2,4,0,0,1,36,22,10,32,4,72,26,2,2
Ghana,Northern,Kumbungu,58845,2,37072.35,12357.45,6472.95,2942.25,0,9415.2,2,3,NA,NA,18,54,28,3,54,30,8,6,2,2,62,8,28,2,0,3,48,8,4,40,4,50,38,12,2
Ghana,Northern,Mion,122373,2,84437.37,26922.06,11013.57,0,0,11013.57,2,3,NA,NA,22,34,44,4,62,20,16,2,0,2,88,6,6,0,0,1,36,28,16,20,4,82,16,2,1
Ghana,Northern,Nanton,69668,1,62701.2,5573.44,1393.36,0,0,1393.36,1,1,NA,NA,0,14,86,1,96,4,0,0,0,1,100,0,0,0,0,1,92,6,0,2,1,96,4,0,1
Ghana,Northern,Sagnarigu,221495,1,208205.3,13289.7,0,0,0,0,1,1,NA,NA,0,4,96,1,90,10,0,0,0,1,98,2,0,0,0,1,98,2,0,0,1,100,0,0,1
