adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Ghana,Ahafo,Asunafo South,111403,1,93578.52,14482.39,3342.09,0,0,3342.09,1,2,NA,NA
Ghana,Ahafo,Asutifi South,62401,1,53040.85,9360.15,0,0,0,0,1,2,NA,NA
Ghana,Ashanti,Amansie Central,103165,1,90785.2,8253.2,4126.6,0,0,4126.6,1,2,NA,NA
Ghana,Ashanti,Amansie West,91905,1,88228.8,3676.2,0,0,0,0,1,1,NA,NA
Ghana,Ashanti,Sekyere Afram Plains,32475,1,26954.25,4546.5,974.25,0,0,974.25,1,1,NA,NA
Ghana,Bono East,Sene East,81198,2,56838.6,16239.6,8119.8,0,0,8119.8,2,2,NA,NA
Ghana,Bono East,Sene West,76823,1,69140.7,6145.84,1536.46,0,0,1536.46,1,1,NA,NA
Ghana,Bono,Banda,26601,1,21812.82,3458.13,1330.05,0,0,1330.05,1,1,NA,NA
Ghana,Bono,Jaman South,121346,1,107997.94,9707.68,3640.38,0,0,3640.38,1,1,NA,NA
Ghana,Central,Agona West,149762,1,128795.32,14976.2,5990.48,0,0,5990.48,1,2,NA,NA
Ghana,Central,Twifo-Ati-Mokwa,80256,1,65007.36,13643.52,1605.12,0,0,1605.12,1,1,NA,NA
Ghana,Eastern,Kwahu Afram Plains North,113501,1,94205.83,12485.11,6810.06,0,0,6810.06,1,1,NA,NA
Ghana,Eastern,Ayensuano,85520,1,69271.2,12828,3420.8,0,0,3420.8,1,2,NA,NA
Ghana,Greater Accra,Ada East,97311,1,84660.57,10704.21,1946.22,0,0,1946.22,1,2,NA,NA
Ghana,Greater Accra,Ada West,80299,1,69860.13,8029.9,2408.97,0,0,2408.97,1,1,NA,NA
Ghana,North East,Bunkpurugu -Nakpanduri,98886,2,48454.14,34610.1,12855.18,2966.58,0,15821.76,2,2,NA,NA
Ghana,North East,Chereponi,75659,1,61283.79,10592.26,3782.95,0,0,3782.95,1,2,NA,NA
Ghana,North East,East Mamprusi,171468,1,138889.08,22290.84,10288.08,0,0,10288.08,1,3,NA,NA
Ghana,North East,Mamprugu-Moagduri,66448,1,63790.08,2657.92,0,0,0,0,1,1,NA,NA
Ghana,North East,West Mamprusi,588800,1,524032,52992,11776,0,0,11776,1,1,NA,NA
Ghana,Northern,Gushiegu,166443,1,138147.69,19973.16,8322.15,0,0,8322.15,1,2,NA,NA
Ghana,Northern,Karaga,116259,1,94169.79,12788.49,9300.72,0,0,9300.72,1,2,NA,NA
Ghana,Northern,Kumbungu,58845,1,48841.35,5884.5,4119.15,0,0,4119.15,1,2,NA,NA
Ghana,Northern,Mion,122373,1,102793.32,13461.03,6118.65,0,0,6118.65,1,2,NA,NA
Ghana,Northern,Nanton,69668,1,65487.92,4180.08,0,0,0,0,1,1,NA,NA
Ghana,Northern,Sagnarigu,221495,1,214850.15,6644.85,0,0,0,0,1,1,NA,NA
Ghana,Northern,Tatale-Sangule,89807,1,72743.67,12572.98,4490.35,0,0,4490.35,1,2,NA,NA
Ghana,Northern,Yendi,176165,1,142693.65,21139.8,12331.55,0,0,12331.55,1,2,NA,NA
Ghana,Oti,Biakoye,81309,1,74804.28,4065.45,2439.27,0,0,2439.27,1,1,NA,NA
Ghana,Oti,Jasikan,73052,1,71590.96,1461.04,0,0,0,0,1,1,NA,NA
Ghana,Savannah,Central Gonja,121597,2,70526.26,30399.25,14591.64,6079.85,0,20671.49,2,2,NA,NA
Ghana,Savannah,East Gonja,146160,1,121312.8,17539.2,7308,0,0,7308,1,2,NA,NA
Ghana,Savannah,North Gonja,41160,1,34162.8,4939.2,2058,0,0,2058,1,1,NA,NA
Ghana,Savannah,Sawla-Tuna-Kalba,138256,2,89866.4,34564,13825.6,0,0,13825.6,2,1,NA,NA
Ghana,Savannah,West Gonja,56976,1,46150.56,6837.12,3988.32,0,0,3988.32,1,2,NA,NA
Ghana,Upper East,Bawku Municipal,122500,1,106575,13475,2450,0,0,2450,1,1,NA,NA
Ghana,Upper East,Bawku West,116902,1,108718.86,8183.14,0,0,0,0,1,1,NA,NA
Ghana,Upper East,Binduri,76553,2,56649.22,16076.13,3827.65,0,0,3827.65,2,1,NA,NA
Ghana,Upper East,Bolgatanga East,35128,1,30210.08,3864.08,1053.84,0,0,1053.84,2,1,NA,NA
Ghana,Upper East,Bongo,105085,2,68305.25,22067.85,13661.05,1050.85,0,14711.9,2,2,NA,NA
Ghana,Upper East,Builsa North,70240,1,56894.4,10536,2809.6,0,0,2809.6,1,2,NA,NA
Ghana,Upper East,Builsa South,45417,1,36787.77,5904.21,2725.02,0,0,2725.02,1,2,NA,NA
Ghana,Upper East,Garu,72551,2,50785.7,14510.2,7255.1,0,0,7255.1,2,2,NA,NA
Ghana,Upper East,Kasena-Nankana West,588800,1,494592,70656,23552,0,0,23552,1,2,NA,NA
Ghana,Upper East,Tempane,89053,1,77476.11,8905.3,2671.59,0,0,2671.59,1,1,NA,NA
Ghana,Upper West,Daffiama-Bussie-Issa,42299,1,40184.05,2114.95,0,0,0,0,1,1,NA,NA
Ghana,Upper West,Jirapa,113866,1,94508.78,15941.24,3415.98,0,0,3415.98,1,2,NA,NA
Ghana,Upper West,Lambussie-Karni,66553,1,58566.64,6655.3,1331.06,0,0,1331.06,1,1,NA,NA
Ghana,Upper West,Nadowli-Kaleo,79288,1,64223.28,11893.2,3171.52,0,0,3171.52,1,2,NA,NA
Ghana,Upper West,Nandom,59322,1,53389.8,5932.2,0,0,0,0,1,1,NA,NA
Ghana,Upper West,Sissala East,72839,1,64098.32,8740.68,0,0,0,0,1,1,NA,NA
Ghana,Upper West,Sissala West,63879,1,56213.52,7665.48,0,0,0,0,1,2,NA,NA
Ghana,Upper West,Wa East,92913,1,81763.44,9291.3,1858.26,0,0,1858.26,1,1,NA,NA
Ghana,Upper West,Wa West,104841,2,75485.52,18871.38,10484.1,0,0,10484.1,2,2,NA,NA
Ghana,Volta,Akatsi North,32440,1,31142.4,1297.6,0,0,0,0,1,1,NA,NA
Ghana,Volta,Ketu South,175299,1,170040.03,5258.97,0,0,0,0,1,1,NA,NA
Ghana,Western North,Juaboso,72358,1,60780.72,8682.96,2894.32,0,0,2894.32,1,1,NA,NA
Ghana,Western North,Suaman,25402,1,22861.8,2540.2,0,0,0,0,1,1,NA,NA
Ghana,Western,Mpohor,53044,2,37130.8,9547.92,6365.28,0,0,6365.28,2,2,NA,NA
Ghana,Western,Wassa East,100182,1,86156.52,10018.2,4007.28,0,0,4007.28,1,1,NA,NA
