adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Guinea,Kankan,Siguiri,832642,2,657787,158202,16653,0,0,16653,2,2,NA,NA
Guinea,Boke,Boffa,261085,1,216701,39163,5222,0,0,5222,1,2,NA,NA
Guinea,Boke,Boke,813790,2,585929,203448,24414,0,0,24414,2,3,NA,NA
Guinea,Boke,Fria,118795,2,87908,26135,4752,0,0,4752,2,2,NA,NA
Guinea,Boke,Gaoual,237892,1,202208,35684,0,0,0,0,1,2,NA,NA
Guinea,Boke,Koundara,159602,1,135662,23940,0,0,0,0,1,2,NA,NA
Guinea,Faranah,Dabola,222591,2,164717,40066,17807,0,0,17807,1,3,NA,NA
Guinea,Faranah,Dinguiraye,241352,2,166533,62752,12068,0,0,12068,2,3,NA,NA
Guinea,Faranah,Faranah,344272,2,258204,75740,10328,0,0,10328,1,3,NA,NA
Guinea,Faranah,Kissidougou,348097,1,306325,41772,0,0,0,0,1,2,NA,NA
Guinea,Kankan,Kankan,579498,2,405649,144875,28975,0,0,28975,1,3,NA,NA
Guinea,Kankan,Kerouane,255045,1,209137,38257,7651,0,0,7651,1,2,NA,NA
Guinea,Kankan,Kouroussa,329839,1,273766,49476,6597,0,0,6597,1,3,NA,NA
Guinea,Kankan,Mandiana,412842,1,342659,57798,12385,0,0,12385,1,3,NA,NA
Guinea,Kindia,Coyah,323755,2,223391,87414,12950,0,0,12950,2,2,NA,NA
Guinea,Kindia,Dubreka,405455,2,295982,93255,16218,0,0,16218,2,2,NA,NA
Guinea,Kindia,Forecariah,298264,1,244576,47722,5965,0,0,5965,1,2,NA,NA
Guinea,Kindia,Kindia,539420,2,382988,129461,26971,0,0,26971,2,2,NA,NA
Guinea,Kindia,Telimele,349383,2,244568,76864,27951,0,0,27951,2,2,NA,NA
Guinea,Labe,Koubia,122602,1,100534,19616,2452,0,0,2452,1,2,NA,NA
Guinea,Labe,Labe,390498,2,277254,93720,19525,0,0,19525,2,3,NA,NA
Guinea,Labe,Lelouma,200167,2,144120,42035,14012,0,0,14012,2,2,NA,NA
Guinea,Labe,Mali,353395,2,247377,91883,14136,0,0,14136,2,2,NA,NA
Guinea,Mamou,Mamou,378596,2,257445,94649,26502,0,0,26502,2,3,NA,NA
Guinea,Mamou,Pita,341563,1,280082,54650,6831,0,0,6831,1,2,NA,NA
Guinea,Nzerekore,Beyla,400729,2,252459,108197,40073,0,0,40073,1,3,NA,NA
Guinea,Nzerekore,Gueckedou,356900,2,221278,107070,28552,0,0,28552,1,3,NA,NA
Guinea,Nzerekore,Lola,210833,2,128608,59033,23192,0,0,23192,1,3,NA,NA
Guinea,Nzerekore,Macenta,342165,2,242937,88963,10265,0,0,10265,1,3,NA,NA
Guinea,Nzerekore,Nzerekore,487143,2,345872,126657,14614,0,0,14614,1,3,NA,NA
Guinea,Nzerekore,Yomou,140457,2,102534,32305,5618,0,0,5618,1,3,NA,NA
Guinea,Labe,Tougue,152729,2,109965,39710,3055,0,0,3055,2,2,NA,NA
Guinea,Mamou,Dalaba,164177,2,119849,36119,8209,0,0,8209,2,2,NA,NA
