adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Guinea,Kankan,Siguiri,832642,2,591176,199834,41632,0,0,41632,2,2,NA,NA
Guinea,Boke,Boffa,261085,1,211479,49606,0,0,0,0,1,1,NA,NA
Guinea,Boke,Boke,813790,2,610343,187172,16276,0,0,16276,2,2,NA,NA
Guinea,Boke,Fria,118795,1,98600,20195,0,0,0,0,1,1,NA,NA
Guinea,Boke,Gaoual,237892,1,195071,42821,0,0,0,0,1,2,NA,NA
Guinea,Boke,Koundara,159602,1,130874,28728,0,0,0,0,1,2,NA,NA
Guinea,Faranah,Dabola,222591,2,160266,51196,11130,0,0,11130,1,2,NA,NA
Guinea,Faranah,Dinguiraye,241352,2,149638,77233,14481,0,0,14481,2,3,NA,NA
Guinea,Faranah,Faranah,344272,1,282303,61969,0,0,0,0,1,2,NA,NA
Guinea,Faranah,Kissidougou,348097,1,292401,55696,0,0,0,0,1,2,NA,NA
Guinea,Kankan,Kankan,579498,2,336109,202824,40565,0,0,40565,2,3,NA,NA
Guinea,Kankan,Kerouane,255045,2,183632,58660,12752,0,0,12752,2,2,NA,NA
Guinea,Kankan,Kouroussa,329839,1,267170,52774,9895,0,0,9895,1,3,NA,NA
Guinea,Kankan,Mandiana,412842,1,334402,61926,16514,0,0,16514,1,3,NA,NA
Guinea,Kindia,Coyah,323755,2,213678,93889,16188,0,0,16188,2,2,NA,NA
Guinea,Kindia,Dubreka,405455,2,263546,113527,28382,0,0,28382,2,2,NA,NA
Guinea,Kindia,Forecariah,298264,2,223698,62635,11931,0,0,11931,2,2,NA,NA
Guinea,Kindia,Kindia,539420,2,334440,161826,43154,0,0,43154,2,2,NA,NA
Guinea,Kindia,Telimele,349383,2,220111,97827,31444,0,0,31444,2,2,NA,NA
Guinea,Labe,Koubia,122602,1,100534,18390,3678,0,0,3678,1,2,NA,NA
Guinea,Labe,Labe,390498,2,249919,117149,23430,0,0,23430,2,3,NA,NA
Guinea,Labe,Lelouma,200167,1,164137,30025,6005,0,0,6005,1,1,NA,NA
Guinea,Labe,Mali,353395,2,236775,98951,17670,0,0,17670,2,2,NA,NA
Guinea,Mamou,Mamou,378596,2,287733,83291,7572,0,0,7572,2,2,NA,NA
Guinea,Mamou,Pita,341563,1,300575,40988,0,0,0,0,1,1,NA,NA
Guinea,Nzerekore,Beyla,400729,1,340620,52095,8015,0,0,8015,1,2,NA,NA
Guinea,Nzerekore,Gueckedou,356900,2,249830,89225,17845,0,0,17845,1,3,NA,NA
Guinea,Nzerekore,Lola,210833,1,172883,37950,0,0,0,0,1,2,NA,NA
Guinea,Nzerekore,Macenta,342165,1,283997,58168,0,0,0,0,1,2,NA,NA
Guinea,Nzerekore,Nzerekore,487143,2,326386,141271,19486,0,0,19486,2,3,NA,NA
Guinea,Nzerekore,Yomou,140457,2,108152,29496,2809,0,0,2809,1,2,NA,NA
Guinea,Labe,Tougue,152729,2,100801,45819,6109,0,0,6109,2,2,NA,NA
Guinea,Mamou,Dalaba,164177,2,103432,49253,11492,0,0,11492,2,2,NA,NA
