adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Guinea,Boke,Boffa,254051,1,213402.84,38107.65,2540.51,0,0,2540.51
Guinea,Boke,Boke,537812,1,446383.96,86049.92,5378.12,0,0,5378.12
Guinea,Boke,Fria,115594,1,101722.72,12715.34,1155.94,0,0,1155.94
Guinea,Boke,Gaoual,231483,1,217594.02,13888.98,0,0,0,0
Guinea,Boke,Koundara,155302,1,147536.9,7765.1,0,0,0,0
Guinea,Kindia,Coyah,0,0,0,0,0,0,0,0
Guinea,Kindia,Dubreka,394531,1,343241.97,47343.72,3945.31,0,0,3945.31
Guinea,Kindia,Forecariah,290227,1,258302.03,29022.7,2902.27,0,0,2902.27
Guinea,Kindia,Kindia,524886,1,472397.4,52488.6,0,0,0,0
Guinea,Kindia,Telimele,339969,1,316171.17,23797.83,0,0,0,0
Guinea,Mamou,Dalaba,159754,1,148571.22,11182.78,0,0,0,0
Guinea,Mamou,Mamou,381222,1,327850.92,45746.64,7624.44,0,0,7624.44
Guinea,Mamou,Pita,332360,1,302447.6,26588.8,3323.6,0,0,3323.6
Guinea,Labe,Koubia,119299,1,102597.14,14315.88,2385.98,0,0,2385.98
Guinea,Labe,Labe,379977,2,284982.75,83594.94,11399.31,0,0,11399.31
Guinea,Labe,Lelouma,194774,1,183087.56,11686.44,0,0,0,0
Guinea,Labe,Mali,343873,1,326679.35,17193.65,0,0,0,0
Guinea,Labe,Tougue,148614,1,135238.74,11889.12,1486.14,0,0,1486.14
Guinea,N'zerekore,Beyla,389932,1,323643.56,58489.8,7798.64,0,0,7798.64
Guinea,N'zerekore,Gueckedou,347284,1,281300.04,62511.12,3472.84,0,0,3472.84
Guinea,N'zerekore,Lola,205152,1,184636.8,20515.2,0,0,0,0
Guinea,N'zerekore,Macenta,332946,1,266356.8,63259.74,3329.46,0,0,3329.46
Guinea,N'zerekore,N'zerekore,474018,1,379214.4,90063.42,4740.18,0,0,4740.18
Guinea,N'zerekore,Yomou,136673,1,114805.32,21867.68,0,0,0,0
Guinea,Faranah,Dabola,216594,1,201432.42,15161.58,0,0,0,0
Guinea,Faranah,Dinguiraye,234849,1,211364.1,23484.9,0,0,0,0
Guinea,Faranah,Faranah,334996,1,308196.32,26799.68,0,0,0,0
Guinea,Faranah,Kissidougou,338718,1,318394.92,20323.08,0,0,0,0
Guinea,Kankan,Kankan,563884,1,518773.28,45110.72,0,0,0,0
Guinea,Kankan,Kouroussa,320952,1,298485.36,22466.64,0,0,0,0
Guinea,Kankan,Kerouane,248174,1,228320.08,19853.92,0,0,0,0
Guinea,Kankan,Mandiana,401719,1,373598.67,28120.33,0,0,0,0
Guinea,Kankan,Siguiri,810208,2,567145.6,162041.6,81020.8,0,0,81020.8
