adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Guinea,Boke,Boffa,261085,2,185370.35,54827.85,20886.8,0,0,20886.8
Guinea,Boke,Boke,813790,2,602204.6,154620.1,56965.3,0,0,56965.3
Guinea,Boke,Fria,118795,1,103351.65,11879.5,3563.85,0,0,3563.85
Guinea,Boke,Gaoual,237892,1,197450.36,30925.96,9515.68,0,0,9515.68
Guinea,Boke,Koundara,159602,1,135661.7,17556.22,6384.08,0,0,6384.08
Guinea,Faranah,Dabola,222591,2,160265.52,51195.93,11129.55,0,0,11129.55
Guinea,Faranah,Dinguiraye,241352,2,166532.88,60338,14481.12,0,0,14481.12
Guinea,Faranah,Faranah,344272,2,247875.84,75739.84,20656.32,0,0,20656.32
Guinea,Faranah,Kissidougou,348097,2,257591.78,73100.37,17404.85,0,0,17404.85
Guinea,Kankan,Kankan,579498,2,417238.56,133284.54,28974.9,0,0,28974.9
Guinea,Kankan,Kerouane,255045,2,183632.4,61210.8,10201.8,0,0,10201.8
Guinea,Kankan,Kouroussa,329839,2,244080.86,75862.97,9895.17,0,0,9895.17
Guinea,Kankan,Mandiana,412842,2,317888.34,78439.98,16513.68,0,0,16513.68
Guinea,Kankan,Siguiri,832642,2,516238.04,216486.92,99917.04,0,0,99917.04
Guinea,Kindia,Coyah,323755,2,246053.8,51800.8,25900.4,0,0,25900.4
Guinea,Kindia,Dubreka,405455,2,291927.6,85145.55,28381.85,0,0,28381.85
Guinea,Kindia,Forecariah,298264,2,235628.56,44739.6,17895.84,0,0,17895.84
Guinea,Kindia,Kindia,539420,2,426141.8,80913,32365.2,0,0,32365.2
Guinea,Kindia,Telimele,349383,2,269024.91,55901.28,24456.81,0,0,24456.81
Guinea,Labe,Koubia,122602,1,101759.66,13486.22,7356.12,0,0,7356.12
Guinea,Labe,Labe,390498,1,331923.3,39049.8,19524.9,0,0,19524.9
Guinea,Labe,Lelouma,200167,2,148123.58,38031.73,14011.69,0,0,14011.69
Guinea,Labe,Mali,353395,1,303919.7,35339.5,14135.8,0,0,14135.8
Guinea,Labe,Tougue,152729,2,120655.91,22909.35,9163.74,0,0,9163.74
Guinea,Mamou,Dalaba,164177,1,137908.68,18059.47,8208.85,0,0,8208.85
Guinea,Mamou,Mamou,378596,2,287732.96,68147.28,22715.76,0,0,22715.76
Guinea,Mamou,Pita,341563,1,293744.18,30740.67,17078.15,0,0,17078.15
Guinea,Nzerekore,Beyla,400729,2,308561.33,84153.09,8014.58,0,0,8014.58
Guinea,Nzerekore,Gueckedou,356900,1,303365,49966,3569,0,0,3569
Guinea,Nzerekore,Lola,210833,2,160233.08,44274.93,6324.99,0,0,6324.99
Guinea,Nzerekore,Macenta,342165,1,290840.25,41059.8,10264.95,0,0,10264.95
Guinea,Nzerekore,Nzerekore,487143,2,326385.81,131528.61,29228.58,0,0,29228.58
Guinea,Nzerekore,Yomou,140457,2,99724.47,35114.25,5618.28,0,0,5618.28
