adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Guinea,Boke,Boffa,268251,2,201188.25,45602.67,21460.08,0,0,21460.08,2,2,NA,NA,7.2,46.1,46.7,2,NA,NA,NA,NA,NA,NA,26.9,13.8,40.7,10.8,7.8,3,16.8,16.8,43.7,22.8,4,28.1,35.3,36.5,3
Guinea,Boke,Boke,567873,1,488370.78,68144.76,11357.46,0,0,11357.46,1,2,NA,NA,7.2,46.1,46.7,2,NA,NA,NA,NA,NA,NA,26.9,13.8,40.7,10.8,7.8,3,16.8,16.8,43.7,22.8,4,28.1,35.3,36.5,3
Guinea,Boke,Fria,122055,2,93982.35,19528.8,8543.85,0,0,8543.85,2,2,NA,NA,7.2,46.1,46.7,2,NA,NA,NA,NA,NA,NA,26.9,13.8,40.7,10.8,7.8,3,16.8,16.8,43.7,22.8,4,28.1,35.3,36.5,3
Guinea,Boke,Gaoual,244421,2,188204.17,36663.15,19553.68,0,0,19553.68,2,2,NA,NA,7.2,46.1,46.7,2,NA,NA,NA,NA,NA,NA,26.9,13.8,40.7,10.8,7.8,3,16.8,16.8,43.7,22.8,4,28.1,35.3,36.5,3
Guinea,Boke,Koundara,163982,2,118067.04,36076.04,9838.92,0,0,9838.92,2,2,NA,NA,7.2,46.1,46.7,2,NA,NA,NA,NA,NA,NA,26.9,13.8,40.7,10.8,7.8,3,16.8,16.8,43.7,22.8,4,28.1,35.3,36.5,3
Guinea,Conakry,Conakry,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Faranah,Dabola,228700,2,144081,61749,22870,0,0,22870,2,2,NA,NA,9.4,45.3,45.3,2,NA,NA,NA,NA,NA,NA,33.6,10.2,35.2,10.2,10.9,4,20.3,25,38.3,16.4,3,32,25,43,3
Guinea,Faranah,Dinguiraye,247975,1,225657.25,19838,2479.75,0,0,2479.75,1,2,NA,NA,9.4,45.3,45.3,2,NA,NA,NA,NA,NA,NA,33.6,10.2,35.2,10.2,10.9,4,20.3,25,38.3,16.4,3,32,25,43,3
Guinea,Faranah,Faranah,353720,1,311273.6,35372,7074.4,0,0,7074.4,1,2,NA,NA,9.4,45.3,45.3,2,NA,NA,NA,NA,NA,NA,33.6,10.2,35.2,10.2,10.9,4,20.3,25,38.3,16.4,3,32,25,43,3
Guinea,Faranah,Kissidougou,357651,1,296850.33,50071.14,10729.53,0,0,10729.53,1,1,NA,NA,9.4,45.3,45.3,2,NA,NA,NA,NA,NA,NA,33.6,10.2,35.2,10.2,10.9,4,20.3,25,38.3,16.4,3,32,25,43,3
Guinea,Kankan,Kankan,595403,1,523954.64,65494.33,5954.03,0,0,5954.03,1,2,NA,NA,2.8,46.5,50.7,1,NA,NA,NA,NA,NA,NA,45.2,9.2,32.7,6,6.9,3,23.5,22.1,30.4,24,4,31.8,26.3,41.9,3
Guinea,Kankan,Kerouane,262045,1,225358.7,31445.4,5240.9,0,0,5240.9,1,2,NA,NA,2.8,46.5,50.7,1,NA,NA,NA,NA,NA,NA,45.2,9.2,32.7,6,6.9,3,23.5,22.1,30.4,24,4,31.8,26.3,41.9,3
Guinea,Kankan,Kouroussa,338892,2,240613.32,64389.48,33889.2,0,0,33889.2,2,3,NA,NA,2.8,46.5,50.7,1,NA,NA,NA,NA,NA,NA,45.2,9.2,32.7,6,6.9,3,23.5,22.1,30.4,24,4,31.8,26.3,41.9,3
Guinea,Kankan,Mandiana,424173,1,369030.51,46659.03,8483.46,0,0,8483.46,1,2,NA,NA,2.8,46.5,50.7,1,NA,NA,NA,NA,NA,NA,45.2,9.2,32.7,6,6.9,3,23.5,22.1,30.4,24,4,31.8,26.3,41.9,3
