adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Guinea,Boke,Boffa,268251,2,195823.23,48285.18,24142.59,0,0,24142.59,2,2,NA,NA
Guinea,Boke,Boke,567873,2,425904.75,107895.87,34072.38,0,0,34072.38,2,2,NA,NA
Guinea,Boke,Fria,122055,2,92761.8,19528.8,9764.4,0,0,9764.4,2,2,NA,NA
Guinea,Boke,Gaoual,244421,2,180871.54,41551.57,21997.89,0,0,21997.89,2,2,NA,NA
Guinea,Boke,Koundara,163982,2,113147.58,37715.86,13118.56,0,0,13118.56,2,2,NA,NA
Guinea,Conakry,Conakry,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Guinea,Faranah,Dabola,228700,2,153229,57175,18296,0,0,18296,2,2,NA,NA
Guinea,Faranah,Dinguiraye,247975,1,210778.75,29757,7439.25,0,0,7439.25,1,2,NA,NA
Guinea,Faranah,Faranah,353720,1,304199.2,38909.2,10611.6,0,0,10611.6,1,1,NA,NA
Guinea,Faranah,Kissidougou,357651,2,271814.76,57224.16,28612.08,0,0,28612.08,2,2,NA,NA
Guinea,Kankan,Kankan,595403,1,512046.58,71448.36,11908.06,0,0,11908.06,1,3,NA,NA
Guinea,Kankan,Kerouane,262045,1,220117.8,34065.85,7861.35,0,0,7861.35,1,2,NA,NA
Guinea,Kankan,Kouroussa,338892,2,223668.72,74556.24,40667.04,0,0,40667.04,2,3,NA,NA
Guinea,Kankan,Mandiana,424173,2,330854.94,67867.68,25450.38,0,0,25450.38,2,2,NA,NA
Guinea,Kankan,Siguiri,855494,2,675840.26,136879.04,42774.7,0,0,42774.7,1,3,NA,NA
Guinea,Kindia,Coyah,332640,2,242827.2,66528,23284.8,0,0,23284.8,2,2,NA,NA
Guinea,Kindia,Dubreka,416583,2,329100.57,58321.62,29160.81,0,0,29160.81,2,2,NA,NA
Guinea,Kindia,Forecariah,306449,1,272739.61,24515.92,9193.47,NA,0,9193.47,1,2,NA,NA
Guinea,Kindia,Kindia,554224,2,426752.48,99760.32,27711.2,0,0,27711.2,1,2,NA,NA
Guinea,Kindia,Telimele,358971,2,276407.67,64614.78,17948.55,0,0,17948.55,2,2,NA,NA
Guinea,Labe,Koubia,125967,2,95734.92,20154.72,10077.36,0,0,10077.36,2,2,NA,NA
Guinea,Labe,Labe,401215,2,236716.85,112340.2,52157.95,0,0,52157.95,2,2,NA,NA
Guinea,Labe,Lelouma,205661,2,158358.97,39075.59,8226.44,0,0,8226.44,1,3,NA,NA
Guinea,Labe,Mali,363094,2,163392.3,137975.72,61725.98,0,0,61725.98,2,2,NA,NA
Guinea,Labe,Tougue,156920,2,106705.6,36091.6,14122.8,0,0,14122.8,2,2,NA,NA
Guinea,Mamou,Dalaba,168683,2,121451.76,30362.94,16868.3,0,0,16868.3,2,2,NA,NA
Guinea,Mamou,Mamou,402530,2,241518,100632.5,60379.5,0,0,60379.5,2,2,NA,NA
Guinea,Mamou,Pita,350937,2,245655.9,94752.99,10528.11,0,0,10528.11,2,2,NA,NA
Guinea,Nzerekore,Beyla,411727,2,321147.06,74110.86,16469.08,0,0,16469.08,2,3,NA,NA
Guinea,Nzerekore,Gueckedou,366695,1,308023.8,44003.4,14667.8,0,0,14667.8,1,2,NA,NA
Guinea,Nzerekore,Lola,216619,1,186292.34,28160.47,2166.19,0,0,2166.19,1,1,NA,NA
Guinea,Nzerekore,Macenta,351556,2,207418.04,101951.24,42186.72,0,0,42186.72,2,3,NA,NA
Guinea,Nzerekore,Nzerekore,500513,2,365374.49,115117.99,20020.52,0,0,20020.52,2,3,NA,NA
Guinea,Nzerekore,Yomou,144312,1,118335.84,20203.68,5772.48,0,0,5772.48,1,3,NA,NA
