adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,,99352,,54643.6,31792.64,12915.76,0,0,12915.76
Liberia,Bong,,393873,,169365.39,145733.01,78774.6,0,0,78774.6
Liberia,Gbarpolu,,98489,,53184.06,34471.15,10833.79,0,0,10833.79
Liberia,Grand Bassa,,261840,,164959.2,89025.6,7855.2,0,0,7855.2
Liberia,Grand Cape Mount,,150089,,76545.39,51030.26,22513.35,0,0,22513.35
Liberia,Grand Gedeh,,147942,,75450.42,50300.28,22191.3,0,0,22191.3
Liberia,Grand Kru,,68401,,34200.5,23256.34,10944.16,0,0,10944.16
Liberia,Lofa,,327001,,111180.34,147150.45,68670.21,0,0,68670.21
Liberia,Margibi,,247939,,109093.16,81819.87,57025.97,0,0,57025.97
Liberia,Maryland,,160556,,86700.24,51377.92,22477.84,0,0,22477.84
Liberia,Montserrado,,1320748,,633959.04,422639.36,264149.6,0,0,264149.6
Liberia,Nimba,,545696,,196450.56,240106.24,109139.2,0,0,109139.2
Liberia,River Gee,,78884,,41019.68,28398.24,9466.08,0,0,9466.08
Liberia,Rivercess,,84459,,45607.86,29560.65,9290.49,0,0,9290.49
Liberia,Sinoe,,120933,,65303.82,39907.89,15721.29,0,0,15721.29
