adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,,101560,1,96482,5078,0,0,0,0
Liberia,Bong,,402624,1,390545.28,12078.72,0,0,0,0
Liberia,Gbarpolu,,100677,1,91616.07,9060.93,0,0,0,0
Liberia,Grand Bassa,,267658,1,256951.68,10706.32,0,0,0,0
Liberia,Grand Cape Mount,,153423,1,147286.08,6136.92,0,0,0,0
Liberia,Grand Gedeh,,151228,1,130056.08,21171.92,0,0,0,0
Liberia,Grand Kru,,69920,1,58033.6,11886.4,0,0,0,0
Liberia,Lofa,,334267,1,327581.66,6685.34,0,0,0,0
Liberia,Margibi,,253448,1,230637.68,22810.32,0,0,0,0
Liberia,Maryland,,164123,1,139504.55,24618.45,0,0,0,0
Liberia,Montserrado,,1350092,1,1323090.16,27001.84,0,0,0,0
Liberia,Nimba,,557820,1,546663.6,11156.4,0,0,0,0
Liberia,River Gee,,80637,1,68541.45,12095.55,0,0,0,0
Liberia,Rivercess,,86335,1,83744.95,2590.05,0,0,0,0
Liberia,Sinoe,,123620,1,103840.8,19779.2,0,0,0,0
