adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Liberia,Bong,NA,452494,3,212672,135748,90499,13575,0,104074,3,3,NA,NA,13,67,20,3,31.8,28,31,8.8,0.4,3,NA,NA,NA,NA,NA,NA,46.7,14.9,31,7.3,3,23.4,27.2,49.4,3
Liberia,Bomi,NA,113907,3,51258,22781,29616,10252,0,39867,3,2,NA,NA,19,39,42,3,42.8,28.8,14,8.9,5.5,3,NA,NA,NA,NA,NA,NA,73.4,7.4,3.7,15.5,2,49.1,25.1,25.8,3
Liberia,Gbarpolu,NA,112862,2,75618,22572,11286,3386,0,14672,2,2,NA,NA,7,26,67,2,53.2,29.8,11.3,3.6,2,2,NA,NA,NA,NA,NA,NA,75,6.4,3.2,15.3,2,63.7,23.4,12.9,2
Liberia,Grand Bassa,NA,300966,2,153493,99319,45145,3010,0,48155,2,3,NA,NA,7,52,42,2,55.7,23.4,13.7,6.5,0.8,3,NA,NA,NA,NA,NA,NA,47.6,13.3,22.2,16.9,3,50,19.4,30.6,3
Liberia,Grand Cape Mount,NA,172428,2,124148,22416,17243,8621,0,25864,3,3,NA,NA,8,36,56,2,36.2,32.3,21.2,6.5,3.9,3,NA,NA,NA,NA,NA,NA,71.9,12.7,6.2,9.2,2,46.9,26.9,26.2,3
Liberia,Grand Gedeh,NA,170338,3,68135,61322,34068,6814,0,40881,3,3,NA,NA,14,72,14,3,15.1,15.9,34.1,14.2,18.8,4,NA,NA,NA,NA,NA,NA,61.7,18,12.6,7.7,3,33,19.5,47.5,3
Liberia,Grand Kru,NA,79422,2,36534,31769,9531,1588,0,11119,3,3,NA,NA,22,51,27,4,27.2,22.6,33.5,14.8,2,3,NA,NA,NA,NA,NA,NA,51.8,8.6,9.7,30,4,30,21,49,3
Liberia,Lofa,NA,376207,2,289679,75241,11286,0,0,11286,2,3,NA,NA,13,58,30,3,41,27.6,24.3,6.7,0.4,3,NA,NA,NA,NA,NA,NA,59,14.9,20.1,6,3,30.6,30.6,38.8,3
Liberia,Margibi,NA,285291,2,176880,85587,22823,0,0,22823,3,3,NA,NA,33,51,16,4,17.6,19.2,42.5,6.9,3.8,3,NA,NA,NA,NA,NA,NA,53.6,24.5,7.7,14.2,3,39.6,17.3,43.1,3
Liberia,Maryland,NA,184969,2,131328,42543,9248,1850,0,11098,2,2,NA,NA,65,26,9,4,10.4,17.3,44.2,21.5,6.5,4,NA,NA,NA,NA,NA,NA,59.6,4.6,13.8,21.9,4,33.5,20.4,46.2,3
Liberia,Montserrado,Montserrado Rural,151528,3,72733,45458,25760,7576,0,33336,3,3,NA,NA,16,57,27,3,44.8,25.9,21.2,5.8,2.3,3,NA,NA,NA,NA,NA,NA,45.6,14.7,30.5,9.3,3,29.7,22.4,47.9,3
Liberia,Montserrado,Montserrado Urban,1361752,3,612788,476613,245115,27235,0,272350,3,3,NA,NA,23,44,33,4,27.8,25.1,34.8,8.9,3.5,3,NA,NA,NA,NA,NA,NA,53.7,25.9,10,10.4,3,51.4,18.5,30.1,3
Liberia,Nimba,NA,625967,2,363061,187790,75116,0,0,75116,2,2,NA,NA,46,39,15,4,16.5,21.9,36.2,21.9,3.5,4,NA,NA,NA,NA,NA,NA,45.8,27.3,11.2,15.8,3,27.7,26.9,35.4,3
Liberia,River Cess,NA,97187,3,45678,27212,18466,5831,0,24297,3,3,NA,NA,10,47,43,2,53.5,24.2,16.5,4.2,1.5,3,NA,NA,NA,NA,NA,NA,70,9.2,13.8,6.9,3,62.3,16.9,20.8,3
Liberia,River Gee,NA,90917,3,43640,27275,16365,3637,0,20002,3,3,NA,NA,29,62,10,4,8.9,22.7,30.4,20,18.1,4,NA,NA,NA,NA,NA,NA,54.2,8.1,21.9,15.8,3,28.5,16.9,54.6,3
Liberia,Sinoe,NA,137943,2,84145,35865,11035,6897,0,17933,2,3,NA,NA,8,41,50,2,40.5,27.3,22.7,7.2,2.3,3,NA,NA,NA,NA,NA,NA,50.4,16.3,18.9,14.4,3,52.1,19.8,28.1,3
