adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Liberia,Bong,NA,452494,3,135748,180998,113124,22625,0,135748,3,3,NA,NA
Liberia,Bomi,NA,113907,3,44424,34172,26199,9113,0,35311,3,2,NA,NA
Liberia,Gbarpolu,NA,112862,2,66589,28216,14672,3386,0,18058,2,2,NA,NA
Liberia,Grand Bassa,NA,300966,3,156502,75242,63203,6019,0,69222,3,3,NA,NA
Liberia,Grand Cape Mount,NA,172428,3,101733,20691,37934,12070,0,50004,3,3,NA,NA
Liberia,Grand Gedeh,NA,170338,3,49398,68135,42585,10220,0,52805,3,3,NA,NA
Liberia,Grand Kru,NA,79422,2,13502,51624,11913,2383,0,14296,3,3,NA,NA
Liberia,Lofa,NA,376207,2,282155,86528,7524,0,0,7524,2,3,NA,NA
Liberia,Margibi,NA,285291,2,156910,99852,28529,0,0,28529,3,3,NA,NA
Liberia,Maryland,NA,184969,3,101733,46242,33294,3699,0,36994,2,3,NA,NA
Liberia,Montserrado,Montserrado Rural,151528,3,60611,53035,30306,7576,0,37882,3,3,NA,NA
Liberia,Montserrado,Montserrado Urban,1361752,3,476613,544701,272350,68088,0,340438,3,3,NA,NA
Liberia,Nimba,NA,625967,2,456956,125193,43818,0,0,43818,2,2,NA,NA
Liberia,River Cess,NA,97187,3,50537,29156,12634,4859,0,17494,3,3,NA,NA
Liberia,River Gee,NA,90917,3,40913,29093,17274,3637,0,20911,3,3,NA,NA
Liberia,Sinoe,NA,137943,3,70351,37245,20691,9656,0,30347,3,3,NA,NA
