adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,,100577,1,94542.38,6034.62,0,0,0,0
Liberia,Bong,,398730,1,378793.5,15949.2,3987.3,0,0,3987.3
Liberia,Gbarpolu,,99703,1,87738.64,11964.36,0,0,0,0
Liberia,Grand Bassa,,265069,1,254466.24,10602.76,0,0,0,0
Liberia,Grand Cape Mount,,151939,1,145861.44,6077.56,0,0,0,0
Liberia,Grand Gedeh,,149766,1,142277.7,7488.3,0,0,0,0
Liberia,Grand Kru,,69244,2,54010.32,14541.24,692.44,0,0,692.44
Liberia,Lofa,,331034,1,307861.62,19862.04,3310.34,0,0,3310.34
Liberia,Margibi,,250996,1,218366.52,30119.52,2509.96,0,0,2509.96
Liberia,Maryland,,166122,1,149509.8,16612.2,0,0,0,0
Liberia,Montserrado,,176260,1,165684.4,8813,1762.6,0,0,1762.6
Liberia,Nimba,,552426,1,524804.7,22097.04,5524.26,0,0,5524.26
Liberia,River Gee,,79857,2,63087.03,15172.83,1597.14,0,0,1597.14
Liberia,Rivercess,,85500,2,68400,16245,855,0,0,855
Liberia,Sinoe,,122424,2,97939.2,23260.56,1224.24,0,0,1224.24
