adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,,110533,2,49739.85,44213.2,13263.96,3315.99,0,16579.95
Liberia,Bong,,438197,2,245390.32,131459.1,43819.7,17527.88,0,61347.58
Liberia,Gbarpolu,,109573,1,93137.05,10957.3,5478.65,0,0,5478.65
Liberia,Grand Bassa,,291307,2,180610.34,72826.75,29130.7,8739.21,0,37869.91
Liberia,Grand Cape Mount,,166979,2,100187.4,50093.7,16697.9,0,0,16697.9
Liberia,Grand Gedeh,,164590,2,115213,36209.8,13167.2,0,0,13167.2
Liberia,Grand Kru,,76098,2,45658.8,22829.4,7609.8,0,0,7609.8
Liberia,Lofa,,363801,1,309230.85,36380.1,18190.05,0,0,18190.05
Liberia,Margibi,,275841,1,226189.62,35859.33,13792.05,0,0,13792.05
Liberia,Maryland,,178624,3,94670.72,44656,23221.12,16076.16,0,39297.28
Liberia,Montserrado,,1469380,2,881628,440814,146938,0,0,146938
Liberia,Nimba,,607107,2,394619.55,151776.75,60710.7,0,0,60710.7
Liberia,River Cess,,93964,1,81748.68,9396.4,2818.92,0,0,2818.92
Liberia,River Gee,,87761,1,75474.46,8776.1,3510.44,0,0,3510.44
Liberia,Sinoe,,134543,1,110325.26,17490.59,6727.15,0,0,6727.15
