adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Mali,Kayes,Kayes,685992,1,603672.96,82319.04,0,0,0,0
Mali,Kayes,Bafoulabe,312332,1,274852.16,37479.84,0,0,0,0
Mali,Kayes,Diema,283090,1,243457.4,39632.6,0,0,0,0
Mali,Kayes,Kenieba,263410,1,234434.9,28975.1,0,0,0,0
Mali,Kayes,Kita,578193,1,520373.7,57819.3,0,0,0,0
Mali,Kayes,Nioro,306021,1,257057.64,48963.36,0,0,0,0
Mali,Kayes,Yelimane,235962,1,195848.46,40113.54,0,0,0,0
Mali,Koulikoro,Koulikoro,281469,1,264580.86,16888.14,0,0,0,0
Mali,Koulikoro,Banamba,255267,1,229740.3,25526.7,0,0,0,0
Mali,Koulikoro,Dioila,653435,1,620763.25,32671.75,0,0,0,0
Mali,Koulikoro,Kangaba,134176,1,128808.96,5367.04,0,0,0,0
Mali,Koulikoro,Kati,1278642,1,1137991.38,127864.2,12786.42,0,0,12786.42
Mali,Koulikoro,Kolokani,310722,1,276542.58,31072.2,3107.22,0,0,3107.22
Mali,Koulikoro,Nara,323290,1,284495.2,35561.9,3232.9,0,0,3232.9
Mali,Siakasso,Sikasso,982415,1,874349.35,108065.65,0,0,0,0
Mali,Siakasso,Bougouni,612915,1,539365.2,73549.8,0,0,0,0
Mali,Siakasso,Kadiolo,325355,1,289565.95,35789.05,0,0,0,0
Mali,Siakasso,Kolondieba,269284,1,242355.6,26928.4,0,0,0,0
Mali,Siakasso,Koutiala,775861,1,674999.07,100861.93,0,0,0,0
Mali,Siakasso,Yanfolila,284328,1,244522.08,39805.92,0,0,0,0
Mali,Siakasso,Yorosso,282843,1,240416.55,42426.45,0,0,0,0
Mali,Segou,Segou,930297,1,818661.36,111635.64,0,0,0,0
Mali,Segou,Baroueli,271113,1,241290.57,29822.43,0,0,0,0
Mali,Segou,Bla,379111,1,333617.68,45493.32,0,0,0,0
Mali,Segou,Macina,315496,1,271326.56,41014.48,3154.96,0,0,3154.96
Mali,Segou,Niono,487618,1,409599.12,68266.52,9752.36,0,0,9752.36
Mali,Segou,San,445845,1,383426.7,62418.3,0,0,0,0
Mali,Segou,Tominian,295520,1,254147.2,41372.8,0,0,0,0
Mali,Mopti,Mopti,492970,1,438743.3,39437.6,14789.1,0,0,14789.1
Mali,Mopti,Bandiagara,418873,1,343475.86,58642.22,16754.92,0,0,16754.92
Mali,Mopti,Bankass,353822,1,290134.04,38920.42,24767.54,0,0,24767.54
Mali,Mopti,Djenne,278504,2,206092.96,50130.72,22280.32,0,0,22280.32
Mali,Mopti,Douentza,329567,1,270244.94,39548.04,19774.02,0,0,19774.02
Mali,Mopti,Koro,484527,2,276180.39,135667.56,67833.78,4845.27,0,72679.05
Mali,Mopti,Tenenkou,217716,2,148046.88,54429,15240.12,0,0,15240.12
Mali,Mopti,Youwarou,145020,1,129067.8,14502,1450.2,0,0,1450.2
Mali,Tombouctou,Tombouctou,170200,1,144670,22126,3404,0,0,3404
Mali,Tombouctou,Dire,146585,1,130460.65,14658.5,1465.85,0,0,1465.85
Mali,Tombouctou,Goundam,202282,2,149688.68,40456.4,12136.92,0,0,12136.92
Mali,Tombouctou,G.rharous,148419,2,97956.54,35620.56,14841.9,0,0,14841.9
Mali,Tombouctou,Niafunke,234514,1,208717.46,23451.4,2345.14,0,0,2345.14
Mali,Gao,Gao,320232,2,230567.04,76855.68,12809.28,0,0,12809.28
Mali,Gao,Ansongo,176406,2,130540.44,40573.38,5292.18,0,0,5292.18
Mali,Gao,Bourem,155560,2,96447.2,42001.2,17111.6,0,0,17111.6
Mali,Gao,Menaka,72802,3,28392.78,29120.8,13832.38,1456.04,0,15288.42
Mali,Kidal,Kidal,44958,2,32369.76,8991.6,3596.64,0,0,3596.64
Mali,Kidal,Abeibara,13832,2,8990.8,3458,1383.2,0,0,1383.2
Mali,Kidal,Tessalit,21434,2,15218.14,4501.14,1714.72,0,0,1714.72
Mali,Kidal,Tin-Essako,10777,2,7220.59,2478.71,1077.7,0,0,1077.7
Mali,Bamako,Commune 1,447658,1,398415.62,44765.8,4476.58,0,0,4476.58
Mali,Bamako,Commune 2,213024,1,189591.36,21302.4,2130.24,0,0,2130.24
Mali,Bamako,Commune 3,171994,1,153074.66,17199.4,1719.94,0,0,1719.94
Mali,Bamako,Commune 4,407074,1,362295.86,40707.4,4070.74,0,0,4070.74
Mali,Bamako,Commune 5,552432,1,491664.48,55243.2,5524.32,0,0,5524.32
Mali,Bamako,Commune 6,627819,1,558758.91,62781.9,6278.19,0,0,6278.19
