adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase,adm2
Mali,Bamako,Commune Iii,186968,1,157053,28045,1870,0,0,1870,1,1,2,NA,0.4,0.8,98.8,1,99.1,0.9,0,0,0,1,NA,NA,NA,NA,NA,NA,79.7,4.1,14.9,1.3,2,85.5,13.6,0.9,1,Commune Iii
Mali,Bamako,Commune Ii,231570,1,206097,23157,2316,0,0,2316,1,1,2,NA,0.7,2.1,97.2,1,100,0,0,0,0,1,NA,NA,NA,NA,NA,NA,95,2.3,1.2,1.5,1,96.9,3.1,0,1,Commune Ii
Mali,Bamako,Commune Iv,442515,1,376138,57527,8850,0,0,8850,1,2,2,NA,0,2.3,97.7,1,99.3,0.7,0,0,0,1,NA,NA,NA,NA,NA,NA,75.5,3.7,8.3,12.5,3,89.5,7.5,3,1,Commune Iv
Mali,Bamako,Commune I,486632,1,408771,68128,9733,0,0,9733,1,1,2,NA,0,4.3,95.7,1,100,0,0,0,0,1,NA,NA,NA,NA,NA,NA,80.3,17.2,2.2,0.3,1,99.2,0.8,0,1,Commune I
Mali,Bamako,Commune Vi,682479,1,586932,88722,6825,0,0,6825,1,1,2,NA,4.1,15.4,80.5,1,100,0,0,0,0,1,NA,NA,NA,NA,NA,NA,86.8,9.6,2.1,1.5,1,92.9,4.5,2.6,1,Commune Vi
Mali,Bamako,Commune V,600528,1,534470,60053,6005,0,0,6005,1,1,2,NA,0,1.8,98.2,1,99.3,0.7,0,0,0,1,NA,NA,NA,NA,NA,NA,88.4,4.8,4,2.8,1,92.2,5.2,2.5,1,Commune V
Mali,Gao,Ansongo,191745,3,86285,57524,44101,3835,0,47936,2,4,3,NA,1.1,9.9,89,1,91.3,8.7,0,0,0,1,NA,NA,NA,NA,NA,NA,50.8,8.7,19.7,20.7,4,67.9,23.3,8.8,2,Ansongo
Mali,Gao,Bourem,169086,3,77780,50726,38890,1691,0,40581,2,4,3,NA,9.8,29.8,60.4,2,61.8,18.2,15.4,3.9,0.6,2,NA,NA,NA,NA,NA,NA,37.8,13,28.4,20.8,4,17.2,65.7,17.1,2,Bourem
Mali,Gao,Gao,348075,2,180999,121826,45250,0,0,45250,1,4,3,NA,4.9,16.2,78.8,1,90.6,7.7,1.7,0,0,1,NA,NA,NA,NA,NA,NA,26.4,33.3,12.1,28.2,4,24.1,61.8,14.1,2,Gao
Mali,Gao,Menaka,79132,3,28488,31653,16618,2374,0,18992,3,3,3,NA,33.5,16.8,49.7,4,58.3,8.3,20.7,12.8,0,3,NA,NA,NA,NA,NA,NA,70.5,11.6,6.1,11.8,2,73.4,14.4,12.2,2,Menaka
Mali,Kayes,Bafoulabe,339519,1,285196,44137,10186,0,0,10186,1,NA,2,NA,0.7,13,86.3,1,96.1,3.3,0.6,0,0,1,NA,NA,NA,NA,NA,NA,81.6,10.6,4.8,2.9,1,91,3.3,5.7,1,Bafoulabe
Mali,Kayes,Diema,307732,1,264650,36928,6155,0,0,6155,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diema
Mali,Kayes,Kayes,745704,1,626391,111856,7457,0,0,7457,1,1,2,NA,3.9,16.9,79.2,1,80.8,15.4,2.5,1.3,0,1,NA,NA,NA,NA,NA,NA,86.8,9.2,1.2,2.8,1,93.2,5.7,1.1,1,Kayes
Mali,Kayes,Kenieba,286339,1,240525,42951,2863,0,0,2863,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenieba
Mali,Kayes,Kita,628523,1,540530,75423,12570,0,0,12570,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kita
Mali,Kayes,Nioro,332659,1,272780,43246,16633,0,0,16633,1,2,2,NA,11.2,8.3,80.5,2,78.7,8.9,11.2,1.2,0,2,NA,NA,NA,NA,NA,NA,76.6,2.9,13.1,7.3,3,83.9,16.1,0,1,Nioro
Mali,Kayes,Yelimane,256502,1,228287,25650,2565,0,0,2565,1,1,2,NA,0,18.8,81.2,1,97.6,2.4,0,0,0,1,NA,NA,NA,NA,NA,NA,95.7,4,0,0.4,1,98.4,1.6,0,1,Yelimane
Mali,Kidal,Abeibara,14961,2,9276,3740,1945,0,0,1945,2,3,2,NA,1.9,1.8,96.3,1,97.5,1.9,0.6,0,0,1,NA,NA,NA,NA,NA,NA,53.8,17.2,1.9,27,4,87.5,12.5,0,1,Abeibara
