adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Mali,Bamako,Commune Iii,186968,1,153314,29915,3739,0,0,3739,1,1,2,NA
Mali,Bamako,Commune Ii,231570,1,199150,30104,2316,0,0,2316,1,1,2,NA
Mali,Bamako,Commune Iv,442515,1,362862,66377,13275,0,0,13275,1,2,3,NA
Mali,Bamako,Commune I,486632,1,394172,77861,14599,0,0,14599,1,1,2,NA
Mali,Bamako,Commune Vi,682479,1,573282,102372,6825,0,0,6825,1,1,2,NA
Mali,Bamako,Commune V,600528,1,522459,72063,6005,0,0,6005,1,1,2,NA
Mali,Gao,Ansongo,191745,3,61358,76698,49854,3835,0,53689,2,4,3,NA
Mali,Gao,Bourem,169086,3,52417,67634,45653,3382,0,49035,3,4,3,NA
Mali,Gao,Gao,348075,3,104423,156634,83538,3481,0,87019,2,4,3,NA
Mali,Gao,Menaka,79132,3,16618,37983,22157,2374,0,24531,3,3,3,NA
Mali,Kayes,Bafoulabe,339519,1,275010,50928,13581,0,0,13581,1,NA,3,NA
Mali,Kayes,Diema,307732,1,252340,46160,9232,0,0,9232,1,1,3,NA
Mali,Kayes,Kayes,745704,2,581649,149141,14914,0,0,14914,1,2,3,NA
Mali,Kayes,Kenieba,286339,1,231935,48678,5727,0,0,5727,1,NA,3,NA
Mali,Kayes,Kita,628523,1,515389,94278,18856,0,0,18856,1,NA,3,NA
Mali,Kayes,Nioro,332659,2,232861,76512,23286,0,0,23286,2,2,3,NA
Mali,Kayes,Yelimane,256502,1,215462,35910,5130,0,0,5130,1,1,3,NA
Mali,Kidal,Abeibara,14961,3,6284,4937,3591,150,0,3740,2,3,3,NA
Mali,Kidal,Kidal,48630,2,37445,9726,1459,0,0,1459,1,3,3,NA
Mali,Kidal,Tessalit,23185,2,17621,4637,927,0,0,927,1,2,3,NA
Mali,Kidal,Tin-Essako,11657,2,8043,2798,816,0,0,816,1,2,3,NA
Mali,Koulikoro,Banamba,277555,1,224820,41633,11102,0,0,11102,1,NA,3,NA
Mali,Koulikoro,Dioila,710488,1,575495,120783,14210,0,0,14210,1,NA,3,NA
Mali,Koulikoro,Kangaba,145891,1,121090,21884,2918,0,0,2918,1,NA,3,NA
Mali,Koulikoro,Kati,1390284,1,1126130,236348,27806,0,0,27806,1,NA,3,NA
Mali,Koulikoro,Kolokani,337852,1,283796,47299,6757,0,0,6757,1,NA,3,NA
Mali,Koulikoro,Koulikoro,306045,1,257078,39786,9181,0,0,9181,1,NA,3,NA
Mali,Koulikoro,Nara,351517,2,249577,77334,24606,0,0,24606,1,2,3,NA
Mali,Mopti,Bandiagara,455492,3,136648,182197,122983,13665,0,136648,3,4,3,NA
Mali,Mopti,Bankass,384753,3,119273,153901,100036,11543,0,111578,3,3,3,NA
Mali,Mopti,Djenne,302851,1,245309,45428,12114,0,0,12114,1,1,3,NA
Mali,Mopti,Douentza,358378,3,146935,129016,78843,3584,0,82427,NA,NA,NA,NA
Mali,Mopti,Koro_accessible,269776,3,78235,118701,67444,5396,0,72840,2,3,3,NA
Mali,Mopti,Koro_limitedaccess,257109,3,46280,123412,77133,10284,0,87417,3,2,3,NA
Mali,Mopti,Mopti,536066,1,439574,64328,32164,0,0,32164,1,1,3,NA
Mali,Mopti,Tenenkou,236749,2,137314,71025,28410,0,0,28410,2,2,3,NA
Mali,Mopti,Youwarou,157698,2,115120,31540,11039,0,0,11039,1,2,3,NA
Mali,Segou,Baroueli,294790,1,256467,35375,2948,0,0,2948,1,NA,3,NA
Mali,Segou,Bla,412220,1,358631,49466,4122,0,0,4122,1,NA,3,NA
Mali,Segou,Macina,343050,2,246996,75471,20583,0,0,20583,1,2,3,NA
Mali,Segou,Niono,530204,2,392351,111343,26510,0,0,26510,1,2,3,NA
Mali,Segou,San,484782,1,407217,67869,9696,0,0,9696,1,NA,3,NA
Mali,Segou,Segou,1011544,1,869928,121385,20231,0,0,20231,1,NA,3,NA
Mali,Segou,Tominian,321329,1,263490,48199,9640,0,0,9640,1,1,3,NA
Mali,Sikasso,Bougouni,666326,1,566377,93286,6663,0,0,6663,1,NA,3,NA
Mali,Sikasso,Kadiolo,353707,1,304188,45982,3537,0,0,3537,1,NA,3,NA
Mali,Sikasso,Kolondieba,292750,1,254693,35130,2928,0,0,2928,1,NA,3,NA
Mali,Sikasso,Koutiala,843472,1,716951,118086,8435,0,0,8435,1,NA,3,NA
Mali,Sikasso,Sikasso,1068026,1,907822,149524,10680,0,0,10680,1,NA,3,NA
Mali,Sikasso,Yanfolila,309105,1,262739,43275,3091,0,0,3091,1,NA,3,NA
Mali,Sikasso,Yorosso,307491,2,230618,64573,12300,0,0,12300,1,2,3,NA
Mali,Tombouctou,Dire,159351,1,129074,23903,6374,0,0,6374,1,1,3,NA
Mali,Tombouctou,Goundam,219900,3,76965,87960,52776,2199,0,54975,3,3,3,NA
Mali,Tombouctou,Gourma Rharous,161345,3,67765,56471,35496,1613,0,37109,2,3,3,NA
Mali,Tombouctou,Niafunke,254940,2,168260,63735,22945,0,0,22945,1,3,3,NA
Mali,Tombouctou,Taoudenit,58748,1,47586,9400,1762,0,0,1762,1,1,3,NA
Mali,Tombouctou,Tombouctou,126276,2,75766,37883,12628,0,0,12628,2,2,3,NA
