adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Mali,Kayes,Kayes,725395,2,544046.25,159586.9,21761.85,0,0,21761.85
Mali,Kayes,Bafoulabe,330272,1,270823.04,49540.8,9908.16,0,0,9908.16
Mali,Kayes,Diema,299350,2,200564.5,74837.5,23948,0,0,23948
Mali,Kayes,Kenieba,278540,1,236759,41781,0,0,0,0
Mali,Kayes,Kita,611404,1,538035.52,73368.48,0,0,0,0
Mali,Kayes,Nioro,323599,3,190923.41,64719.8,55011.83,12943.96,0,67955.79
Mali,Kayes,Yelimane,249516,2,189632.16,49903.2,9980.64,0,0,9980.64
Mali,Koulikoro,Koulikoro,297709,1,247098.47,41679.26,8931.27,0,0,8931.27
Mali,Koulikoro,Banamba,269995,1,229495.75,32399.4,8099.85,0,0,8099.85
Mali,Koulikoro,Dioila,691137,1,608200.56,69113.7,13822.74,0,0,13822.74
Mali,Koulikoro,Kangaba,141918,1,119211.12,18449.34,4257.54,0,0,4257.54
Mali,Koulikoro,Kati,1352419,1,1122507.77,202862.85,27048.38,0,0,27048.38
Mali,Koulikoro,Kolokani,328651,1,272780.33,49297.65,6573.02,0,0,6573.02
Mali,Koulikoro,Nara,341944,2,253038.56,64969.36,23936.08,0,0,23936.08
Mali,Siakasso,Sikasso,1038937,1,914264.56,124672.44,0,0,0,0
Mali,Siakasso,Bougouni,648178,1,576878.42,64817.8,6481.78,0,0,6481.78
Mali,Siakasso,Kadiolo,344074,1,316548.08,27525.92,0,0,0,0
Mali,Siakasso,Kolondieba,284777,1,247755.99,37021.01,0,0,0,0
Mali,Siakasso,Koutiala,820500,1,697425,114870,8205,0,0,8205
Mali,Siakasso,Yanfolila,300686,1,255583.1,45102.9,0,0,0,0
Mali,Siakasso,Yorosso,299116,1,269204.4,29911.6,0,0,0,0
Mali,Segou,Segou,983994,1,816715.02,137759.16,19679.88,9839.94,0,29519.82
Mali,Segou,Baroueli,286761,1,238011.63,45881.76,2867.61,0,0,2867.61
Mali,Segou,Bla,400993,1,336834.12,60148.95,4009.93,0,0,4009.93
Mali,Segou,Macina,333707,1,273639.74,50056.05,10011.21,0,0,10011.21
Mali,Segou,Niono,515764,1,428084.12,77364.6,10315.28,0,0,10315.28
Mali,Segou,San,471579,1,386694.78,75452.64,9431.58,0,0,9431.58
Mali,Segou,Tominian,312577,1,256313.14,53138.09,3125.77,0,0,3125.77
Mali,Mopti,Mopti,521466,2,370240.86,114722.52,36502.62,0,0,36502.62
Mali,Mopti,Bandiagara,443086,3,190526.98,159510.96,84186.34,8861.72,0,93048.06
Mali,Mopti,Bankass,374274,2,250763.58,82340.28,37427.4,3742.74,0,41170.14
Mali,Mopti,Djenne,294602,2,194437.32,73650.5,23568.16,2946.02,0,26514.18
Mali,Mopti,Douentza,348617,3,128988.29,139446.8,73209.57,6972.34,0,80181.91
Mali,Mopti,Koro,512535,3,164011.2,225515.4,107632.35,15376.05,0,123008.4
Mali,Mopti,Tenenkou,230301,3,112847.49,69090.3,43757.19,4606.02,0,48363.21
Mali,Mopti,Youwarou,153403,2,102780.01,42952.84,7670.15,0,0,7670.15
Mali,Tombouctou,Tombouctou,179985,3,88192.65,53995.5,35997,1799.85,0,37796.85
Mali,Tombouctou,Dire,155011,2,120908.58,31002.2,3100.22,0,0,3100.22
Mali,Tombouctou,Goundam,213911,2,126207.49,64173.3,21391.1,2139.11,0,23530.21
Mali,Tombouctou,G.rharous,156951,3,45515.79,50224.32,45515.79,15695.1,0,61210.89
Mali,Tombouctou,Niafunke,247996,2,151277.56,74398.8,22319.64,0,0,22319.64
Mali,Gao,Gao,338595,3,152367.75,115122.3,64333.05,6771.9,0,71104.95
Mali,Gao,Ansongo,186522,3,82069.68,63417.48,33573.96,7460.88,0,41034.84
Mali,Gao,Bourem,164481,3,55923.54,60857.97,39475.44,8224.05,0,47699.49
Mali,Gao,Menaka,76976,3,16164.96,30790.4,25402.08,4618.56,0,30020.64
Mali,Kidal,Kidal,47306,2,35952.56,9934.26,1419.18,0,0,1419.18
Mali,Kidal,Abeibara,14554,2,10624.42,3201.88,727.7,0,0,727.7
Mali,Kidal,Tessalit,22553,2,16914.75,4510.6,1127.65,0,0,1127.65
Mali,Kidal,Tin-Essako,11340,2,8618.4,2268,453.6,0,0,453.6
Mali,Bamako,Commune I,473378,1,407105.08,61539.14,4733.78,0,0,4733.78
Mali,Bamako,Commune Ii,225263,1,191473.55,31536.82,2252.63,0,0,2252.63
Mali,Bamako,Commune Iii,181876,1,150957.08,29100.16,1818.76,0,0,1818.76
Mali,Bamako,Commune Iv,430463,1,374502.81,55960.19,0,0,0,0
Mali,Bamako,Commune V,584172,1,490704.48,93467.52,0,0,0,0
Mali,Bamako,Commune Vi,663891,1,564307.35,99583.65,0,0,0,0
