adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Mali,Bamako,Commune Iv,442515,1,371712.6,70802.4,0,0,0,0
Mali,Bamako,Commune I,486632,1,413637.2,72994.8,0,0,0,0
Mali,Bamako,Commune Vi,682479,1,573282.36,109196.64,0,0,0,0
Mali,Bamako,Commune V,600528,1,504443.52,96084.48,0,0,0,0
Mali,Bamako,Commune Iii,186968,1,157053.12,29914.88,0,0,0,0
Mali,Gao,Bourem,169086,2,109905.9,42271.5,13526.88,3381.72,0,16908.6
Mali,Gao,Gao,343075,1,281321.5,48030.5,13723,0,0,13723
Mali,Gao,Menaka,79132,1,64096.92,11078.48,3956.6,0,0,3956.6
Mali,Gao,Ansongo,191745,2,128469.15,47936.25,15339.6,0,0,15339.6
Mali,Kayes,Diema,307732,1,249262.92,49237.12,9231.96,0,0,9231.96
Mali,Kayes,Kayes,745704,1,604020.24,134226.72,7457.04,0,0,7457.04
Mali,Kayes,Kita,628523,1,527959.32,81707.99,18855.69,0,0,18855.69
Mali,Kayes,Yelimane,256502,1,207766.62,46170.36,2565.02,0,0,2565.02
Mali,Kayes,Bafoulabe,339519,1,278405.58,50927.85,10185.57,0,0,10185.57
Mali,Kayes,Kenieba,286339,1,240524.76,42950.85,2863.39,0,0,2863.39
Mali,Kayes,Nioro,332659,1,269453.79,53225.44,9979.77,0,0,9979.77
Mali,Kidal,Tessalit,23185,1,19475.4,3477.75,231.85,0,0,231.85
Mali,Kidal,Tin Essako,11657,1,9791.88,1748.55,116.57,0,0,116.57
Mali,Kidal,Kidal,48630,1,40849.2,7294.5,486.3,0,0,486.3
Mali,Kidal,Abeibara,14961,2,11669.58,2842.59,448.83,0,0,448.83
Mali,Koulikoro,Dioila,710488,1,625229.44,85258.56,0,0,0,0
Mali,Koulikoro,Koulikoro,306045,1,278500.95,21423.15,6120.9,0,0,6120.9
Mali,Koulikoro,Banamba,277555,1,244248.4,27755.5,5551.1,0,0,5551.1
Mali,Koulikoro,Kati,1390284,1,1181741.4,194639.76,13902.84,0,0,13902.84
Mali,Koulikoro,Kolokani,337852,1,297309.76,33785.2,6757.04,0,0,6757.04
Mali,Koulikoro,Nara,351517,1,288243.94,42182.04,21091.02,0,0,21091.02
Mali,Koulikoro,Kangaba,145891,1,128384.08,14589.1,2917.82,0,0,2917.82
Mali,Mopti,Bandiagara,455492,1,378058.36,54659.04,22774.6,0,0,22774.6
Mali,Mopti,Douentza,358378,2,172021.44,129016.08,50172.92,7167.56,0,57340.48
Mali,Mopti,Tenenkou,236749,2,163356.81,59187.25,14204.94,0,0,14204.94
Mali,Mopti,Mopti,536066,1,498541.38,26803.3,10721.32,0,0,10721.32
Mali,Mopti,Koro,526885,1,426776.85,68495.05,31613.1,0,0,31613.1
Mali,Mopti,Djenne,302851,1,257423.35,36342.12,9085.53,0,0,9085.53
Mali,Mopti,Youwarou,157698,1,138774.24,15769.8,3153.96,0,0,3153.96
Mali,Mopti,Bankass,384753,1,311649.93,50017.89,23085.18,0,0,23085.18
Mali,Segou,Baroueli,294790,1,280050.5,14739.5,0,0,0,0
Mali,Segou,Bla,412220,1,391609,20611,0,0,0,0
Mali,Segou,Tominian,321329,1,295622.68,25706.32,0,0,0,0
Mali,Segou,Segou,1011544,1,920505.04,80923.52,10115.44,0,0,10115.44
Mali,Segou,Niono,530204,1,455975.44,53020.4,21208.16,0,0,21208.16
Mali,Segou,Macina,343050,1,295023,37735.5,10291.5,0,0,10291.5
Mali,Segou,San,484782,1,441151.62,38782.56,4847.82,0,0,4847.82
Mali,Sikasso,Kadiolo,353707,1,318336.3,35370.7,0,0,0,0
Mali,Sikasso,Yorosso,307491,1,279816.81,27674.19,0,0,0,0
Mali,Sikasso,Sikasso,1068026,1,961223.4,106802.6,0,0,0,0
Mali,Sikasso,Yanfolila,309105,1,275103.45,34001.55,0,0,0,0
Mali,Sikasso,Koutiala,843472,1,750690.08,92781.92,0,0,0,0
Mali,Sikasso,Kolondieba,292750,1,263475,29275,0,0,0,0
Mali,Sikasso,Bougouni,666326,1,586366.88,79959.12,0,0,0,0
Mali,Tombouctou,Dire,159351,1,133854.84,22309.14,3187.02,0,0,3187.02
Mali,Tombouctou,Gourma Rharous,161345,2,96807,40336.25,20974.85,3226.9,0,24201.75
Mali,Tombouctou,Tombouctou,185024,1,155420.16,24053.12,5550.72,0,0,5550.72
Mali,Tombouctou,Niafunke,254940,1,214149.6,30592.8,10197.6,0,0,10197.6
Mali,Tombouctou,Goundam,219900,1,186915,26388,6597,0,0,6597
