adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Mali,Bamako,Commune Iii,192152,1,172936.523,19215.16922,0,0,0,0,1,1,2,NA,1,1.7,97.2,1,97,2.3,0.7,0,0,1,96.7,2,1.2,0.2,0,1,96.8,1.2,1.3,0.7,1,96.4,3.4,0.3,1
Mali,Bamako,Commune Ii,237991,1,209431.6947,28558.86746,0,0,0,0,1,1,2,NA,0,1.8,98.2,1,96.8,2.5,0.7,0,0,1,98.6,0.7,0.7,0,0,1,94.2,3.3,2.5,0,1,95.6,3.3,1.1,1
Mali,Bamako,Commune Iv,454784,1,395661.729,59121.86755,0,0,0,0,1,1,2,NA,4.3,25.1,70.6,1,96.1,3.5,0.4,0,0,1,95.5,3.7,0.9,0,0,1,89.5,6.5,4,0,1,95.4,3.9,0.7,1
Mali,Bamako,Commune I,500124,1,440108.826,60014.83991,0,0,0,0,1,1,2,NA,1.7,4.2,94.1,1,100,0,0,0,0,1,99,0,1,0,0,1,89,7.4,3.4,0.2,1,97,2.6,0.4,1
Mali,Bamako,Commune Vi,701400,1,617232.1072,84168.01462,0,0,0,0,1,1,2,NA,2.8,8.7,88.6,1,93.2,5.1,1.7,0,0,1,96.4,3.2,0.3,0,0,1,86.5,6.2,7.2,0.2,1,81.6,17.6,0.8,1
Mali,Bamako,Commune V,617178,1,524600.8818,67889.52588,24687.10032,0,0,24687.10032,1,2,2,NA,0,0.1,99.8,1,100,0,0,0,0,1,96.1,3.6,0.3,0,0,1,68.5,1.7,28.9,0.9,3,72,26.7,1.3,2
Mali,Gao,Ansongo,197061,3,78824.4,74883.18,43353.42,0,0,43353.42,3,3,2,NA,32.5,29.4,38.1,4,54.2,35.4,7.4,2.8,0.4,2,78.6,13.5,7.1,0,0.7,2,38.2,33.6,15.8,12.4,3,34.1,61.3,4.6,2
Mali,Gao,Bourem,173774,2,104264.4,45181.24,24328.36,0,0,24328.36,2,2,2,NA,28.2,28.1,43.7,4,69.9,25.4,4,0.6,0,2,64.8,23.3,12,0,0,2,57.9,27.4,5.4,9.4,2,53.6,40.4,6,2
Mali,Gao,Gao,357325,2,246554.25,71465,39305.75,0,0,39305.75,1,2,3,NA,2.9,17,80.2,1,94.3,5.4,0.2,0,0,1,83.6,11.3,4.2,0.9,0,1,67.4,16.1,11.3,5.2,2,56.7,31.6,11.7,2
Mali,Gao,Menaka,81325,3,23584.25,28463.75,24397.5,4879.5,0,29277,3,3,4,NA,12.3,18.1,69.6,3,70.6,13.5,3.4,1.1,11.4,2,49.7,2.8,47,0.3,0.1,3,65,12.8,10,12.2,3,50.2,19.6,30.1,3
Mali,Kayes,Bafoulabe,348932,1,300081.3978,41871.82295,6978.637159,0,0,6978.637159,1,1,2,NA,1.4,18.5,80,1,93.1,5.9,1,0,0,1,98.3,0.3,1.3,0,0,1,79.8,12.5,3.6,4.1,2,56.1,42.5,1.4,2
Mali,Kayes,Diema,316263,1,262498.6319,41114.24356,12650.53648,0,0,12650.53648,1,2,3,NA,4.8,21.5,73.7,1,83.8,14,0.5,1.5,0.2,1,92.3,6.3,1.4,0,0,1,53.3,37.9,8.1,0.7,2,60.2,37.3,2.5,2
Mali,Kayes,Kayes,766379,1,674413.1629,76637.85942,15327.57188,0,0,15327.57188,1,1,2,NA,0,0.7,99.3,1,99.8,0.2,0,0,0,1,88.5,8.6,2.9,0,0,1,96.3,1.7,2,0,1,98,2,0,1
Mali,Kayes,Kenieba,294277,1,247192.9834,41198.83057,5885.547224,0,0,5885.547224,1,1,2,NA,4.9,23.9,71.2,1,76.3,17.5,5.7,0.5,0,2,99.8,0.2,0,0,0,1,93.2,5,0.6,1.2,1,99,0.5,0.5,1
Mali,Kayes,Kita,645948,1,542596.439,83973.25841,19378.44425,0,0,19378.44425,1,1,1,NA,2.3,10.4,87.4,1,93.4,3.8,1.8,0.3,0.7,1,96.7,2.3,1,0,0,1,70.1,23.3,5.9,0.7,2,96,4,0,1
