adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Mali,Bamako,Commune Iii,192152,1,167171.9722,24979.71999,0,0,0,0,1,1,2,NA
Mali,Bamako,Commune Ii,237991,1,204671.8835,33318.67871,0,0,0,0,1,1,2,NA
Mali,Bamako,Commune Iv,454784,1,382018.2211,72765.37544,0,0,0,0,1,1,2,NA
Mali,Bamako,Commune I,500124,1,430106.3527,70017.31323,0,0,0,0,1,1,2,NA
Mali,Bamako,Commune Vi,701400,1,610218.106,91182.01584,0,0,0,0,1,1,2,NA
Mali,Bamako,Commune V,617178,1,506085.5565,80233.07604,30858.8754,0,0,30858.8754,1,2,2,NA
Mali,Gao,Ansongo,197061,3,61088.91,82765.62,53206.47,0,0,53206.47,3,3,2,NA
Mali,Gao,Bourem,173774,3,74722.82,52132.2,46918.98,0,0,46918.98,3,3,3,NA
Mali,Gao,Gao,357325,3,182235.75,89331.25,78611.5,7146.5,0,85758,2,3,3,NA
Mali,Gao,Menaka,81325,3,9759,36596.25,28463.75,6506,0,34969.75,3,3,4,NA
Mali,Kayes,Bafoulabe,348932,1,282634.8049,55829.09727,10467.95574,0,0,10467.95574,1,1,3,NA
Mali,Kayes,Diema,316263,2,215059.1202,79065.853,22138.43884,0,0,22138.43884,2,2,3,NA
Mali,Kayes,Kayes,766379,1,628430.4473,114956.7891,22991.35783,0,0,22991.35783,1,1,2,NA
Mali,Kayes,Kenieba,294277,1,238364.6626,47084.37779,8828.320835,0,0,8828.320835,1,1,3,NA
Mali,Kayes,Kita,645948,1,523217.9947,103351.7027,19378.44425,0,0,19378.44425,1,1,1,NA
Mali,Kayes,Nioro,341881,3,143590.2079,119658.5065,78632.73287,0,0,78632.73287,2,3,4,NA
Mali,Kayes,Yelimane,263613,1,218798.8545,36905.83088,7908.392331,0,0,7908.392331,1,2,3,NA
Mali,Kidal,Abeibara,15376,2,9379.480454,4305.335291,1691.381721,0,0,1691.381721,2,2,2,NA
Mali,Kidal,Kidal,49979,2,37983.74772,8996.150776,2998.716925,0,0,2998.716925,2,2,1,NA
Mali,Kidal,Tessalit,23827,2,16678.9,5241.94,1906.16,0,0,1906.16,2,2,2,NA
Mali,Kidal,Tin-Essako,11980,2,7188.103501,3114.84485,1677.22415,0,0,1677.22415,2,2,2,NA
Mali,Koulikoro,Banamba,285250,1,231052.2323,42787.45042,11409.98678,0,0,11409.98678,1,1,3,NA
Mali,Koulikoro,Dioila,730186,1,627959.6931,94924.13965,7301.856896,0,0,7301.856896,1,1,2,NA
Mali,Koulikoro,Kangaba,149936,1,130444.1863,17992.30155,1499.358463,0,0,1499.358463,1,1,2,NA
Mali,Koulikoro,Kati,1428829,1,1200216.333,200036.0555,28576.57936,0,0,28576.57936,1,1,2,NA
Mali,Koulikoro,Kolokani,347219,1,281247.3182,52082.8367,13888.75645,0,0,13888.75645,1,1,3,NA
Mali,Koulikoro,Koulikoro,314530,1,261059.5328,47179.43363,6290.591151,0,0,6290.591151,1,1,3,NA
