adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,Brakna,,329140,3,161278.6,98742,65828,3291.4,0,69119.4
Mauritania,Guidimakha,,281449,3,129466.54,87249.19,61918.78,2814.49,0,64733.27
Mauritania,Tagant,,85334,3,43520.34,23893.52,17066.8,853.34,0,17920.14
Mauritania,Adrar,,62658,2,46993.5,13784.76,1879.74,0,0,1879.74
Mauritania,Dakhlet-Nouadhibou,,123779,2,97785.41,24755.8,1237.79,0,0,1237.79
Mauritania,Tiris-Zemmour,,53261,2,41010.97,11184.81,1065.22,0,0,1065.22
Mauritania,Inchiri,,19631,2,15312.18,4122.51,196.31,0,0,196.31
Mauritania,Gorgol,,338682,3,203209.2,67736.4,64349.58,3386.82,0,67736.4
Mauritania,Nouakchott,,958399,2,757135.21,191679.8,9583.99,0,0,9583.99
Mauritania,Trarza,,272773,1,231857.05,40915.95,0,0,0,0
Mauritania,Hodh Ech Chargi,,454238,3,249830.9,113559.5,86305.22,4542.38,0,90847.6
Mauritania,Hodh El Gharbi,,310205,3,167510.7,77551.25,62041,3102.05,0,65143.05
Mauritania,Assaba,,343733,3,171866.5,96245.24,72183.93,3437.33,0,75621.26
