adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Mauritania,Adrar,Aoujeft,12635,2,9476,2527,632,0,0,632,2,3,2,NA
Mauritania,Adrar,Atar,37794,2,29102,7559,1134,0,0,1134,2,3,2,NA
Mauritania,Adrar,Chinguity,6621,2,4834,1324,463,0,0,463,2,3,2,NA
Mauritania,Adrar,Ouadane,3862,2,3051,618,193,0,0,193,2,2,2,NA
Mauritania,Assaba,Barkeol,97071,2,55330,29121,10678,1941,0,12619,1,2,4,NA
Mauritania,Assaba,Boumdeid,9618,2,5771,2885,962,0,0,962,1,2,4,NA
Mauritania,Assaba,Guerrou,54512,2,32162,15263,6541,545,0,7087,1,2,4,NA
Mauritania,Assaba,Kankossa,100222,2,60133,30067,10022,0,0,10022,1,2,3,NA
Mauritania,Assaba,Kiffa,134505,2,88773,34971,10760,0,0,10760,1,2,4,NA
Mauritania,Brakna,Aleg,107871,3,58250,26968,22653,0,0,22653,2,3,3,NA
Mauritania,Brakna,Bababe,39584,3,25334,5938,7917,396,0,8313,2,3,4,NA
Mauritania,Brakna,Boghe,76767,3,41454,19192,14586,1535,0,16121,2,3,4,NA
Mauritania,Brakna,M'bagne,46331,3,26872,10193,8340,927,0,9266,2,3,4,NA
Mauritania,Brakna,Maghta Lahjar,61285,3,33707,14095,13483,0,0,13483,2,3,3,NA
Mauritania,Dakhlet-Nouadhibou,Nouadhibou,153757,2,110705,33827,9225,0,0,9225,2,2,1,NA
Mauritania,Gorgol,Kaedi,138487,3,76168,33237,26313,2770,0,29082,2,2,4,NA
Mauritania,Gorgol,Maghama,77892,2,47514,17136,12463,779,0,13242,1,2,4,NA
Mauritania,Gorgol,M'bout,116616,3,60640,29154,25656,1166,0,26822,1,2,4,NA
Mauritania,Gorgol,Monguel,49176,2,29014,10819,8852,492,0,9343,1,2,4,NA
Mauritania,Guidimakha,Ould Yenge,82688,2,58708,17364,5788,827,0,6615,2,2,4,NA
Mauritania,Guidimakha,Selibaby,240399,3,127411,60100,45676,7212,0,52888,3,2,4,NA
Mauritania,Hodh Ech Chargi,Amourj,115924,2,70713,31299,13911,0,0,13911,2,2,3,NA
Mauritania,Hodh Ech Chargi,Bassikounou,16043,2,10267,4171,1604,0,0,1604,2,2,3,NA
Mauritania,Hodh Ech Chargi,Djigueni,73083,2,56274,15347,1462,0,0,1462,2,2,2,NA
Mauritania,Hodh Ech Chargi,N'beikett Lahwach,10862,2,7603,1847,1412,0,0,1412,2,2,3,NA
Mauritania,Hodh Ech Chargi,Nema,106716,2,65097,23477,16007,2134,0,18142,2,2,4,NA
Mauritania,Hodh Ech Chargi,Oualata,108412,2,75889,18430,13009,1084,0,14094,2,2,3,NA
Mauritania,Hodh Ech Chargi,Timbedra,96934,2,58160,21325,17448,0,0,17448,2,2,3,NA
Mauritania,Hodh El Gharbi,Aioun,74311,2,46073,19321,8917,0,0,8917,2,2,3,NA
Mauritania,Hodh El Gharbi,Kobeni,105583,2,72852,26396,6335,0,0,6335,2,2,3,NA
Mauritania,Hodh El Gharbi,Tamchekett,44440,2,24886,14221,5333,0,0,5333,2,2,3,NA
Mauritania,Hodh El Gharbi,Tintane,110685,2,80800,22137,7748,0,0,7748,2,2,3,NA
Mauritania,Inchiri,Akjoujt,26129,2,19335,4703,2090,0,0,2090,2,3,2,NA
Mauritania,Nouakchott,Nouakchott Nord,490103,1,401885,49010,39208,0,0,39208,1,2,2,NA
Mauritania,Nouakchott,Nouakchott Ouest,221486,1,179404,31008,11074,0,0,11074,1,1,1,NA
Mauritania,Nouakchott,Nouakchott Sud,568593,2,437817,102347,28430,0,0,28430,1,2,2,NA
Mauritania,Tagant,Moudjeria,43971,3,21546,12312,10113,0,0,10113,3,2,3,NA
Mauritania,Tagant,Tichitt,4582,3,2062,1558,962,0,0,962,3,2,3,NA
Mauritania,Tagant,Tidjikja,36741,3,19473,9185,8083,0,0,8083,3,3,4,NA
Mauritania,Tiris-Zemmour,Bir Mogrein,4218,3,2320,928,970,0,0,970,3,3,2,NA
Mauritania,Tiris-Zemmour,F'derik,5103,3,3062,970,1072,0,0,1072,3,3,2,NA
Mauritania,Tiris-Zemmour,Zoueratt,48322,3,27061,11114,10148,0,0,10148,3,3,2,NA
Mauritania,Trarza,Boutilimit,72109,2,54082,15864,2163,0,0,2163,2,3,2,NA
Mauritania,Trarza,Keur-Macene,30536,2,22291,6718,1527,0,0,1527,2,2,2,NA
Mauritania,Trarza,Mederdra,34735,2,26051,7294,1389,0,0,1389,2,3,2,NA
Mauritania,Trarza,Ouad Naga,27042,2,20281,5679,1082,0,0,1082,2,3,2,NA
Mauritania,Trarza,R'kiz,80968,2,59916,17813,3239,0,0,3239,2,2,3,NA
Mauritania,Trarza,Rosso,65871,2,46110,14492,5270,0,0,5270,2,2,3,NA
