adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,Adrar,Aoujeft,12650,2,9867,1897.5,759,126.5,0,885.5
Mauritania,Adrar,Atar,37838,2,29135.26,6432.46,1891.9,378.38,0,2270.28
Mauritania,Adrar,Chinguity,6629,2,5104.33,994.35,464.03,66.29,0,530.32
Mauritania,Adrar,Ouadane,3867,2,2938.92,657.39,232.02,38.67,0,270.69
Mauritania,Assaba,Barkeol,94807,2,59728.41,21805.61,12324.91,948.07,0,13272.98
Mauritania,Assaba,Boumdeid,9394,2,6387.92,2254.56,657.58,93.94,0,751.52
Mauritania,Assaba,Guerrou,53240,2,37800.4,11712.8,3194.4,532.4,0,3726.8
Mauritania,Assaba,Kankossa,97884,2,72434.16,22513.32,2936.52,0,0,2936.52
Mauritania,Assaba,Kiffa,131368,2,94584.96,32842,3941.04,0,0,3941.04
Mauritania,Brakna,Aleg,106934,2,80200.5,16040.1,10693.4,0,0,10693.4
Mauritania,Brakna,Bababe,39241,2,25506.65,8240.61,5493.74,0,0,5493.74
Mauritania,Brakna,Boghe,76101,2,54031.71,12937.17,9132.12,0,0,9132.12
Mauritania,Brakna,M'bagne,45929,2,25720.24,15615.86,4592.9,0,0,4592.9
Mauritania,Brakna,Maghta Lahjar,60752,3,29768.48,18225.6,11542.88,1215.04,0,12757.92
Mauritania,Dakhlet-Nouadhibou,Nouadhibou,149800,2,113848,25466,10486,0,0,10486
Mauritania,Gorgol,Kaedi,136248,2,81748.8,38149.44,16349.76,0,0,16349.76
Mauritania,Gorgol,M'bout,114730,3,61954.2,27535.2,24093.3,1147.3,0,25240.6
Mauritania,Gorgol,Maghama,76633,2,39849.16,22989.9,11494.95,2298.99,0,13793.94
Mauritania,Gorgol,Monguel,48381,2,15965.73,23222.88,7740.96,1451.43,0,9192.39
Mauritania,Guidimakha,Ould Yenge,80796,2,46861.68,20199,12927.36,807.96,0,13735.32
Mauritania,Guidimakha,Selibaby,234898,2,124495.94,70469.4,37583.68,2348.98,0,39932.66
Mauritania,Hodh Ech Chargi,Amourj,113106,2,61077.10696,30538.55348,18096.92058,3393.172609,0,21490.09319
Mauritania,Hodh Ech Chargi,Bassikounou,105777,2,69812.82462,26444.25175,8462.16056,1057.77007,0,9519.930629
Mauritania,Hodh Ech Chargi,Djigueni,71307,2,32087.99668,32087.99668,7130.66593,0,0,7130.66593
Mauritania,Hodh Ech Chargi,N'beikett Lahwach,10598,2,7100.523215,2649.448961,741.845709,105.9779584,0,847.8236674
Mauritania,Hodh Ech Chargi,Nema,104122,2,57266.85247,31236.46498,14577.01699,1041.215499,0,15618.23249
Mauritania,Hodh Ech Chargi,Oualata,15653,2,10956.87692,3600.116701,939.1608785,156.5268131,0,1095.687692
Mauritania,Hodh Ech Chargi,Timbedra,105175,2,74674.25,25242,5258.75,0,0,5258.75
Mauritania,Hodh El Gharbi,Aioun,73099,2,47514.35,24122.67,1461.98,0,0,1461.98
Mauritania,Hodh El Gharbi,Kobeni,103861,2,38428.57,46737.45,17656.37,1038.61,0,18694.98
Mauritania,Hodh El Gharbi,Tamchekett,43715,2,26666.15,14425.95,2622.9,0,0,2622.9
Mauritania,Hodh El Gharbi,Tintane,108880,2,72949.6,28308.8,7621.6,0,0,7621.6
Mauritania,Inchiri,Akjoujt,25263,2,16420.95,5305.23,2526.3,1010.52,0,3536.82
Mauritania,Nouakchott,Nouakchott Nord,473654,2,331557.7102,104203.8518,37892.30974,0,0,37892.30974
Mauritania,Nouakchott,Nouakchott Ouest,214053,2,162679.9253,42810.50665,8562.10133,0,0,8562.10133
Mauritania,Nouakchott,Nouakchott Sud,549510,2,390151.8125,120892.1109,38465.67165,0,0,38465.67165
Mauritania,Tagant,Moudjeria,43632,3,19198.08,15707.52,8726.4,0,0,8726.4
Mauritania,Tagant,Tichitt,546,3,240.24,196.56,109.2,0,0,109.2
Mauritania,Tagant,Tidjikja,36457,3,14947.37,13124.52,8020.54,364.57,0,8385.11
Mauritania,Tiris-Zemmour,Bir Mogrein,4172,2,3170.72,625.8,333.76,41.72,0,375.48
Mauritania,Tiris-Zemmour,F'derik,5048,1,4088.88,757.2,201.92,0,0,201.92
Mauritania,Tiris-Zemmour,Zoueratt,47805,2,33463.5,10517.1,3346.35,478.05,0,3824.4
Mauritania,Trarza,Boutilimit,70920,2,55317.6,12765.6,2836.8,0,0,2836.8
Mauritania,Trarza,Keur-Macene,30032,2,23124.64,5105.44,1801.92,0,0,1801.92
Mauritania,Trarza,Mederdra,34162,2,26646.36,6149.16,1366.48,0,0,1366.48
Mauritania,Trarza,Ouad Naga,26596,2,20744.88,5585.16,265.96,0,0,265.96
Mauritania,Trarza,R'kiz,79632,2,62112.96,15926.4,1592.64,0,0,1592.64
Mauritania,Trarza,Rosso,64784,1,53770.72,10365.44,647.84,0,0,647.84
