adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Mauritania,Adrar,Aoujeft,12621,2,9465,2650,505,0,0,505,0.4,28.4,71.2,1,2.8,96.4,0.8,0,0,2,69.6,20.8,9.6,0,0,2,64,24,0,12,2,42.4,57.6,0,2,2,2,2,NA
Mauritania,Adrar,Atar,37751,2,23783,7928,6040,0,0,6040,0,21.6,78.4,1,1.6,31.2,17.6,49.6,0,4,77.6,16.4,6,0,0,2,69.6,4.4,18,8,3,78,21.6,0.4,2,2,3,2,NA
Mauritania,Adrar,Chinguity,6614,2,3638,1984,992,0,0,992,1.2,26.8,72,1,6.4,88.8,4.8,0,0,2,56.4,12.9,30.7,0,0,3,67.6,12.4,1.2,18.8,3,43.6,56,0.4,2,2,3,2,NA
Mauritania,Adrar,Ouadane,3858,2,3009,733,116,0,0,116,1.2,26.8,72,1,6.4,88.8,4.8,0,0,2,75.5,14.5,10,0,0,2,67.6,12.4,1.2,18.8,3,43.6,56,0.4,2,2,2,2,NA
Mauritania,Assaba,Barkeol,99390,2,65598,22860,10933,0,0,10933,0.9,21,78.1,1,6.8,83.7,8.6,0.9,0,2,61.4,9.9,28.8,0,0,3,80.7,4.3,13.7,1.3,1,32.2,60.5,7.3,2,2,1,3,NA
Mauritania,Assaba,Boumdeid,9848,2,6204,2659,985,0,0,985,6,5.6,88.4,2,29,40.4,23.2,7,0.4,3,66.3,4.9,28.4,0.4,0,3,96.4,2.5,0.7,0.4,1,6.7,77.5,15.8,2,2,1,4,NA
Mauritania,Assaba,Guerrou,55815,2,34047,16186,5581,0,0,5581,2.6,20.6,76.8,1,11.3,71.1,15.8,1.8,0,2,50.9,21.1,28.1,0,0,3,86.4,2.2,8.8,2.6,1,23.2,75,1.8,2,2,1,4,NA
Mauritania,Assaba,Kankossa,102617,2,76963,20523,5131,0,0,5131,8.4,4,87.6,2,1.6,79.9,14.1,4.4,0,2,34.5,20.5,44.2,0.8,0,3,92,1.6,4.4,2,1,25.3,72.7,2,2,2,1,4,NA
Mauritania,Assaba,Kiffa,137719,2,78500,44070,15149,0,0,15149,15.3,2,82.7,2,48.2,22.9,10,18.5,0.4,3,62.7,10.8,26.5,0,0,3,96.8,1.2,1.6,0.4,1,15.3,73.5,11.2,2,2,1,4,NA
Mauritania,Brakna,Aleg,108817,2,79437,23940,5441,0,0,5441,4.1,1.6,94.3,1,0.4,66.5,27.8,5.3,0,3,80,4.5,15.1,0,0.4,2,95.9,2.1,0.8,1.2,1,80,19.2,0.8,2,2,1,2,NA
