adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Niger,Agadez,Aderbissinat,42194,2,33333.26,8016.86,843.88,0,0,843.88
Niger,Agadez,In-Gall,62005,2,47123.8,13021.05,1860.15,0,0,1860.15
Niger,Agadez,Agadez Com,146679,1,124677.15,22001.85,0,0,0,0
Niger,Agadez,Tchirozerine,145652,1,119434.64,26217.36,0,0,0,0
Niger,Agadez,Arlit,125465,1,104135.95,20074.4,1254.65,0,0,1254.65
Niger,Agadez,Iferouane,39101,1,33235.85,5865.15,0,0,0,0
Niger,Agadez,Bilma,21426,1,17997.84,3213.9,214.26,0,0,214.26
Niger,Diffa,Bosso,91803,3,33967.11,36721.2,19278.63,1836.06,0,21114.69
Niger,Diffa,N'guigmi,87782,3,34234.98,33357.16,17556.4,2633.46,0,20189.86
Niger,Diffa,Dffa Dep,121010,3,55664.6,38723.2,24202,2420.2,0,26622.2
Niger,Diffa,Maine Soroa,157518,2,91360.44,63007.2,3150.36,0,0,3150.36
Niger,Diffa,Goudoumaria,120305,2,90228.75,27670.15,2406.1,0,0,2406.1
Niger,Diffa,Ngourti,61932,2,48306.96,11767.08,1857.96,0,0,1857.96
Niger,Diffa,Diffa Com,70076,3,25928.12,28731.16,13314.44,2102.28,0,15416.72
Niger,Dosso,Boboye,314690,1,273780.3,40909.7,0,0,0,0
Niger,Dosso,Dioudiou,136560,1,116076,20484,0,0,0,0
Niger,Dosso,Dosso Departement,503349,2,382545.24,110736.78,10066.98,0,0,10066.98
Niger,Dosso,Falmey,128657,2,101639.03,25731.4,1286.57,0,0,1286.57
Niger,Dosso,Gaya,325953,1,286838.64,39114.36,0,0,0,0
Niger,Dosso,Dosso Cu,,,0,0,0,0,0,0
Niger,Dosso,Doutchi,464033,2,334103.76,120648.58,9280.66,0,0,9280.66
Niger,Dosso,Tibiri,336391,2,265748.89,67278.2,3363.91,0,0,3363.91
Niger,Dosso,Loga,218694,2,164020.5,50299.62,4373.88,0,0,4373.88
Niger,Tahoua,Bagaroua,89198,2,68682.46,16055.64,4459.9,0,0,4459.9
Niger,Tahoua,Bouza,549508,2,434111.32,87921.28,27475.4,0,0,27475.4
Niger,Tahoua,Illela,415338,2,319810.26,87220.98,8306.76,0,0,8306.76
Niger,Tahoua,Madaoua,673109,2,531756.11,134621.8,6731.09,0,0,6731.09
Niger,Tahoua,Malbaza,286754,2,220800.58,63085.88,2867.54,0,0,2867.54
Niger,Tahoua,Tahoua Dep,532802,2,372961.4,133200.5,26640.1,0,0,26640.1
Niger,Tahoua,Konni,386052,1,320423.16,65628.84,0,0,0,0
Niger,Tahoua,Abalak,316235,2,243500.95,66409.35,6324.7,0,0,6324.7
Niger,Tahoua,Keita,415926,3,166370.4,158051.88,87344.46,4159.26,0,91503.72
Niger,Tahoua,Tahoua Ville,184457,1,160477.59,23979.41,0,0,0,0
Niger,Tahoua,Tassara,30176,2,22933.76,6336.96,905.28,0,0,905.28
Niger,Tahoua,Tchintabaraden,179013,2,141420.27,34012.47,3580.26,0,0,3580.26
Niger,Tahoua,Tillia,48112,2,37527.36,9622.4,962.24,0,0,962.24
Niger,Maradi,Aguie,311706,2,240013.62,65458.26,6234.12,0,0,6234.12
Niger,Maradi,Bermo,66237,3,34443.24,18546.36,11922.66,1324.74,0,13247.4
Niger,Maradi,Dakoro,798818,2,567160.78,207692.68,23964.54,0,0,23964.54
Niger,Maradi,Gazaoua,203418,2,160700.22,40683.6,2034.18,0,0,2034.18
Niger,Maradi,Guidan Roumji,663612,2,517617.36,139358.52,6636.12,0,0,6636.12
Niger,Maradi,Madarounfa,568763,1,437947.51,130815.49,0,0,0,0
Niger,Maradi,Mayahi,706021,2,508335.12,183565.46,14120.42,0,0,14120.42
Niger,Maradi,Tessaoua,653646,2,457552.2,183020.88,13072.92,0,0,13072.92
Niger,Maradi,Ville Maradi,,,0,0,0,0,0,0
Niger,Tillaberi,Kollo,579187,1,492308.95,86878.05,0,0,0,0
Niger,Tillaberi,Say,218565,1,196708.5,21856.5,0,0,0,0
Niger,Tillaberi,Ayerou,70974,3,39745.44,16324.02,13485.06,1419.48,0,14904.54
