adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Niger,Agadez,Aderbissinat,45105,2,29318,10825,4962,0,0,4962
Niger,Agadez,Arlit,134122,2,92544,28166,13412,0,0,13412
Niger,Agadez,Bilma,22904,2,16262,4810,1832,0,0,1832
Niger,Agadez,Iferouane,41799,2,29677,10450,1672,0,0,1672
Niger,Agadez,Ingall,66283,2,43084,16571,6628,0,0,6628
Niger,Agadez,Tchirozerine,161504,1,130818,27456,3230,0,0,3230
Niger,Diffa,Bosso_al,98030,3,51956,20586,19606,5882,0,25488
Niger,Diffa,"Diffa_al (Chetimari, Gueskerou)",41686,3,18759,9171,12506,1251,0,13756
Niger,Diffa,Diffa_a,90263,3,44229,26176,18053,1805,0,19858
Niger,Diffa,Goudoumaria,128466,2,77080,38540,12847,0,0,12847
Niger,Diffa,Maine Soroa,168203,2,107650,37005,23548,0,0,23548
Niger,Diffa,N'gourti,66133,2,35712,26453,3968,0,0,3968
Niger,Diffa,"N'guigmi_al (Kablewa, N'guigmi)",49704,3,22864,13917,11432,1491,0,12923
Niger,Diffa,N'guigmi Ville,44033,3,21136,13210,9247,440,0,9687
Niger,Dosso,Boboye,339340,2,251112,67868,20360,0,0,20360
Niger,Dosso,Dioundiou,147257,1,122223,19143,5890,0,0,5890
Niger,Dosso,"Dogondoutchi_al (Soukoukoutan, Dogon Kiria)",140641,3,68914,40786,30941,0,0,30941
Niger,Dosso,Dogondoutchi_a,359741,2,277001,61156,21584,0,0,21584
Niger,Dosso,Dosso,541969,1,460674,70456,10839,0,0,10839
Niger,Dosso,Falmey,138735,2,101277,27747,9711,0,0,9711
Niger,Dosso,Gaya,351486,1,298763,49208,3515,0,0,3515
Niger,Dosso,Loga,235825,2,176869,44807,14150,0,0,14150
Niger,Dosso,Tibiri,362741,2,279311,79803,3627,0,0,3627
Niger,Maradi,Aguie,339495,3,166353,101849,71294,0,0,71294
Niger,Maradi,Bermo,72143,2,49057,20921,2164,0,0,2164
Niger,Maradi,Dakoro,870034,2,669926,165306,34801,0,0,34801
Niger,Maradi,Gazaoua,221553,3,55388,97483,62035,6647,0,68681
Niger,Maradi,"Guidan Roumdji_al (Tibiri, Guidan Sori)",303035,2,230307,57577,15152,0,0,15152
Niger,Maradi,Guidan Roumdji_a,722773,2,570991,122871,28911,0,0,28911
Niger,Maradi,Madarounfa_al (Gabi),114827,2,83824,26410,4593,0,0,4593
Niger,Maradi,Madarounfa_a,619469,1,507965,105310,6195,0,0,6195
Niger,Maradi,Mayahi,768963,2,545964,192241,30759,0,0,30759
