adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Niger,Agadez,Aderbissinat,46628,2,34038.44,8393.04,4196.52,0,0,4196.52,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Agadez,Arlit,138649,2,84575.89,41594.7,12478.41,0,0,12478.41,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Agadez,Bilma,23677,1,19651.91,3078.01,947.08,0,0,947.08,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Agadez,Iferouane,43210,2,28518.6,10802.5,3888.9,0,0,3888.9,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Agadez,Ingall,68519,2,53444.82,10963.04,4111.14,0,0,4111.14,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Agadez,Tchirozerine,166954,2,120206.88,31721.26,15025.86,0,0,15025.86,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Diffa,Bosso,101334,3,43573.62,36480.24,19253.46,2026.68,0,21280.14,3,3,3,NA,12.2,24.5,63.3,3,3.1,4.1,7.1,12.2,73.5,5,NA,NA,NA,NA,NA,NA,35.7,48,9.2,7.1,2,31.6,33.7,34.7,3
Niger,Diffa,Diffa_limitedaccess,210924,3,84369.6,63277.2,52731,10546.2,0,63277.2,3,3,3,NA,73.1,11.7,15.2,4,33.8,20.7,16.6,6.2,22.8,5,NA,NA,NA,NA,NA,NA,42.1,11,38.6,8.3,3,26.9,69.7,3.4,2
Niger,Diffa,Goudoumaria,132795,3,70381.35,33198.75,22575.15,6639.75,0,29214.9,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Diffa,Maine-Soroa,173872,2,118232.96,43468,12171.04,0,0,12171.04,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Diffa,N'gourti,68362,1,56740.46,10254.3,1367.24,0,0,1367.24,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Diffa,N'guigmi_limitedaccess,96896,3,45541.12,30037.76,19379.2,1937.92,0,21317.12,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Boboye,352383,1,285430.23,56381.28,10571.49,0,0,10571.49,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Dioundiou,152918,1,129980.3,21408.52,1529.18,0,0,1529.18,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Dogondoutchi_accessible,373569,2,283912.44,78449.49,11207.07,0,0,11207.07,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Dogondoutchi_limitedaccess,146047,2,87628.2,43814.1,14604.7,0,0,14604.7,1,1,2,NA,87.9,7.6,4.5,4,54.5,19.7,13.6,4.5,7.6,3,NA,NA,NA,NA,NA,NA,97,3,0,0,1,98.5,1.5,0,1
Niger,Dosso,Dosso,687142,1,570327.86,103071.3,13742.84,0,0,13742.84,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Falmey,144067,1,121016.28,20169.38,2881.34,0,0,2881.34,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Gaya,364996,1,317546.52,43799.52,3649.96,0,0,3649.96,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Loga,244890,1,203258.7,26937.9,14693.4,0,0,14693.4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Dosso,Tibiri (Doutchi),376684,1,308880.88,60269.44,7533.68,0,0,7533.68,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Maradi,Aguie,354389,1,301230.65,42526.68,10631.67,0,0,10631.67,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Maradi,Bermo,75307,2,54974.11,17320.61,3012.28,0,0,3012.28,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Maradi,Dakoro,908202,2,699315.54,181640.4,27246.06,0,0,27246.06,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Maradi,Gazaoua,231273,1,203520.24,23127.3,4625.46,0,0,4625.46,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Maradi,Guidan Roumdji_accessiblemarch2021,300153,2,174088.74,90045.9,30015.3,6003.06,0,36018.36,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Maradi,Guidan Roumdji_limitedaccessmarch2021,454328,3,208990.88,136298.4,99952.16,9086.56,0,109038.72,3,3,3,NA,39.1,35.4,25.5,4,7.5,18,14.9,8.7,50.9,5,NA,NA,NA,NA,NA,NA,41,19.3,28.6,11.2,3,25.5,67.1,7.5,2
Niger,Maradi,Madarounfa_accessiblemarch2021,260220,1,231595.8,26022,2602.2,0,0,2602.2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
