adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Niger,Agadez,Aderbissinat,46628,2,33106,7927,5595,0,0,5595,1,3,3,NA
Niger,Agadez,Arlit,138649,2,73484,48527,16638,0,0,16638,2,2,3,NA
Niger,Agadez,Bilma,23677,2,16811,4262,2604,0,0,2604,2,2,3,NA
Niger,Agadez,Iferouane,43210,2,29815,8210,5185,0,0,5185,2,3,3,NA
Niger,Agadez,Ingall,68519,2,45908,15074,6167,1370,0,7537,2,2,3,NA
Niger,Agadez,Tchirozerine,166954,2,116868,33391,16695,0,0,16695,2,2,3,NA
Niger,Diffa,Bosso,101334,3,37494,35467,25334,3040,0,28374,3,3,3,NA
Niger,Diffa,Diffa_limitedaccess,210924,3,61168,73823,59059,16874,0,75933,3,3,3,NA
Niger,Diffa,Goudoumaria,132795,3,54446,39839,27887,10624,0,38511,2,4,4,NA
Niger,Diffa,Maine-Soroa,173872,2,104323,52162,17387,0,0,17387,2,2,3,NA
Niger,Diffa,N'gourti,68362,2,47853,17091,3418,0,0,3418,2,2,3,NA
Niger,Diffa,N'guigmi_limitedaccess,96896,3,31007,38758,23255,3876,0,27131,3,3,3,NA
Niger,Dosso,Boboye,352383,2,267811,66953,17619,0,0,17619,1,2,2,NA
Niger,Dosso,Dioundiou,152918,2,120805,29054,3058,0,0,3058,2,2,2,NA
Niger,Dosso,Dogondoutchi_accessible,373569,2,261498,93392,18678,0,0,18678,2,1,2,NA
Niger,Dosso,Dogondoutchi_limitedaccess,146047,3,55498,58419,30670,1460,0,32130,2,2,2,NA
Niger,Dosso,Dosso,687142,2,535971,116814,34357,0,0,34357,1,3,2,NA
Niger,Dosso,Falmey,144067,1,116694,23051,4322,0,0,4322,1,1,2,NA
Niger,Dosso,Gaya,364996,1,299297,58399,7300,0,0,7300,1,1,2,NA
Niger,Dosso,Loga,244890,2,154281,63671,26938,0,0,26938,2,2,2,NA
Niger,Dosso,Tibiri (Doutchi),376684,2,274979,79104,22601,0,0,22601,2,3,2,NA
Niger,Maradi,Aguie,354389,1,290599,49614,14176,0,0,14176,1,1,3,NA
Niger,Maradi,Bermo,75307,1,62505,11296,1506,0,0,1506,1,2,3,NA
Niger,Maradi,Dakoro,908202,2,590331,272461,45410,0,0,45410,2,3,3,NA
Niger,Maradi,Gazaoua,231273,1,189644,32378,9251,0,0,9251,1,2,3,NA
Niger,Maradi,Guidan Roumdji_accessiblemarch2021,300153,2,138070,120061,36018,6003,0,42021,2,2,3,NA
Niger,Maradi,Guidan Roumdji_limitedaccessmarch2021,454328,3,149928,181731,109039,13630,0,122669,3,4,3,NA
Niger,Maradi,Madarounfa_accessiblemarch2021,260220,2,182154,70259,7807,0,0,7807,2,2,3,NA
Niger,Maradi,Madarounfa_limitedaccessmarch2021,386425,3,154570,115928,92742,23186,0,115928,3,3,3,NA
Niger,Maradi,Mayahi,802698,2,521754,240809,40135,0,0,40135,2,3,3,NA
Niger,Maradi,Tessaoua,743151,1,609384,104041,29726,0,0,29726,1,2,3,NA
Niger,Niamey,Niamey,1359050,1,1128012,176677,54362,0,0,54362,1,1,2,NA
Niger,Tahoua,Abalak,352626,2,218628,84630,45841,3526,0,49368,2,2,3,NA
Niger,Tahoua,Bagaroua,99463,2,50726,34812,12930,995,0,13925,2,3,3,NA
Niger,Tahoua,Birni N'konni,430477,2,335772,86095,8610,0,0,8610,2,2,3,NA
Niger,Tahoua,Bouza,612742,2,471811,122548,18382,0,0,18382,2,2,3,NA
Niger,Tahoua,Illela,463132,2,342718,97258,18525,4631,0,23157,2,2,3,NA
Niger,Tahoua,Keita,463788,3,153050,185515,83482,41741,0,125223,3,3,3,NA
Niger,Tahoua,Madaoua,750565,2,525396,187641,37528,0,0,37528,2,2,3,NA
Niger,Tahoua,Malbaza,319752,1,262197,47963,9593,0,0,9593,1,1,3,NA
Niger,Tahoua,Tahoua_accessiblemarch2021,461563,2,355404,92313,13847,0,0,13847,2,2,3,NA
Niger,Tahoua,Tahoua_limitedaccessmarch2021,132550,2,55671,53020,21208,2651,0,23859,2,2,3,NA
Niger,Tahoua,Tassara,33649,1,27592,4711,1346,0,0,1346,1,1,3,NA
Niger,Tahoua,Tchintabaraden,199613,2,125756,47907,25950,0,0,25950,2,2,3,NA
Niger,Tahoua,Tillia,53649,2,25752,18777,8047,1073,0,9120,2,2,3,NA
Niger,Tillaberi,Abala,201586,3,70555,70555,50397,10079,0,60476,3,3,2,NA
Niger,Tillaberi,Ayerou,79678,3,33465,22310,18326,5577,0,23903,3,3,3,NA
Niger,Tillaberi,Balleyara,149679,2,104775,37420,7484,0,0,7484,2,2,2,NA
Niger,Tillaberi,Banibangou,93536,3,27125,37414,23384,5612,0,28996,3,3,2,NA
Niger,Tillaberi,Bankilare,118606,3,47442,41512,24907,4744,0,29652,3,2,2,NA
Niger,Tillaberi,Filingue_accessible,206459,2,109423,72261,24775,0,0,24775,2,3,2,NA
Niger,Tillaberi,Filingue_limitedaccess,222074,2,155452,51077,15545,0,0,15545,2,2,2,NA
Niger,Tillaberi,Gotheye,336766,2,212163,94294,30309,0,0,30309,2,2,2,NA
Niger,Tillaberi,Kollo,650219,2,448651,136546,65022,0,0,65022,2,1,2,NA
Niger,Tillaberi,Ouallam_accessiblemarch2021,239254,3,105272,71776,50243,11963,0,62206,3,2,2,NA
